sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,2.752523,0.000000,2.766933,4.966374,2.772344,10.303597,2.435542,1.481925,17.362206,0.746351,0.569752,4.999412,4.167381,3.529701,39.869083,6.563252,18.870062,3.192555,15.373472,9.334502,4.646127,9.393630,0.891706,0.812916,13.620957,1.454089,1.350409,6.942290,1.834137,7.780776,3.970281,2.009654,23.928841,14.361989,2.635279,2.718496,2.766282,12.585486,6.497611,10.088562,21.493240,0.768439,0.471593,0.930438,8.246671,4.255129
1,3.884688,0.000000,3.210212,5.612630,2.872574,8.978581,3.160240,1.790685,15.790197,0.744793,0.576787,4.419063,4.175235,3.521004,39.960136,6.605312,18.858896,3.216725,15.599210,9.205141,4.480885,9.664646,0.884215,0.801712,13.456905,1.454389,1.331358,6.777490,1.820405,7.736678,3.641592,1.700672,22.655058,11.501016,2.649353,2.726130,2.775980,12.568372,7.243221,10.819519,18.925858,1.027458,0.700678,1.352741,9.120521,4.158925
2,4.349907,0.000000,3.297594,5.365214,3.229974,7.618156,3.808268,2.096140,14.060246,0.656213,0.572545,3.995348,4.166625,3.518873,39.869320,6.573647,18.837940,3.067576,14.487884,8.781942,4.291547,10.065679,0.832131,0.806291,14.444684,1.453779,1.341102,6.857720,1.828508,7.755027,3.640655,1.728599,22.328285,9.385375,2.761443,2.843300,2.942482,12.538834,8.463479,11.017741,16.714117,1.145499,0.850399,1.357232,9.543717,4.186800
3,4.903857,0.000000,3.315379,5.604649,3.072525,6.786107,4.379304,2.402729,12.137622,0.606191,0.268216,4.091091,4.179578,3.505824,39.828262,6.613562,18.783064,2.857892,15.058504,9.550659,4.667018,10.121154,0.868742,0.913577,13.166964,1.453294,1.307412,6.537624,1.805636,7.747068,3.639241,1.861889,22.206245,6.968167,2.881157,2.960591,2.962075,12.530396,9.927091,11.171962,14.237225,1.071585,0.727428,1.354445,9.067933,4.360021
4,5.231234,0.000000,3.617401,5.254006,3.219761,5.594527,4.861682,2.714099,10.486199,0.605637,0.276580,4.015129,4.191041,3.499157,39.992283,6.667799,18.832590,2.750967,13.673293,9.059168,4.503541,9.948592,0.809321,0.783301,14.200686,1.453094,1.292293,6.403991,1.793228,7.681957,3.579453,2.154022,21.957012,4.084367,2.983113,3.049883,3.144547,12.613592,11.727111,10.952758,11.960418,0.904158,0.529075,1.137727,7.907813,4.617482
5,5.497521,0.000000,4.046951,4.814818,3.284340,4.421322,5.206294,2.721017,8.734494,0.598913,0.297052,3.936128,4.224613,3.499216,40.145489,6.782158,18.937777,2.541449,14.716129,10.278826,5.096078,9.764108,0.902116,0.893952,12.808146,1.451401,1.252872,5.988740,1.760412,7.614553,3.553875,2.381327,21.561113,0.316986,2.995139,3.037228,3.179509,12.642780,12.380785,10.605237,9.798435,0.872924,0.494392,1.123280,6.424699,4.911203
6,5.813143,0.000000,4.407323,4.354209,3.371505,3.932721,5.719468,3.031015,6.621706,0.553053,0.301018,4.267713,4.227269,3.497409,40.214474,6.802577,18.969250,2.524082,14.574683,10.699307,5.275836,9.563361,0.900513,0.893647,12.586065,1.451652,1.248332,5.958389,1.755336,7.589130,3.549257,2.628002,20.818766,3.609297,3.207312,3.245373,3.357570,13.793839,14.485045,9.512577,8.630203,0.942701,0.588027,1.121959,5.444688,4.909771
7,6.575139,0.000000,5.035438,4.559297,3.470962,3.879768,6.427924,3.343815,4.702745,0.545673,0.319208,4.739300,4.253130,3.497977,40.305023,6.891600,19.091261,2.467755,14.309120,10.700679,5.329612,9.000810,0.941248,0.887903,12.591310,1.451386,1.216828,5.623388,1.731141,7.550006,3.428913,2.785527,19.431232,8.534622,3.293425,3.313724,3.390155,15.144327,15.594194,8.564034,7.679349,1.145766,0.747882,1.322579,5.259439,5.068623
8,7.271285,0.000000,5.735660,4.415795,3.694253,4.568480,7.342985,3.969536,2.915905,0.491203,0.351145,4.709798,4.296084,3.506698,40.488590,7.051418,19.373945,2.352255,14.767855,11.189159,5.770666,8.682860,0.984548,1.009517,12.147464,1.450011,1.177041,5.189362,1.693624,7.454436,3.380934,3.310236,18.420595,13.546878,3.250406,3.233515,3.264894,16.326223,12.825319,7.433654,6.839117,1.314336,0.901339,1.508661,5.280051,5.219959
9,7.802188,0.000000,6.388258,4.273874,3.787121,5.613063,8.270506,4.287144,1.342748,0.482604,0.382931,4.572859,4.341665,3.527236,40.784985,7.218881,19.716993,2.237082,14.545470,11.490501,5.857737,8.192678,0.986455,1.014248,12.267704,1.453271,1.147391,4.872344,1.664337,7.353302,3.169140,3.563187,16.963690,18.548624,3.041471,2.988367,3.137857,18.266399,10.340082,6.550213,6.229287,1.435524,1.017142,1.688174,5.556877,5.164646
10,8.174900,0.000000,6.897089,3.283874,4.042662,7.097311,9.151502,4.909436,0.028485,0.477784,0.404286,3.909016,4.378331,3.546300,40.972298,7.338225,19.970116,2.163853,14.401772,12.082680,6.275042,7.687816,0.992509,1.020558,12.343845,1.456122,1.128993,4.677952,1.645617,7.270933,3.096107,4.175997,16.017544,22.672478,2.686799,2.608036,2.649303,20.772785,7.155033,5.401549,5.865808,1.419002,1.000766,1.661151,5.696526,5.123662
11,8.568420,0.000000,7.327141,3.074573,4.350250,8.465521,10.072288,5.224285,1.196228,0.472920,0.423250,3.462604,4.417511,3.569405,41.240101,7.454938,20.224384,2.106142,14.689830,12.558689,6.511163,7.058704,1.055364,1.029482,12.292700,1.461105,1.113883,4.518962,1.630124,7.192468,2.974938,4.475938,14.108135,26.689199,2.143623,2.040308,2.157557,23.813648,4.621099,4.612095,5.584181,1.405219,0.988607,1.633762,5.888658,5.333086
12,8.765297,0.000000,7.695791,2.892683,4.635224,9.658597,10.804396,5.550959,2.142953,0.421274,0.463787,2.989463,4.503405,3.626708,42.063305,7.718558,20.864590,1.894275,14.653826,12.716211,6.608978,6.518571,1.085791,1.056015,12.069559,1.468753,1.088261,4.312142,1.602453,6.978034,2.851202,4.702694,12.631137,29.754404,1.520688,1.369032,1.516119,25.397697,3.918655,4.225897,5.309092,1.407996,0.983247,1.580340,6.259070,5.309846
13,8.812074,0.000000,7.831149,2.479510,4.683673,10.274302,10.784575,5.541138,3.969169,0.423472,0.438667,2.760529,4.472885,3.604620,41.492046,7.571862,20.449352,1.862938,15.438924,13.711106,7.113448,5.685925,1.124200,1.165278,10.427160,1.467741,1.100801,4.352643,1.618870,7.124473,2.661985,5.023550,11.017022,32.602547,1.025653,0.896416,0.970066,24.023441,4.969867,3.823316,5.450371,1.441502,1.026730,1.602201,6.736544,5.322250
14,8.772236,0.000000,7.908430,2.058180,4.613292,10.890677,10.753343,5.543759,5.537444,0.424163,0.438635,2.710633,4.475991,3.611205,41.530365,7.578196,20.428982,1.899045,14.467318,13.456982,7.120523,4.925959,1.129709,1.164787,11.538801,1.469844,1.106195,4.376897,1.621782,7.124001,2.587194,5.323952,9.818116,34.681759,1.022203,0.893729,0.969175,20.408167,3.798021,3.553781,5.564294,1.398398,0.981518,1.599713,7.037957,5.337939
15,8.679240,0.000000,8.101379,1.687073,4.609250,11.266102,10.441423,5.239705,6.802660,0.422886,0.441772,2.762717,4.489568,3.623798,41.610325,7.604178,20.467859,1.903102,15.230403,14.309491,7.491686,4.258894,1.188897,1.167827,10.654949,1.471454,1.106051,4.366564,1.620491,7.109979,2.552214,5.696901,9.016795,35.980026,1.317608,1.183378,1.318559,16.899118,3.973151,3.824712,5.727148,1.447428,1.030267,1.590341,7.542745,5.349936
16,8.601277,0.000000,8.117301,1.247250,4.620095,11.656461,10.188417,5.242658,7.802182,0.433784,0.453653,2.756544,4.497713,3.632249,41.732735,7.636977,20.531700,1.941711,14.699589,14.235547,7.439312,3.670041,1.170738,1.147161,10.603411,1.473255,1.106384,4.354664,1.618209,7.083547,2.496751,5.892962,8.356925,36.638191,1.651917,1.531855,1.609473,14.260154,3.951963,3.877787,5.976645,1.395204,0.979844,1.532531,7.842352,5.131682
17,8.495154,0.000000,8.288045,1.220621,4.635581,11.968068,9.822194,5.022321,8.578685,0.431716,0.462339,2.849943,4.522639,3.652433,41.918781,7.696680,20.657021,1.905209,14.684820,14.406800,7.470707,3.202108,1.179262,1.153146,10.796030,1.476041,1.102261,4.297568,1.613978,7.047677,2.559603,5.886670,7.781610,36.772427,1.826246,1.674826,1.816493,12.541690,3.946034,4.047201,6.219251,1.278825,0.864125,1.349574,8.032086,5.355187
18,8.360441,0.000000,8.433117,1.314693,4.664860,12.458099,9.635259,5.024893,9.320800,0.380310,0.467128,2.924968,4.528539,3.658953,42.000595,7.722472,20.716997,1.989423,14.496263,14.502460,7.736674,2.461803,1.182257,1.155493,11.147292,1.477761,1.101162,4.282362,1.612041,7.026599,2.633543,5.922484,7.548263,36.323696,1.878950,1.724193,1.822353,11.363704,4.124924,4.556110,6.519962,1.239340,0.824605,1.343264,8.285355,5.134674
