sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,0.641297,0.198031,0.307358,0.325701,0.121402,0.729719,0.192993,0.171162,0.833829,0.149890,0.122048,0.446902,0.225406,0.264979,0.363758,0.294084,0.286938,0.298160,0.717137,0.488255,0.278340,0.201286,0.226304,0.192382,0.478661,0.297611,0.308876,0.372022,0.368128,0.304176,0.341963,0.433999,0.905496,0.286574,0.185968,0.095142,0.172049,0.325767,0.272946,0.779092,1.137885,0.208512,0.244470,0.320852,1.084986,0.679439
1,0.203518,0.150700,0.230141,0.555032,0.172614,0.731120,0.119205,0.176820,0.751345,0.160736,0.094306,0.255386,0.240369,0.284896,0.346853,0.304390,0.257990,0.281562,0.866843,0.255173,0.181124,0.234348,0.173357,0.184036,0.497839,0.269544,0.332783,0.363902,0.374471,0.320675,0.281130,0.297705,0.702232,0.252475,0.161631,0.151943,0.118447,0.527032,0.751677,0.307749,0.903293,0.180456,0.141360,0.116374,0.352296,0.229446
2,0.352571,0.200456,0.242231,0.481735,0.274914,0.645912,0.454104,0.270565,0.434973,0.131368,0.125460,0.632725,0.214700,0.269427,0.281154,0.233660,0.338510,0.289043,0.270808,0.189735,0.218065,0.432150,0.206565,0.214508,0.809547,0.296966,0.332810,0.354107,0.404956,0.295294,0.355271,0.216037,0.645268,1.414752,0.197560,0.123801,0.212301,0.400589,0.426199,0.287267,0.529185,0.204596,0.152905,0.157967,0.794481,0.218621
3,0.489829,0.167333,0.297384,0.388987,0.372563,0.449329,0.397541,0.193155,0.274882,0.123652,0.209100,0.454613,0.225130,0.269772,0.259203,0.277722,0.289690,0.259243,0.732554,0.203270,0.192154,0.413230,0.201660,0.191389,0.436608,0.323647,0.293426,0.397126,0.395248,0.307020,0.257577,0.227310,0.492181,0.662792,0.160371,0.115785,0.166619,0.317266,0.241356,0.403469,0.220399,0.152788,0.166781,0.124799,0.816641,0.267146
4,0.257642,0.184586,0.266923,0.222956,0.250155,0.661379,0.195198,0.202780,0.529735,0.158586,0.198645,0.309615,0.187251,0.213207,0.265916,0.265578,0.378624,0.317983,0.680780,0.578737,0.292006,0.283477,0.206693,0.172574,1.103593,0.353620,0.339936,0.370115,0.427090,0.298630,0.364901,0.157560,0.504412,0.746715,0.169121,0.175438,0.156043,0.318726,0.341341,0.729545,0.207608,0.234550,0.223045,0.281794,0.737943,0.286490
5,0.278413,0.142283,0.274354,0.131395,0.147901,0.439109,0.164214,0.211766,0.621443,0.142481,0.111397,0.307424,0.211017,0.263640,0.247071,0.351148,0.310875,0.247201,0.238532,0.170840,0.168284,0.307533,0.229409,0.173388,0.322988,0.361899,0.340084,0.415613,0.391618,0.338645,0.310972,0.147932,0.558222,0.438673,0.126582,0.184360,0.159805,1.010735,0.477490,0.696271,0.501300,0.209566,0.253142,0.258154,0.834354,0.296029
6,0.349624,0.177855,0.235421,0.375707,0.188779,0.295554,0.179034,0.213635,0.298459,0.119093,0.118933,0.213243,0.219110,0.214543,0.230855,0.349149,0.322424,0.247286,0.459965,0.369299,0.237022,0.360085,0.209491,0.148279,0.352235,0.328831,0.391526,0.437407,0.357008,0.305812,0.307749,0.197874,0.600581,0.691124,0.170317,0.148982,0.160027,1.037885,0.705238,0.287460,0.582046,0.201505,0.197190,0.266031,0.670140,0.199514
7,0.246657,0.206707,0.238447,0.245681,0.185215,0.320973,0.210024,0.228624,0.544692,0.118535,0.105609,0.524366,0.218979,0.224918,0.244313,0.339145,0.292655,0.255505,0.409246,0.198572,0.239946,0.266249,0.218111,0.140400,0.289136,0.347938,0.398149,0.475458,0.359945,0.329318,0.297795,0.305855,0.325206,0.495587,0.174270,0.159979,0.130036,1.109067,1.098817,0.223369,0.102947,0.190981,0.152971,0.144794,0.323892,0.202552
8,0.311628,0.214601,0.258690,0.276589,0.184380,0.350549,0.175223,0.262400,0.377718,0.090315,0.088828,0.275376,0.253929,0.277624,0.324325,0.317989,0.299096,0.279750,0.660858,0.232350,0.224496,0.246925,0.205816,0.162468,0.546879,0.319972,0.411060,0.401895,0.399533,0.355092,0.296499,0.215345,0.400063,0.296833,0.199224,0.181113,0.108163,0.375163,0.506939,0.214506,0.065179,0.171717,0.149037,0.113707,0.358758,0.185454
9,0.418640,0.197824,0.211343,0.431433,0.180495,0.495936,0.169045,0.224896,0.431863,0.130460,0.118480,0.336791,0.241418,0.302639,0.404805,0.394845,0.288309,0.290766,0.464840,0.194776,0.232957,0.330475,0.242813,0.203237,0.371671,0.355838,0.353960,0.373942,0.386958,0.338633,0.286457,0.270645,0.530034,0.466902,0.213921,0.161760,0.174759,0.265828,0.376123,0.407369,0.144475,0.172565,0.142462,0.121333,0.479002,0.165167
