sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,0.789634,0.230988,0.421750,0.428251,0.156787,0.902977,0.247974,0.265496,1.057642,0.201178,0.134556,0.546977,0.281807,0.377085,0.463556,0.380072,0.352596,0.361771,0.888142,0.617879,0.393580,0.319592,0.268802,0.199682,0.571400,0.356130,0.411444,0.482942,0.443688,0.315578,0.479351,0.520880,1.126858,0.346277,0.235533,0.112815,0.215551,0.441214,0.309297,0.957569,1.251860,0.243163,0.295091,0.354081,1.115559,0.713324
1,0.241437,0.205287,0.294286,0.647526,0.224668,0.771699,0.170647,0.227428,0.909439,0.187835,0.100240,0.343744,0.277750,0.399376,0.452456,0.376728,0.297659,0.409747,0.970991,0.391701,0.234253,0.283423,0.226689,0.214555,0.585807,0.315867,0.440471,0.393021,0.491618,0.337468,0.378763,0.355188,0.864343,0.327706,0.203371,0.178926,0.128112,0.657836,0.852896,0.442982,1.042315,0.219070,0.166589,0.154208,0.382011,0.255526
2,0.462638,0.238996,0.291535,0.513713,0.369744,0.867163,0.528890,0.351384,0.621934,0.146959,0.139265,0.661806,0.258274,0.389105,0.337803,0.285960,0.401687,0.338699,0.319243,0.260515,0.295012,0.584163,0.264863,0.235607,0.895098,0.377945,0.500733,0.502107,0.504845,0.330873,0.444349,0.365160,0.667871,1.656566,0.217005,0.149041,0.298042,0.467350,0.488879,0.430278,0.589495,0.261366,0.255914,0.234266,0.826562,0.278820
3,0.578381,0.192995,0.306317,0.434474,0.390359,0.544289,0.513900,0.282593,0.393484,0.141328,0.251131,0.477296,0.285508,0.375818,0.280326,0.340960,0.365926,0.313976,0.845476,0.238283,0.252094,0.567405,0.233177,0.275879,0.489340,0.367383,0.410595,0.476123,0.564095,0.388953,0.301304,0.313811,0.611039,0.848647,0.195042,0.147283,0.243979,0.416146,0.276072,0.513519,0.279867,0.192998,0.197213,0.170816,0.917121,0.320151
4,0.290203,0.213773,0.303640,0.299274,0.299404,0.767991,0.237640,0.266065,0.585140,0.206614,0.261268,0.398252,0.238654,0.293309,0.282501,0.309596,0.427594,0.481350,0.728917,0.687679,0.428209,0.396706,0.246280,0.205931,1.201247,0.460962,0.491254,0.477743,0.513858,0.376101,0.452553,0.222474,0.694511,0.923108,0.216813,0.219167,0.179152,0.457561,0.485877,0.833510,0.311848,0.278043,0.308870,0.319889,0.831878,0.302926
5,0.350637,0.169833,0.308210,0.185614,0.188899,0.515926,0.245980,0.316616,0.725095,0.170181,0.128644,0.409547,0.270444,0.349986,0.277538,0.435365,0.369467,0.326273,0.319834,0.188591,0.236000,0.375331,0.322110,0.215381,0.369224,0.373798,0.428452,0.472616,0.492540,0.368440,0.351469,0.185568,0.789376,0.526325,0.192927,0.187438,0.188672,1.171866,0.537912,0.782863,0.634680,0.310600,0.297813,0.335002,0.891615,0.392716
6,0.411622,0.202078,0.261965,0.492408,0.215045,0.336332,0.228197,0.229524,0.355148,0.139117,0.159668,0.253779,0.260861,0.314169,0.295537,0.471608,0.350757,0.298536,0.562142,0.521274,0.276950,0.514372,0.243495,0.192507,0.391986,0.378613,0.516864,0.538050,0.460143,0.410710,0.374721,0.296322,0.694360,0.934726,0.176185,0.161276,0.198280,1.134988,0.803593,0.419735,0.618393,0.232702,0.263271,0.280903,0.843952,0.247708
7,0.324498,0.230303,0.251362,0.285091,0.204565,0.502882,0.297395,0.257141,0.676565,0.134786,0.124888,0.559691,0.276518,0.327130,0.293472,0.467434,0.333560,0.309611,0.492821,0.230602,0.312034,0.318644,0.225549,0.171533,0.373106,0.414534,0.543016,0.554839,0.436782,0.446750,0.334749,0.370960,0.511469,0.752143,0.181882,0.173030,0.154377,1.335976,1.157577,0.291728,0.127861,0.237697,0.174352,0.162960,0.392408,0.284589
8,0.392759,0.308693,0.287670,0.329670,0.228941,0.465897,0.238096,0.353045,0.420588,0.095516,0.119607,0.330547,0.335311,0.398468,0.418401,0.414876,0.333374,0.422346,0.808952,0.325678,0.267061,0.299549,0.231648,0.202614,0.633017,0.376053,0.542223,0.446171,0.439408,0.383348,0.347454,0.243129,0.601641,0.411241,0.213725,0.201862,0.137217,0.382513,0.593173,0.261478,0.077601,0.193528,0.192069,0.142974,0.382968,0.298599
9,0.531987,0.283073,0.240471,0.538712,0.240863,0.665022,0.176484,0.306563,0.491578,0.176793,0.126742,0.391379,0.334788,0.411314,0.481972,0.502829,0.328269,0.392042,0.636325,0.252668,0.323280,0.414639,0.257851,0.215511,0.499842,0.455456,0.466574,0.474987,0.453479,0.362144,0.468415,0.322435,0.787999,0.680221,0.277418,0.197028,0.212666,0.384583,0.397965,0.609439,0.230611,0.196490,0.206323,0.141413,0.581279,0.248175
10,0.430802,0.253906,0.284436,0.447835,0.236234,0.551130,0.205238,0.287817,0.256978,0.184452,0.165505,0.218632,0.298254,0.369984,0.445940,0.446540,0.333715,0.359771,0.382447,0.350916,0.288513,0.375872,0.297484,0.243470,0.467391,0.453691,0.436264,0.434257,0.484542,0.350281,0.390955,0.374252,0.683313,1.102379,0.315196,0.172306,0.215394,0.492679,0.395051,0.444709,0.352407,0.190077,0.213529,0.159968,0.425481,0.204415
11,0.270316,0.230804,0.321159,0.261426,0.211040,0.462961,0.370978,0.253108,0.436326,0.186009,0.178944,0.247303,0.297259,0.344224,0.377092,0.420828,0.315739,0.254690,0.465827,0.300044,0.278050,0.352689,0.271397,0.248397,0.606316,0.454509,0.405168,0.419543,0.480179,0.312864,0.395368,0.208074,0.611571,0.948701,0.285431,0.201111,0.298412,1.369493,0.613906,0.367793,0.465516,0.195865,0.247029,0.196580,0.528709,0.394639
12,0.330138,0.256488,0.267303,0.266986,0.274517,0.555583,0.278669,0.228967,0.459228,0.141999,0.171968,0.296950,0.353300,0.475014,0.320488,0.472018,0.379523,0.255386,0.465175,0.270042,0.243110,0.432611,0.295200,0.205898,0.411696,0.414788,0.463930,0.487391,0.591345,0.413276,0.322935,0.247281,0.652110,0.979488,0.150535,0.171465,0.198820,0.615990,0.471312,0.420436,0.292869,0.218552,0.282778,0.259178,0.454985,0.326416
13,0.402421,0.218635,0.260620,0.480775,0.240923,0.576884,0.422878,0.338901,0.884945,0.174488,0.150600,0.427383,0.199450,0.327154,0.315628,0.404786,0.351631,0.468040,0.941822,0.410130,0.261916,0.475462,0.248928,0.227957,1.068295,0.413101,0.406323,0.541266,0.469641,0.388544,0.342796,0.369313,0.779967,0.439772,0.454574,0.465015,0.404766,2.846652,2.115373,0.659719,0.441332,0.254037,0.169941,0.203190,0.498562,0.367776
14,0.329798,0.231968,0.232659,0.269453,0.245729,0.662409,0.600546,0.463502,0.436407,0.155524,0.131651,0.432465,0.264030,0.373638,0.317239,0.411531,0.335267,0.380645,0.420780,0.470868,0.329712,0.289203,0.240248,0.181912,0.697094,0.465697,0.475262,0.478225,0.462271,0.412709,0.354401,0.317543,0.797814,1.001823,0.508502,0.477049,0.399732,2.225610,0.373588,0.542789,0.397113,0.250875,0.207737,0.143831,0.496199,0.358063
15,0.326840,0.214529,0.199031,0.321943,0.262699,0.574301,0.509900,0.350000,0.477676,0.156173,0.145736,0.342920,0.326116,0.344010,0.296029,0.382743,0.382641,0.313865,0.742686,0.385328,0.233467,0.318310,0.211218,0.189306,0.467891,0.445937,0.529663,0.459685,0.457596,0.426227,0.360525,0.184594,0.635131,1.016625,0.313583,0.298508,0.178572,1.197858,0.324970,0.337633,0.370395,0.231768,0.141067,0.151304,0.365987,0.326920
16,0.319441,0.188329,0.365520,0.191564,0.299194,0.557363,0.353079,0.381866,0.325649,0.140654,0.137121,0.215181,0.369101,0.340870,0.323216,0.402302,0.345704,0.331196,0.440802,0.256636,0.290350,0.313218,0.209265,0.210802,0.434216,0.440925,0.517515,0.438052,0.456769,0.450523,0.349089,0.281513,0.691095,1.365564,0.289274,0.188277,0.225812,0.932838,0.230988,0.406200,0.416135,0.181736,0.137497,0.165363,0.501900,0.237329
17,0.329848,0.197349,0.299881,0.184938,0.313134,0.811086,0.257380,0.338653,0.418870,0.154568,0.126876,0.295572,0.346592,0.373290,0.351410,0.419691,0.346713,0.277101,0.495414,0.249500,0.340187,0.665681,0.255259,0.206037,0.347996,0.414205,0.487734,0.468591,0.436513,0.397061,0.370455,0.264039,1.154794,0.948324,0.388877,0.230295,0.360696,1.802379,0.448018,0.516572,0.384802,0.193255,0.170994,0.262188,0.566240,0.426129
18,0.264180,0.214410,0.275277,0.276645,0.301184,0.711337,0.428456,0.337634,0.325653,0.131649,0.135452,0.624607,0.340843,0.350479,0.352943,0.473981,0.314181,0.346241,0.416784,0.369356,0.307549,0.440039,0.270594,0.203607,0.536456,0.343369,0.486330,0.481499,0.432512,0.375687,0.392528,0.366051,0.774062,1.529560,0.417577,0.245493,0.335388,1.860888,0.329070,0.312629,0.309082,0.171566,0.194069,0.243471,0.536738,0.271731
19,0.287469,0.210821,0.213219,0.230119,0.252750,0.766615,0.378570,0.490115,0.296006,0.163726,0.143737,0.592688,0.293957,0.397104,0.394953,0.461244,0.309944,0.304931,0.709077,0.537306,0.332576,0.555865,0.250533,0.197422,0.455239,0.360992,0.498045,0.464331,0.454701,0.355107,0.407822,0.297861,0.940768,0.809216,0.254122,0.175481,0.290412,1.368554,0.384969,0.331727,0.394046,0.181143,0.170396,0.214252,0.605795,0.310027
20,0.281736,0.223731,0.290137,0.284358,0.208290,0.761936,0.365736,0.446268,0.340746,0.171755,0.146379,0.463382,0.309468,0.408418,0.416669,0.462233,0.309174,0.260594,0.654290,0.429239,0.264738,0.313925,0.262869,0.222089,0.395980,0.352820,0.511369,0.451489,0.441783,0.348807,0.446553,0.269377,0.761254,0.386635,0.181691,0.209922,0.212248,1.042643,0.315453,0.284060,0.402218,0.172225,0.191709,0.181350,0.412271,0.316934
21,0.310869,0.234582,0.339768,0.260306,0.299540,0.480167,0.276829,0.223258,0.356255,0.145283,0.160955,0.608997,0.355285,0.442619,0.355586,0.509274,0.290251,0.360530,0.325942,0.189476,0.299236,0.481824,0.286114,0.226455,0.448164,0.371762,0.529798,0.430693,0.460521,0.319653,0.376051,0.292698,0.748313,1.018217,0.207819,0.181113,0.179374,0.355443,0.458774,0.340156,0.245476,0.224990,0.194464,0.154201,0.462816,0.366467
