sic,calf_l,calf_r
0,0.219714,1.907674
1,0.264834,1.883940
2,2.626082,1.049875
3,0.112570,0.431336
4,0.218827,0.225149
5,2.494654,0.202449
6,0.457500,0.618627
7,0.217808,0.219168
8,0.346996,0.270228
9,0.523173,0.273516
10,0.421701,0.312606
11,0.533845,0.332988
12,0.552652,0.372889
13,1.634597,0.381895
14,0.638050,0.459657
15,0.631252,0.423053
16,0.985916,0.433210
17,0.734598,0.369907
18,0.688303,0.381638
19,0.679100,0.349936
20,0.596160,0.347295
21,0.670503,0.346447
22,2.213255,0.352321
23,0.597105,0.351727
24,0.550517,0.347980
25,0.778803,0.352798
26,0.611090,0.427437
27,2.046802,0.429956
28,0.536525,0.375232
29,0.255351,0.396581
30,0.282931,0.340793
31,0.990861,0.401659
32,2.679881,0.328080
33,0.915029,0.326826
34,0.429779,0.288241
35,0.354787,0.331174
36,0.471587,0.297466
37,0.522163,0.276765
38,0.157372,0.396997
39,0.262028,0.415598
40,0.653488,0.353080
41,0.469783,0.547579
42,0.107348,0.410411
43,0.194090,0.486086
44,0.378894,0.187666
45,0.139292,0.168053
46,0.106487,0.232316
47,0.309458,0.598159
48,0.090535,0.312188
49,0.208686,0.347800
50,0.143405,0.261427
51,0.328682,0.404852
52,0.185345,0.154773
53,0.277625,0.523799
54,0.252977,0.508666
55,0.175360,0.122889
56,0.227488,0.126373
57,0.190904,0.131804
58,0.464292,0.457269
59,0.597177,0.118072
60,0.283454,0.152672
61,0.950260,0.485586
62,0.193389,0.144567
63,0.482682,0.146372
64,0.510036,0.196128
65,0.192256,0.281508
66,0.228819,0.183156
67,0.561155,0.395940
68,0.626694,0.374371
69,0.630832,0.656026
70,0.267686,0.388298
71,1.869453,0.155985
72,1.002042,0.183400
73,0.164942,0.183362
74,0.167127,0.303375
75,0.405541,0.943024
76,0.196322,0.644594
77,0.159238,0.945804
78,0.189231,0.241249
79,0.211954,0.244232
80,0.152044,0.805520
81,0.301941,1.657629
82,0.125505,0.806963
83,0.130984,0.495694
84,0.688329,0.744515
85,0.819826,2.238058
