sic,calf_l,calf_r
0,0.250312,2.074771
1,0.327283,1.993062
2,2.691934,1.226979
3,0.179718,0.554522
4,0.288674,0.297495
5,2.675194,0.230784
6,0.606037,0.737671
7,0.313660,0.242427
8,0.592361,0.306998
9,0.771605,0.338011
10,0.550143,0.447625
11,0.914491,0.459241
12,0.664877,0.556513
13,2.411547,0.467292
14,0.710287,0.710371
15,0.807368,0.637036
16,1.462021,0.652684
17,0.968593,0.548414
18,0.876180,0.437806
19,0.848219,0.395609
20,0.690251,0.415816
21,0.730595,0.422667
22,2.796786,0.420302
23,0.764990,0.500837
24,0.892621,0.504404
25,1.335490,0.511603
26,0.777707,0.667699
27,2.414920,0.695047
28,0.758770,0.531323
29,0.322910,0.582905
30,0.311876,0.489400
31,1.299795,0.617200
32,2.855171,0.468990
33,1.064962,0.401824
34,0.497919,0.387304
35,0.428871,0.419753
36,0.565577,0.356184
37,0.589747,0.386283
38,0.169026,0.513759
39,0.325483,0.547770
40,0.876637,0.478472
41,0.585272,0.722510
42,0.128767,0.576317
43,0.228620,0.624172
44,0.388456,0.202809
45,0.164732,0.181122
46,0.123177,0.294028
47,0.369831,0.658216
48,0.122696,0.477897
49,0.241692,0.432138
50,0.194803,0.401657
51,0.389225,0.557330
52,0.237916,0.165291
53,0.415650,0.608921
54,0.354638,0.561596
55,0.206711,0.151983
56,0.333937,0.137236
57,0.297359,0.146967
58,0.630543,0.520233
59,0.689008,0.129434
60,0.462837,0.216418
61,0.987639,0.556720
62,0.228025,0.182010
63,0.572054,0.180691
64,0.601850,0.249106
65,0.266411,0.357631
66,0.343121,0.257450
67,0.672011,0.474374
68,0.717919,0.436123
69,0.724058,0.718931
70,0.361701,0.446104
71,2.014513,0.208893
72,1.100846,0.227993
73,0.198953,0.272177
74,0.188901,0.352430
75,0.486541,1.077303
76,0.262956,0.837376
77,0.182114,1.063793
78,0.255980,0.342865
79,0.290728,0.323253
80,0.196326,0.919557
81,0.369714,1.759404
82,0.169823,0.915488
83,0.184262,0.619046
84,0.792682,0.928616
85,0.941057,2.553160
