sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,0.819618,0.210912,0.319468,0.242098,0.178253,0.795810,0.245119,0.119279,0.811235,0.129384,0.159467,0.572242,0.171390,0.254874,0.286666,0.342538,0.347340,0.228639,0.478676,0.465102,0.242708,0.469963,0.181243,0.187825,0.425625,0.274529,0.318788,0.332745,0.400447,0.258697,0.426695,0.442260,0.875667,0.416800,0.195981,0.183729,0.106555,0.677690,0.345619,1.057277,1.943126,0.207399,0.182478,0.250564,1.013414,0.469714
1,0.394173,0.180577,0.358575,0.616677,0.142487,0.800770,0.169899,0.170336,0.986495,0.119313,0.174600,0.508027,0.174897,0.232239,0.327152,0.337154,0.323922,0.328245,0.713045,0.301144,0.167766,0.361708,0.207612,0.183243,0.429438,0.247974,0.371340,0.357741,0.406890,0.288355,0.376503,0.300861,0.866206,0.384529,0.185796,0.241260,0.154493,1.308287,0.969537,0.406412,1.924269,0.155398,0.231167,0.232803,0.530227,0.394788
2,0.352669,0.157807,0.330320,0.518078,0.482795,1.404194,0.726440,0.335388,1.291302,0.108957,0.160563,0.631366,0.182051,0.206789,0.338546,0.354755,0.319767,0.190264,0.379134,0.329930,0.238040,0.230568,0.226801,0.191520,0.866807,0.208694,0.352793,0.338005,0.391308,0.296466,0.368549,0.437238,1.247199,2.446695,0.216680,0.228047,0.141492,0.585842,0.800128,0.311243,0.914911,0.216493,0.347335,0.268449,1.066258,0.278273
3,0.458608,0.221125,0.181312,0.599109,0.284647,0.377962,0.229864,0.184804,0.390795,0.180477,0.184876,0.299064,0.205542,0.311254,0.280524,0.346219,0.359705,0.221856,0.539140,0.368964,0.278068,0.259814,0.241644,0.234306,0.369265,0.276751,0.387683,0.304113,0.438151,0.280467,0.455845,0.252858,0.408715,0.400577,0.155899,0.208323,0.144685,0.722018,0.234889,0.328468,0.337205,0.157887,0.184263,0.222545,0.451815,0.294661
4,0.187271,0.142543,0.276432,0.328149,0.189337,0.375030,0.305772,0.252428,0.343291,0.111287,0.127522,0.378539,0.184233,0.255121,0.375012,0.317606,0.291823,0.278455,1.197524,0.606398,0.402896,0.271465,0.246517,0.190912,1.287073,0.208462,0.338456,0.329250,0.380995,0.328062,0.438925,0.289443,0.346271,0.209566,0.180040,0.237559,0.149312,0.699968,0.225606,0.727502,0.195040,0.277023,0.169590,0.228988,0.982732,0.425428
5,0.437450,0.181059,0.233562,0.151552,0.145861,0.777872,0.299145,0.267925,1.040029,0.150057,0.129544,0.603145,0.193563,0.299757,0.344540,0.306020,0.324092,0.166581,0.378172,0.309884,0.248917,0.155730,0.205455,0.170754,0.302215,0.294328,0.309751,0.344630,0.443955,0.309593,0.458457,0.195533,1.138723,2.201754,0.233158,0.271467,0.193751,0.964650,1.379913,0.769465,0.204025,0.310249,0.202454,0.190116,1.038438,0.259384
6,0.463059,0.173140,0.270528,0.407013,0.203379,0.551792,0.210911,0.109652,0.599012,0.145957,0.114081,0.270077,0.166471,0.281767,0.376200,0.307918,0.293992,0.167233,0.319284,0.416176,0.167771,0.270838,0.192057,0.157569,0.341964,0.248071,0.282559,0.328076,0.422403,0.311318,0.322583,0.305959,0.439689,0.661470,0.181124,0.208843,0.120061,1.689856,0.342490,0.562090,0.605936,0.264738,0.138979,0.219241,1.238465,0.270137
7,0.111014,0.191261,0.324610,0.164216,0.208771,0.384429,0.221787,0.151081,0.359496,0.151372,0.176686,0.581290,0.179007,0.264120,0.382151,0.338289,0.311096,0.227012,0.440327,0.277375,0.259136,0.365198,0.191441,0.165667,0.302570,0.239479,0.256144,0.313544,0.434073,0.317302,0.322240,0.266443,0.325232,0.396048,0.188698,0.204210,0.097368,1.910429,0.700990,0.254628,0.229965,0.147524,0.191147,0.229139,0.581226,0.316645
8,0.133674,0.178317,0.249173,0.207660,0.230232,0.436117,0.271088,0.096615,0.315773,0.150980,0.184575,0.258564,0.175803,0.269611,0.357043,0.337606,0.338795,0.333090,0.347156,0.283902,0.149253,0.291036,0.180627,0.214481,0.454279,0.276893,0.298911,0.305664,0.427598,0.306761,0.367305,0.183485,0.317080,0.284746,0.205007,0.208944,0.098744,0.623322,0.796752,0.413468,0.230408,0.169382,0.244188,0.253205,0.535995,0.312094
9,0.233381,0.163749,0.251941,0.370755,0.160742,0.474022,0.246932,0.133685,0.326060,0.131617,0.161314,0.398659,0.174988,0.261167,0.320230,0.351880,0.319779,0.188198,0.209278,0.308805,0.220852,0.150598,0.188690,0.224796,0.427723,0.292606,0.328201,0.282331,0.393869,0.282552,0.408699,0.232462,0.553879,0.397627,0.235055,0.192974,0.192640,1.338322,0.260425,0.278613,0.163391,0.177106,0.245014,0.263787,0.631904,0.278287
10,0.438680,0.172936,0.307486,0.336507,0.183948,0.358179,0.221256,0.179687,0.324265,0.125511,0.140132,0.231851,0.210498,0.268300,0.245818,0.358209,0.333707,0.181278,0.463819,0.350057,0.143090,0.183508,0.220275,0.212349,0.594654,0.298505,0.344878,0.312416,0.388731,0.311363,0.423624,0.310772,0.394005,0.283533,0.265656,0.202697,0.144319,1.160340,0.362047,0.650624,0.192354,0.161872,0.196972,0.216264,0.291478,0.280366
11,0.313036,0.178905,0.357473,0.200412,0.222550,0.367366,0.281435,0.157598,0.407926,0.134586,0.118690,0.359563,0.220733,0.263808,0.255102,0.359140,0.316305,0.210105,0.372061,0.370504,0.223182,0.218680,0.231846,0.189153,0.777940,0.276080,0.331965,0.326423,0.406935,0.354506,0.379713,0.231628,0.462929,0.462607,0.206593,0.171007,0.132494,1.033305,0.749905,0.516046,0.221077,0.183630,0.175652,0.197057,0.384538,0.307705
12,0.246007,0.191529,0.331268,0.171172,0.187643,0.364876,0.187206,0.170515,0.224870,0.175340,0.101108,0.192007,0.190219,0.303600,0.434396,0.368205,0.309367,0.184232,0.208235,0.309250,0.187168,0.205840,0.221440,0.181389,0.324947,0.260042,0.254850,0.263319,0.470261,0.330070,0.400102,0.273025,0.506926,0.416031,0.161420,0.222340,0.189444,1.475906,0.352829,0.566657,0.251210,0.152585,0.146271,0.228685,0.485091,0.385266
13,0.255002,0.202415,0.255378,0.432323,0.254298,0.322737,0.304774,0.169365,0.517609,0.179281,0.090778,0.840196,0.213620,0.264681,0.319499,0.334827,0.348797,0.187878,0.217241,0.322179,0.287689,0.415888,0.259630,0.168381,0.774816,0.251558,0.306867,0.380654,0.448365,0.410854,0.364749,0.265005,0.464756,1.458533,0.567091,0.525781,0.647365,3.276272,2.054828,0.446813,0.313261,0.176007,0.162578,0.215243,0.375195,0.305316
14,0.156950,0.177261,0.255853,0.403795,0.286434,0.435270,0.461207,0.289956,0.404122,0.157799,0.114207,0.663948,0.193359,0.213621,0.306366,0.319121,0.298936,0.204811,0.783901,0.453889,0.310813,0.261529,0.199611,0.148395,0.802905,0.232966,0.249037,0.358921,0.462789,0.363469,0.294469,0.223503,0.507641,0.545125,0.649227,0.639071,0.690632,3.001001,0.288594,0.459826,0.391473,0.195688,0.148771,0.218764,0.396550,0.297661
15,0.182303,0.185196,0.236390,0.447497,0.211630,0.299840,0.225018,0.109442,0.372468,0.152172,0.120229,0.430910,0.182860,0.219489,0.297807,0.312637,0.311578,0.197930,0.275333,0.298726,0.175603,0.193398,0.179002,0.170574,0.312696,0.250361,0.245868,0.398297,0.447099,0.353989,0.293288,0.233283,0.404027,0.706686,0.323882,0.344111,0.279346,1.917019,0.225872,0.251674,0.382129,0.145357,0.174112,0.248604,0.288834,0.287394
16,0.144687,0.170692,0.261990,0.118346,0.235539,0.298721,0.162344,0.113738,0.377510,0.145129,0.130464,0.336974,0.183034,0.226546,0.300260,0.310136,0.294853,0.195525,0.364863,0.285324,0.199550,0.188839,0.167118,0.168780,0.307716,0.247960,0.238369,0.357804,0.442306,0.332259,0.304127,0.330145,0.409540,1.476866,0.194391,0.178467,0.121508,1.688343,0.250245,0.277954,0.377564,0.150386,0.162381,0.234768,0.465562,0.313469
