sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,0.860768,0.250858,0.357644,0.298080,0.253181,1.026436,0.415713,0.148462,0.983289,0.154466,0.192694,0.693522,0.262343,0.346765,0.305759,0.462165,0.406796,0.292023,0.523079,0.670602,0.341129,0.551984,0.216761,0.233424,0.652690,0.337501,0.461373,0.424679,0.514098,0.355682,0.524364,0.515870,1.065579,0.654786,0.208514,0.230785,0.116254,1.076503,0.446481,1.303133,2.115977,0.221977,0.234466,0.370788,1.382269,0.571863
1,0.475363,0.240004,0.441141,0.697121,0.169844,0.953849,0.288626,0.188535,1.180299,0.142288,0.208553,0.614338,0.249525,0.283478,0.348476,0.407934,0.400906,0.365139,0.791447,0.435138,0.219235,0.453250,0.252289,0.253213,0.584676,0.320065,0.489208,0.471841,0.496627,0.354750,0.432105,0.350576,0.915578,0.543038,0.267643,0.246868,0.192570,1.708771,1.113162,0.504369,2.075583,0.168437,0.316753,0.316206,0.760205,0.432318
2,0.398638,0.206504,0.391838,0.623935,0.513606,1.449366,0.864988,0.404850,1.523970,0.127112,0.197153,0.718729,0.243957,0.257575,0.376541,0.443868,0.392950,0.259721,0.470470,0.412988,0.249366,0.311830,0.252263,0.270027,1.041656,0.281600,0.469057,0.478033,0.428820,0.384524,0.557852,0.518010,1.385193,2.557284,0.247632,0.317533,0.174903,0.693421,0.855226,0.381707,1.053018,0.265828,0.423547,0.358019,1.393382,0.291716
3,0.578231,0.275465,0.286395,0.696968,0.322862,0.409125,0.297045,0.265078,0.585691,0.215543,0.240655,0.361397,0.245743,0.379444,0.320563,0.426106,0.460096,0.274882,0.656978,0.451404,0.321329,0.394807,0.282608,0.337599,0.485807,0.341859,0.541106,0.337935,0.499154,0.397088,0.479834,0.381439,0.506208,0.518390,0.209828,0.284720,0.186435,1.030361,0.288558,0.563551,0.434659,0.189681,0.290610,0.308480,0.627266,0.384099
4,0.220229,0.203442,0.405171,0.453847,0.238959,0.465727,0.387932,0.291375,0.491636,0.122337,0.170406,0.415824,0.201597,0.289458,0.421280,0.334093,0.376020,0.331789,1.283650,0.874029,0.437553,0.379594,0.269444,0.251772,1.425227,0.253938,0.432965,0.453572,0.401432,0.359228,0.541837,0.373726,0.463938,0.265188,0.248580,0.301246,0.181514,1.097476,0.269414,0.776744,0.215581,0.314545,0.229754,0.370477,1.157667,0.486644
5,0.486186,0.231480,0.289517,0.226736,0.229521,0.849389,0.453618,0.280861,1.228400,0.186116,0.162745,0.658270,0.199130,0.393494,0.399541,0.355807,0.379223,0.257701,0.459108,0.411252,0.279330,0.213225,0.275855,0.225639,0.434250,0.365824,0.409915,0.418060,0.540457,0.319496,0.493973,0.267840,1.304069,2.338482,0.375883,0.333196,0.221481,1.233721,1.476492,0.859001,0.237176,0.324265,0.242540,0.268622,1.073537,0.296617
6,0.509863,0.233606,0.319849,0.479341,0.278783,0.584854,0.244029,0.181962,0.793464,0.177669,0.156211,0.283082,0.172879,0.343325,0.429509,0.340560,0.335219,0.230501,0.491947,0.625539,0.275722,0.312794,0.228176,0.209028,0.489593,0.303819,0.356098,0.443606,0.485010,0.345165,0.410852,0.411471,0.641023,0.900655,0.276255,0.262877,0.152004,1.993622,0.385141,0.627806,0.670179,0.288581,0.170168,0.345716,1.511145,0.312602
7,0.137657,0.248756,0.411229,0.221719,0.271191,0.488964,0.309989,0.176631,0.423084,0.206273,0.217203,0.620763,0.230343,0.337726,0.472026,0.385519,0.364385,0.243795,0.519372,0.343765,0.297987,0.440406,0.230473,0.209032,0.410574,0.269448,0.302675,0.409708,0.524071,0.368941,0.419486,0.319924,0.464453,0.492723,0.263476,0.269040,0.132233,2.340727,0.783175,0.333418,0.318629,0.202958,0.270075,0.252352,0.613777,0.366828
8,0.160015,0.219638,0.328502,0.292291,0.260187,0.536105,0.373271,0.125981,0.330430,0.182380,0.244427,0.323264,0.239601,0.332707,0.426988,0.404631,0.399877,0.421700,0.399889,0.343863,0.234728,0.332759,0.246105,0.281384,0.620388,0.323198,0.346568,0.393389,0.497843,0.423914,0.374253,0.259361,0.383373,0.458393,0.209371,0.248716,0.103397,0.979201,0.935448,0.493827,0.299515,0.200623,0.306027,0.319144,0.616279,0.352031
9,0.267945,0.213245,0.311651,0.495384,0.178718,0.550031,0.352366,0.172880,0.341300,0.144411,0.211626,0.478251,0.255527,0.314826,0.342997,0.485331,0.396015,0.234136,0.263420,0.371695,0.222942,0.181434,0.247452,0.265750,0.556715,0.344717,0.371805,0.355203,0.426016,0.378410,0.489673,0.258234,0.718110,0.508659,0.299221,0.270513,0.235487,1.742070,0.309151,0.308898,0.192220,0.204308,0.298992,0.355225,0.744303,0.296183
