sic,bone,mean_deg,p50_deg,p90_deg,count
37,foot_l,5.451156934102376,5.603224754333496,5.975466728210449,3
36,foot_l,4.052787224451701,4.379786014556885,4.584952640533447,3
31,foot_l,3.627788702646891,3.746851921081543,3.970183753967285,3
53,ball_r,3.5752689838409424,3.790687084197998,4.181969738006591,3
13,foot_l,3.2762720584869385,2.566786766052246,4.274765968322754,3
32,calf_l,3.2626046339670816,3.273164749145508,3.538779067993164,3
60,foot_r,3.197680950164795,3.0615391731262207,3.520057773590088,3
14,foot_l,3.0010005633036294,2.6340413093566895,3.752697467803955,3
35,foot_l,2.959929625193278,3.3207945823669434,3.5772936820983885,3
52,ball_r,2.9416365226109824,3.2878732681274414,3.530389404296875,3
41,foot_l,2.8569252490997314,2.7269670963287354,3.431414842605591,3
85,foot_r,2.7683117389678955,2.826578140258789,3.2992647171020506,3
53,foot_r,2.747079531351725,2.899064540863037,2.924025821685791,3
34,foot_l,2.621645172437032,2.671576976776123,3.322350025177002,3
32,thigh_l,2.4988277753194175,2.4382030963897705,2.7670006275177004,3
27,calf_l,2.4629499912261963,2.4625301361083984,2.484366226196289,3
2,calf_l,2.446694850921631,2.510021448135376,2.5572838306427004,3
85,calf_r,2.443806807200114,2.3351197242736816,2.631974124908447,3
38,foot_l,2.421583414077759,2.7263553142547607,2.843011808395386,3
32,foot_l,2.30559774239858,2.564934492111206,2.6876119136810304,3
22,calf_l,2.2068892319997153,2.2714221477508545,2.449529218673706,3
5,calf_l,2.2017539342244468,2.219467878341675,2.3384818553924562,3
31,thigh_l,2.1344993114471436,1.93730628490448,2.4428537130355834,3
71,calf_l,2.103536685307821,2.0019967555999756,2.2692433834075927,3
42,foot_l,2.091446876525879,1.9002453088760376,2.65790855884552,3
13,ball_l,2.054827610651652,1.9608137607574463,2.2067158222198486,3
37,thigh_l,2.0306334098180137,2.165139675140381,2.2040438652038574,3
81,calf_r,2.021456321080526,2.066516637802124,2.1593766689300535,3
40,foot_l,1.9911890029907227,1.8089096546173096,2.416303110122681,3
18,foot_l,1.9455661177635193,1.903219223022461,2.7927026748657227,3
0,calf_r,1.943126122156779,1.971570372581482,2.1159769773483275,3
1,calf_r,1.9242693185806274,1.8660681247711182,2.0755831241607665,3
15,foot_l,1.9170193274815877,2.265904664993286,2.2925541400909424,3
7,foot_l,1.9104291598002117,1.9724645614624023,2.340726852416992,3
49,ball_r,1.7804515759150188,1.693827509880066,1.9156567335128785,3
31,calf_l,1.7379496494928997,1.9259216785430908,1.928962278366089,3
6,foot_l,1.6898564497629802,1.6741129159927368,1.993621563911438,3
16,foot_l,1.6883434156576793,1.5401276350021362,2.9384847402572634,3
17,foot_l,1.6881742477416992,1.5367165803909302,2.0741285562515257,3
55,foot_r,1.681606928507487,1.947109341621399,1.9720926523208617,3
36,thigh_l,1.654341697692871,1.807360053062439,1.8915989637374877,3
16,calf_l,1.4768658081690471,1.3017033338546753,1.7378217458724976,3
12,foot_l,1.4759060740470886,1.6722081899642944,2.0568100690841673,3
13,calf_l,1.4585331678390503,1.4231021404266357,1.8725568294525146,3
29,foot_l,1.4443384806315105,1.135358214378357,1.9805611371994019,3
54,ball_r,1.4072300791740417,1.5855334997177124,1.844425654411316,3
2,upperarm_l,1.4041943152745564,1.3754655122756958,1.4493655443191529,3
5,ball_l,1.379913051923116,1.3424477577209473,1.4764918327331542,3
9,foot_l,1.338322361310323,1.0723730325698853,1.7420698404312134,3
56,foot_r,1.3363097111384075,1.518812656402588,1.6651241302490234,3
40,thigh_l,1.3289261261622112,1.3433681726455688,1.4927247285842895,3
22,foot_l,1.317631483078003,0.9278063774108887,1.98362512588501,3
1,foot_l,1.3082869450251262,1.0461140871047974,1.7087710618972778,3
72,calf_l,1.2954001426696777,1.2552824020385742,1.3716193199157716,3
45,foot_l,1.2951200405756633,1.3548779487609863,1.435209083557129,3
2,lowerarm_l,1.2913021643956502,1.2133488655090332,1.5239704132080079,3
4,hand_r,1.2870731353759766,1.2513442039489746,1.4252269744873047,3
54,foot_r,1.2774625023206074,1.388214349746704,1.436143445968628,3
74,foot_r,1.2763648827870686,1.085253357887268,1.6106666803359986,3
26,hand_r,1.2668561538060505,1.317238450050354,1.3465088129043579,3
58,foot_r,1.2576352953910828,1.3807685375213623,1.5102950572967528,3
2,thigh_l,1.2471985419591267,1.2819812297821045,1.385193395614624,3
85,upperarm_l,1.2410035133361816,1.294756293296814,1.2981163740158081,3
52,foot_r,1.2407792409261067,1.3119834661483765,1.4182142972946168,3
51,ball_r,1.2399682402610779,1.4077180624008179,1.6655991315841674,3
33,foot_l,1.2394830187161763,1.4698843955993652,1.646789264678955,3
6,foot_r,1.238464633623759,1.4493669271469116,1.5111448049545289,3
71,foot_r,1.2365293502807617,1.1654813289642334,1.571674680709839,3
85,foot_l,1.207681655883789,1.2209817171096802,1.4625010728836059,3
82,calf_r,1.2028770049413045,1.2747087478637695,1.314354705810547,3
35,thigh_l,1.2005767226219177,1.3399755954742432,1.510291051864624,3
4,upperarm_r,1.1975236336390178,1.2768521308898926,1.283649730682373,3
10,foot_l,1.1603404680887859,0.7834625840187073,1.703900444507599,3
25,foot_l,1.1471806168556213,0.9896311163902283,1.6058911204338073,3
33,calf_l,1.139461596806844,0.9136992692947388,1.4602884531021119,3
5,thigh_l,1.1387229760487874,1.0878108739852905,1.304068922996521,3
80,calf_r,1.1268726984659831,1.1269298791885376,1.241219735145569,3
58,upperarm_l,1.1090939044952393,1.0245126485824585,1.2777957677841187,3
26,foot_l,1.0973798632621765,0.9425767064094543,1.4703536629676819,3
44,foot_l,1.081387718518575,0.962582528591156,1.3227586627006531,3
57,foot_r,1.078375260035197,1.2079938650131226,1.2954378843307495,3
41,thigh_l,1.0722160538037617,1.1757935285568237,1.2068930387496948,3
2,foot_r,1.0662579238414764,1.349703311920166,1.393382453918457,3
47,foot_r,1.0653775930404663,1.0004127025604248,1.2325435161590577,3
58,thigh_r,1.063734531402588,1.1703155040740967,1.1804452419281006,3
26,calf_l,1.0596581101417542,1.001623511314392,1.1668279409408568,3
0,thigh_r,1.0572768648465474,1.0535615682601929,1.3031326055526733,3
84,foot_r,1.0517770250638325,0.9930440187454224,1.286907696723938,3
46,ball_r,1.050764540831248,0.8263891935348511,1.4031899213790893,3
5,lowerarm_l,1.0400286515553792,1.1247423887252808,1.2284001111984253,3
44,ball_l,1.038763403892517,0.9632543325424194,1.1565035581588745,3
5,foot_r,1.03843758503596,1.0543818473815918,1.0735365867614746,3
39,foot_l,1.0380269885063171,0.9062358140945435,1.2351593255996705,3
50,foot_r,1.0337161819140117,1.171294093132019,1.2432970762252809,3
11,foot_l,1.0333053072293599,0.7926565408706665,1.3886265993118285,3
30,thigh_l,1.0280583500862122,0.9638476967811584,1.2134934544563294,3
0,foot_r,1.013414055109024,1.086877465248108,1.3822688341140748,3
26,hand_l,1.0121318697929382,0.9528026580810547,1.104738998413086,3
81,thigh_r,1.0092662970225017,1.0394502878189087,1.1260847330093384,3
77,calf_r,1.0038998921712239,1.060515284538269,1.0719972372055053,3
