sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,3.632781,0.000000,1.740194,4.749902,2.303580,9.859109,2.178921,1.392932,16.079300,0.641150,0.574464,5.064418,3.566591,3.017444,28.743185,4.950113,16.001688,4.121801,15.026199,7.810613,4.564746,9.420093,0.579416,0.859011,14.247229,1.272893,1.033857,6.078382,1.421854,6.129935,3.803022,2.552152,23.144777,11.961864,2.416315,2.414919,2.443029,10.672261,5.568624,9.032664,25.757948,0.899445,0.181790,0.859649,8.077351,5.007924
1,4.450175,0.000000,2.574487,5.475607,2.475797,8.943332,3.036880,1.746869,15.103971,0.679321,0.586317,4.562243,3.759282,3.181425,32.507980,5.639497,16.980003,3.897058,15.722575,8.236356,4.408015,9.878991,0.746823,0.839629,13.984579,1.309197,1.089160,6.302221,1.541605,6.364481,3.703048,2.254654,22.069250,10.001001,2.511627,2.498340,2.544107,11.310821,6.632220,9.988199,21.520472,1.113734,0.553026,1.236027,8.997367,4.790670
2,4.940727,0.000000,2.662294,5.201796,2.825441,7.503636,3.663713,2.047182,13.308183,0.584511,0.583265,4.200591,3.724959,3.151837,31.887484,5.524745,16.823456,3.781816,14.595347,7.729942,4.224277,10.257107,0.669823,0.842343,14.992050,1.302322,1.081013,6.293822,1.522761,6.316560,3.674174,2.376143,21.794210,7.763156,2.618650,2.607021,2.700413,11.354308,7.832876,10.184130,19.488640,1.237651,0.678457,1.243762,9.416044,4.827877
3,5.231339,0.000000,2.960619,5.629119,2.731489,6.970850,4.378506,2.392716,11.923445,0.569759,0.292484,4.346609,3.893690,3.295990,35.115688,6.122478,17.735786,3.376090,15.572461,8.991637,4.632711,10.516263,0.843293,0.951614,13.666975,1.338024,1.130644,6.421541,1.617769,6.475369,3.869387,2.357822,21.758541,6.021508,2.808930,2.782546,2.788363,11.888502,9.558296,10.555393,15.808431,1.133139,0.678873,1.203545,9.027259,4.873848
4,5.317848,0.000000,3.544496,5.480008,3.031085,6.066984,5.059781,2.743193,11.071902,0.603272,0.340299,4.366387,4.104317,3.481772,38.829796,6.841387,18.942442,2.977004,14.702252,9.053732,4.579287,10.595355,0.909277,0.819586,14.694935,1.387768,1.191720,6.497986,1.717315,6.580324,4.022233,2.388820,21.848774,3.824991,3.005343,2.952589,3.069797,12.534206,11.673936,10.770405,12.243708,0.938293,0.584932,0.944590,8.017255,5.102422
5,5.548429,0.000000,4.073202,5.104863,3.179448,4.917352,5.490587,2.761688,9.518357,0.615415,0.371231,4.244326,4.199627,3.567250,40.338402,7.148479,19.489779,2.695666,15.811123,10.503089,5.183818,10.510682,1.058866,0.941481,13.297175,1.409639,1.215403,6.475790,1.753052,6.601755,4.042166,2.529833,21.300251,0.276137,3.016829,2.950577,3.119571,12.613213,12.419293,10.385211,9.914724,0.906043,0.620367,0.924192,6.635171,5.468897
6,5.875214,0.000000,4.392426,4.610799,3.253432,4.247960,5.969259,3.065135,7.256514,0.567739,0.364043,4.549289,4.174556,3.543410,39.992737,7.075812,19.357407,2.714917,15.557850,10.865409,5.342766,10.260012,1.047874,0.940835,13.046252,1.404426,1.210544,6.484260,1.745502,6.597243,3.986644,2.779220,20.474743,3.733046,3.210124,3.146052,3.281654,13.846867,14.491403,9.220009,8.914524,0.978449,0.707425,0.930008,5.701767,5.460793
7,6.613343,0.000000,5.167761,4.920844,3.430438,4.198535,6.797549,3.394742,5.699178,0.579822,0.407430,5.024065,4.292969,3.651774,41.785675,7.448384,20.036898,2.547048,15.484880,11.161589,5.445161,9.860305,1.149923,0.941006,13.071661,1.431340,1.235680,6.422957,1.781700,6.597170,3.939027,2.829311,19.107643,8.396009,3.315044,3.233870,3.342736,15.346313,15.728345,8.398300,7.639816,1.186471,0.938489,1.115099,5.668993,5.697850
8,7.357158,0.000000,6.113590,4.970974,3.765299,4.939805,7.908865,4.045274,4.581940,0.548012,0.489305,4.992743,4.489522,3.834829,44.571251,8.047849,21.166609,2.303672,16.292065,12.107856,5.984518,9.821201,1.273635,1.073097,12.692998,1.466648,1.269261,6.233250,1.810163,6.518646,4.010165,3.213090,18.203466,13.045941,3.298631,3.185194,3.262127,16.596558,13.127900,7.551456,6.467410,1.384749,1.188189,1.280311,5.843709,5.980271
9,7.987928,0.000000,6.935053,4.997953,3.919957,5.984304,8.980944,4.378188,3.536671,0.552773,0.559996,4.838876,4.650787,3.987837,46.737682,8.526219,22.077017,2.075773,16.339151,12.753606,6.144568,9.551640,1.323352,1.085590,12.859115,1.486103,1.284841,5.991649,1.809407,6.377738,3.856620,3.412075,16.857790,17.820042,3.097138,2.954357,3.157036,18.608961,10.731220,6.899908,5.820045,1.551149,1.373352,1.448724,6.208930,6.026130
10,8.446565,0.000000,7.544804,4.106803,4.197978,7.484538,9.934402,5.009076,2.444870,0.553087,0.602080,4.157987,4.747691,4.079872,47.968899,8.812813,22.621166,1.962702,16.350077,13.536092,6.592450,9.174856,1.351181,1.095004,12.964426,1.494346,1.288981,5.807601,1.800393,6.257550,3.826660,4.005777,15.974584,21.847509,2.738873,2.576146,2.673342,21.167908,7.551414,5.888491,5.517276,1.573380,1.396948,1.420614,6.345912,6.049763
11,8.901661,0.000000,8.044513,3.991362,4.516110,8.884501,10.912243,5.329062,1.503904,0.552726,0.637754,3.691841,4.836953,4.162806,49.099926,9.065136,23.101637,1.862388,16.755451,14.166137,6.850793,8.648173,1.428215,1.105225,12.938355,1.500905,1.290474,5.629437,1.788351,6.130440,3.719048,4.293432,14.131896,25.780352,2.189292,2.007894,2.183434,24.262007,4.931487,5.177904,5.335466,1.595155,1.419246,1.393540,6.495316,6.310688
