sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,0.423532,0.188470,0.223052,0.365466,0.233350,0.377634,0.224804,0.202085,0.360364,0.134324,0.133451,0.245268,0.201292,0.250765,0.307588,0.296864,0.296934,0.281027,0.537761,0.500644,0.206404,0.276541,0.157949,0.129350,0.366981,0.267882,0.277465,0.174026,0.427104,0.268633,0.399046,0.217210,0.554835,0.253724,0.167278,0.135774,0.151236,0.486068,0.485877,0.577307,0.266968,0.090311,0.186114,0.125007,0.676183,0.618371
1,0.246244,0.198996,0.346247,0.432047,0.174167,0.469642,0.208253,0.196176,0.344889,0.130272,0.171431,0.280572,0.219265,0.287032,0.239702,0.323485,0.296471,0.318819,0.504350,0.209170,0.180745,0.280412,0.225218,0.118354,0.355552,0.271262,0.235039,0.231995,0.357058,0.315067,0.331391,0.193865,0.693193,0.312656,0.154510,0.122785,0.138564,0.519779,0.429251,0.474289,0.336394,0.229508,0.170368,0.343575,0.426504,0.404386
2,0.141177,0.168178,0.153218,0.367219,0.222514,0.524595,0.237559,0.201350,0.902569,0.108410,0.210085,0.488948,0.182412,0.273619,0.273888,0.338646,0.264300,0.188901,0.491388,0.183709,0.227744,0.248840,0.169761,0.093822,0.956200,0.191951,0.284919,0.279873,0.397865,0.278120,0.424153,0.332712,0.624715,0.284747,0.137756,0.148604,0.141142,0.394316,0.360392,0.277429,0.239444,0.186747,0.084027,0.169466,0.716254,0.170473
3,0.143866,0.176477,0.121489,0.322605,0.383043,0.412980,0.214681,0.252370,0.342168,0.093634,0.158036,0.264200,0.207416,0.276652,0.214715,0.301667,0.311347,0.243976,0.599960,0.375951,0.128169,0.252427,0.203882,0.126319,0.343265,0.221533,0.258806,0.260843,0.329155,0.269157,0.312950,0.256649,0.456196,0.256537,0.116084,0.141675,0.173201,0.408478,0.266340,0.240386,0.293003,0.121645,0.128949,0.116633,0.400051,0.293136
4,0.261810,0.204311,0.160211,0.202992,0.284531,0.294121,0.216294,0.260315,0.443722,0.154505,0.110872,0.172645,0.159986,0.294959,0.253516,0.322978,0.280313,0.350985,0.608684,0.232615,0.195723,0.255193,0.226703,0.140015,1.007303,0.234266,0.313637,0.267400,0.363482,0.323617,0.303286,0.296142,0.495703,0.350765,0.133810,0.136494,0.172806,0.470041,0.229610,0.247085,0.243800,0.143733,0.139225,0.150742,0.415982,0.210019
5,0.218577,0.196103,0.243422,0.218135,0.163693,0.434597,0.236827,0.258237,0.229064,0.126658,0.135704,0.553985,0.202208,0.299763,0.288870,0.319372,0.342081,0.272213,0.455273,0.183254,0.142246,0.231393,0.219484,0.111621,0.285784,0.248942,0.267879,0.249317,0.309547,0.322840,0.269765,0.218521,0.433440,0.762353,0.162531,0.164316,0.147115,1.442949,0.350365,0.313716,0.201623,0.114271,0.152076,0.161269,0.646545,0.256293
6,0.258195,0.161608,0.178829,0.334613,0.172022,0.616416,0.249659,0.188882,0.783030,0.129764,0.119505,0.167550,0.165055,0.262857,0.262055,0.285875,0.319466,0.195594,0.445346,0.454428,0.143628,0.278741,0.204892,0.120309,0.257038,0.231538,0.321751,0.184196,0.358996,0.319380,0.421560,0.295525,0.442326,1.042782,0.176621,0.167383,0.232914,1.047246,1.798423,0.359209,0.595123,0.125716,0.142320,0.101673,0.499795,0.390224
7,0.138194,0.149632,0.223247,0.203793,0.210368,0.356031,0.184946,0.199383,0.538833,0.153073,0.134826,0.297505,0.170456,0.245026,0.272960,0.318487,0.354683,0.177212,0.590289,0.181090,0.220343,0.377535,0.172022,0.131342,0.426008,0.246134,0.305264,0.212302,0.383447,0.317966,0.354431,0.263958,0.413772,0.406219,0.146766,0.138634,0.134539,0.919085,1.674642,0.400533,0.324612,0.165449,0.149650,0.135604,0.264083,0.269948
8,0.221768,0.162787,0.172751,0.193563,0.163679,0.361926,0.228607,0.266130,0.268503,0.101393,0.140617,0.240473,0.207415,0.247544,0.265619,0.304290,0.283377,0.248709,0.464526,0.221440,0.117338,0.218806,0.149692,0.127633,0.300229,0.225143,0.206397,0.180901,0.406663,0.284571,0.351490,0.240107,0.338976,0.259950,0.137332,0.129392,0.157993,0.430973,0.277966,0.359681,0.230640,0.153486,0.151480,0.163322,0.433678,0.244707
9,0.208579,0.146157,0.157506,0.240565,0.230457,0.409918,0.271752,0.217198,0.591261,0.131093,0.142615,0.363824,0.190792,0.289093,0.241113,0.303998,0.227475,0.294055,0.382752,0.265903,0.173873,0.252759,0.169229,0.105123,0.248557,0.203946,0.230825,0.260661,0.380783,0.286030,0.328734,0.247459,0.633517,0.443941,0.129020,0.117028,0.201428,0.487378,0.303954,0.273287,0.221643,0.142850,0.128812,0.158838,0.281752,0.172937
10,0.316388,0.150386,0.158886,0.444561,0.235584,0.371370,0.235460,0.192490,0.551801,0.108909,0.155631,0.157016,0.159612,0.321095,0.266301,0.292824,0.248689,0.213126,0.435909,0.258520,0.147230,0.241224,0.197243,0.122004,0.430959,0.245820,0.208499,0.254923,0.356342,0.324392,0.309380,0.244204,0.307059,0.534203,0.241216,0.198759,0.201877,0.889781,0.313468,0.341389,0.137404,0.131424,0.109227,0.143244,0.319389,0.235995
11,0.184106,0.134853,0.147953,0.281372,0.225214,0.370535,0.234467,0.228436,0.489334,0.102947,0.162676,0.196581,0.161427,0.358146,0.261931,0.271195,0.292566,0.217257,0.483983,0.272026,0.162210,0.376923,0.228457,0.096269,0.592452,0.238319,0.230280,0.220709,0.315191,0.309924,0.317220,0.190578,0.484568,0.907287,0.170097,0.141502,0.186128,1.158026,0.397201,0.323061,0.181082,0.120953,0.155117,0.162603,0.386560,0.261346
12,0.159724,0.163395,0.196067,0.223834,0.194199,0.302251,0.250933,0.187672,0.469584,0.123892,0.135271,0.257762,0.189055,0.292735,0.282553,0.307422,0.329674,0.203489,0.485273,0.270876,0.138570,0.264638,0.208324,0.134791,0.306783,0.247415,0.248526,0.192177,0.336678,0.368993,0.299328,0.268687,0.300203,0.407621,0.157607,0.123126,0.148398,0.726133,0.340172,0.228740,0.246187,0.156209,0.140316,0.142181,0.303285,0.262390
13,0.164737,0.170529,0.182498,0.340909,0.225388,0.432524,0.447667,0.281198,0.278063,0.099708,0.107412,0.545270,0.210129,0.305673,0.247307,0.295434,0.334125,0.152898,0.567823,0.240336,0.155879,0.273149,0.192751,0.101553,0.847075,0.242018,0.281025,0.235993,0.353430,0.307674,0.327797,0.217444,0.509212,0.397681,0.635057,0.680025,0.695211,4.512430,3.091529,0.297031,0.232525,0.120186,0.145174,0.103915,0.251802,0.223045
14,0.265369,0.165036,0.200248,0.497599,0.202696,0.556607,0.437988,0.300373,0.370170,0.118298,0.113963,0.232994,0.236535,0.314066,0.231393,0.323608,0.327102,0.269299,0.728808,0.277289,0.235127,0.349219,0.204474,0.100358,0.873143,0.237438,0.320811,0.273200,0.372910,0.304604,0.402231,0.220053,0.753745,1.140865,0.483452,0.493260,0.595237,3.372902,0.232560,0.691614,0.363378,0.119720,0.143521,0.101390,0.489483,0.232487
15,0.205066,0.163098,0.204180,0.321061,0.253089,0.374254,0.265785,0.218374,0.343349,0.108740,0.103843,0.326200,0.224113,0.300443,0.247379,0.324607,0.319071,0.231159,0.557386,0.211868,0.156586,0.276706,0.207694,0.072558,0.354240,0.251495,0.300445,0.278864,0.370807,0.330725,0.365043,0.228654,0.573909,0.478346,0.220933,0.275941,0.199343,1.685225,0.301465,0.284493,0.248393,0.138154,0.150939,0.123970,0.340732,0.227509
16,0.155768,0.145507,0.212141,0.218339,0.232970,0.358167,0.230603,0.220174,0.721719,0.110502,0.125885,0.256206,0.194304,0.309178,0.267392,0.327704,0.312851,0.282748,0.457891,0.258621,0.148069,0.283537,0.203025,0.083840,0.313890,0.270948,0.257337,0.219049,0.370001,0.362921,0.301677,0.360408,0.394364,0.947037,0.144337,0.163709,0.160841,0.945815,0.257955,0.378115,0.205054,0.154619,0.156212,0.135367,0.393849,0.253172
17,0.395178,0.175513,0.185048,0.198430,0.238100,0.635033,0.563729,0.288062,0.619571,0.158956,0.125178,0.214392,0.152864,0.309226,0.246948,0.322504,0.292451,0.217027,0.456198,0.141351,0.251456,0.369290,0.171622,0.094587,0.314640,0.236092,0.268818,0.268726,0.340853,0.339334,0.284271,0.218743,0.498514,2.464005,0.190328,0.160953,0.215972,1.182197,0.422949,0.352524,0.299956,0.095902,0.171801,0.121436,0.369184,0.345805
18,0.246384,0.150107,0.281750,0.205316,0.216149,0.654867,0.415998,0.217607,0.497853,0.099802,0.145178,1.025722,0.163203,0.295037,0.273021,0.339008,0.316297,0.256028,0.482641,0.438246,0.224651,0.580522,0.180546,0.141227,0.644165,0.245541,0.255199,0.251160,0.364452,0.324717,0.332338,0.312678,0.480469,2.569116,0.301777,0.246047,0.296240,1.535489,0.256440,0.496859,0.265564,0.125666,0.143013,0.110182,0.514896,0.267538
19,0.396670,0.165431,0.253799,0.295554,0.264824,0.712279,0.645549,0.381636,0.798648,0.105332,0.129228,0.794691,0.169001,0.329149,0.267899,0.304153,0.305342,0.176467,0.556937,0.638617,0.208006,0.355127,0.153189,0.119911,0.423866,0.228385,0.277529,0.242361,0.345640,0.331810,0.307215,0.246165,0.407775,0.879710,0.177381,0.125909,0.146250,0.786683,0.420155,0.565690,0.215103,0.111081,0.155136,0.140215,0.311086,0.252370
20,0.254711,0.154516,0.169690,0.338672,0.266435,0.775430,0.557518,0.340006,0.697290,0.093865,0.136820,1.019023,0.189138,0.321486,0.268764,0.321451,0.325737,0.185150,0.672640,0.744708,0.154970,0.420969,0.166253,0.148246,0.439733,0.231175,0.257995,0.214018,0.344805,0.310426,0.328292,0.277564,0.377348,1.217603,0.144194,0.107411,0.144981,0.777100,0.240963,0.523156,0.194500,0.143212,0.150256,0.169997,0.349178,0.331124
21,0.224980,0.144792,0.290766,0.323991,0.329306,0.472961,0.271383,0.246202,0.660951,0.082609,0.137824,0.687243,0.204975,0.325452,0.289598,0.337483,0.341771,0.269455,0.571773,0.175673,0.209279,0.275199,0.196791,0.169472,0.526952,0.262874,0.218366,0.188074,0.355155,0.318581,0.383208,0.200700,0.917641,0.574404,0.155978,0.111226,0.162383,1.079618,0.262147,0.466828,0.370623,0.154510,0.150987,0.150282,0.269673,0.285802
