sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,0.465134,0.253857,0.257732,0.537910,0.236058,0.433304,0.280004,0.268569,0.496063,0.161586,0.198501,0.266113,0.250430,0.312779,0.362321,0.316739,0.333809,0.354589,0.741290,0.675517,0.277605,0.321318,0.195944,0.219627,0.510612,0.317127,0.304957,0.262945,0.583467,0.281883,0.540562,0.308749,0.773077,0.280829,0.199525,0.151518,0.157481,0.541751,0.580139,0.737204,0.345859,0.107831,0.240151,0.200915,0.783833,0.749275
1,0.279935,0.208886,0.452250,0.588183,0.247138,0.571006,0.277184,0.256465,0.462216,0.136129,0.240732,0.300680,0.263129,0.386802,0.264590,0.390013,0.362741,0.454838,0.788880,0.303741,0.231601,0.376226,0.242682,0.158730,0.500951,0.324255,0.256785,0.271518,0.509030,0.424768,0.394478,0.279942,0.776337,0.402659,0.190768,0.143473,0.171521,0.750773,0.625948,0.516028,0.417237,0.246840,0.214434,0.430260,0.462973,0.456520
2,0.204367,0.177502,0.215881,0.392533,0.325420,0.784295,0.410218,0.287735,1.017896,0.136492,0.288177,0.532738,0.228163,0.297797,0.311860,0.424194,0.324895,0.274428,0.653625,0.221208,0.236664,0.292782,0.185794,0.127738,1.064778,0.216119,0.326200,0.394229,0.481631,0.317586,0.443817,0.356505,0.740188,0.429648,0.206597,0.150427,0.176420,0.488436,0.413946,0.438390,0.283722,0.256901,0.122706,0.207153,0.796820,0.198655
3,0.230717,0.227590,0.127687,0.423944,0.417962,0.480238,0.271360,0.330099,0.396002,0.107717,0.175366,0.336490,0.240343,0.303847,0.260860,0.376597,0.390683,0.314264,0.931011,0.530675,0.175890,0.393015,0.228753,0.160168,0.501497,0.242313,0.314889,0.309206,0.436587,0.295964,0.405571,0.359600,0.578320,0.279152,0.125214,0.151948,0.255150,0.630152,0.410524,0.276400,0.397261,0.158062,0.203238,0.205098,0.561369,0.400442
4,0.323633,0.284787,0.262601,0.256278,0.318951,0.326689,0.270530,0.330419,0.508776,0.213979,0.144014,0.219611,0.187614,0.317764,0.325279,0.430165,0.359217,0.379100,0.841038,0.261199,0.283958,0.370236,0.322257,0.150519,1.114867,0.292239,0.386971,0.368551,0.417778,0.448294,0.407882,0.359286,0.541716,0.431793,0.163221,0.159549,0.229961,0.676985,0.281142,0.379209,0.326660,0.151355,0.169450,0.194377,0.490912,0.239916
5,0.272907,0.212642,0.329326,0.329104,0.196737,0.542583,0.370997,0.370913,0.262249,0.135380,0.161088,0.578069,0.268830,0.363468,0.341645,0.366858,0.420654,0.311189,0.502388,0.312139,0.169746,0.274727,0.246312,0.141328,0.413433,0.312393,0.324484,0.295386,0.396928,0.461376,0.393234,0.302743,0.531853,1.097596,0.184721,0.210706,0.205130,1.728039,0.599888,0.487351,0.204272,0.189093,0.223231,0.178033,0.670019,0.377282
6,0.269486,0.220826,0.267770,0.445092,0.220224,0.848286,0.254873,0.270560,0.871599,0.160475,0.163835,0.209637,0.214251,0.337471,0.286805,0.322668,0.397568,0.239908,0.521687,0.573943,0.238066,0.387047,0.227116,0.133746,0.394143,0.270442,0.399068,0.233019,0.440357,0.388145,0.488599,0.332594,0.659206,1.365434,0.226959,0.205487,0.275455,1.242305,1.902749,0.472334,0.719473,0.148544,0.217857,0.108316,0.644710,0.568607
7,0.193756,0.176025,0.258218,0.260954,0.224489,0.437569,0.214764,0.270048,0.667321,0.156872,0.173327,0.355442,0.206308,0.293740,0.303030,0.339023,0.427061,0.220040,0.706720,0.212636,0.262239,0.462644,0.178066,0.150502,0.553043,0.274818,0.347943,0.221156,0.448124,0.356643,0.414636,0.345642,0.574584,0.486038,0.165283,0.142858,0.197688,1.284948,1.710838,0.479223,0.446500,0.202892,0.205563,0.201919,0.338263,0.349129
8,0.307432,0.196316,0.204132,0.310589,0.180183,0.400297,0.330921,0.428797,0.300611,0.124953,0.192773,0.305070,0.241746,0.301482,0.322017,0.314553,0.292172,0.309272,0.713025,0.380411,0.159575,0.343344,0.159650,0.211173,0.424360,0.250738,0.235308,0.229643,0.509345,0.320456,0.453337,0.312358,0.516207,0.349978,0.157394,0.150759,0.217880,0.556049,0.394383,0.395394,0.306986,0.183765,0.237494,0.206734,0.499459,0.305113
9,0.287830,0.157502,0.192840,0.298459,0.295743,0.503026,0.349738,0.231388,0.695488,0.152935,0.178338,0.445510,0.211037,0.349489,0.268842,0.367902,0.249400,0.323482,0.531747,0.405121,0.201974,0.413845,0.185372,0.159362,0.324851,0.229261,0.267607,0.281344,0.440615,0.336374,0.401803,0.318447,0.766133,0.713135,0.140077,0.158615,0.271967,0.632196,0.379454,0.316729,0.295831,0.179970,0.190564,0.233158,0.349829,0.253541
10,0.417832,0.170268,0.198898,0.556542,0.320984,0.451619,0.332400,0.334215,0.641574,0.131403,0.190157,0.206293,0.217346,0.380723,0.283133,0.359437,0.281029,0.284490,0.501992,0.433010,0.199636,0.403235,0.222674,0.156954,0.472014,0.295135,0.258602,0.321187,0.451841,0.391841,0.406423,0.287932,0.390384,0.755600,0.322910,0.225988,0.264828,0.988092,0.402946,0.470789,0.217255,0.150129,0.159334,0.188304,0.385480,0.281632
11,0.311249,0.141826,0.178013,0.403477,0.260328,0.465490,0.287401,0.261043,0.670947,0.135946,0.175296,0.229629,0.229730,0.436387,0.274038,0.332421,0.360001,0.283823,0.552261,0.426961,0.185465,0.430758,0.251732,0.103737,0.711087,0.249074,0.298322,0.268308,0.421423,0.355476,0.484112,0.217480,0.493886,1.181397,0.208949,0.149497,0.225226,1.491747,0.564875,0.455940,0.230261,0.134542,0.223659,0.182923,0.651817,0.341979
12,0.196562,0.178456,0.241980,0.305345,0.248448,0.385257,0.316571,0.275293,0.691748,0.165882,0.147819,0.325393,0.216487,0.349544,0.365143,0.364937,0.448341,0.253129,0.538323,0.391106,0.194750,0.355367,0.248478,0.146142,0.376707,0.322107,0.288336,0.221385,0.419128,0.444889,0.429584,0.337803,0.433782,0.605781,0.217213,0.152188,0.208404,0.876797,0.520981,0.272193,0.298549,0.175744,0.220231,0.199015,0.349316,0.303079
13,0.309711,0.208292,0.284263,0.459428,0.248081,0.557675,0.648537,0.457955,0.335422,0.106424,0.146435,0.598899,0.243385,0.377589,0.250935,0.358356,0.409568,0.229922,0.843593,0.346928,0.186690,0.395264,0.221278,0.119402,0.945505,0.269485,0.357898,0.290556,0.449871,0.340333,0.406521,0.307105,0.616154,0.474147,0.712713,0.745601,0.738277,4.888192,3.320640,0.423573,0.321114,0.129782,0.240558,0.117755,0.303555,0.267601
14,0.374383,0.242611,0.241462,0.669084,0.249878,0.679991,0.619718,0.456129,0.474669,0.134903,0.134160,0.301126,0.329150,0.405057,0.257532,0.387204,0.432854,0.319799,0.878206,0.447083,0.283421,0.647131,0.266775,0.106747,0.931600,0.284660,0.395304,0.340865,0.459676,0.368595,0.480412,0.301796,0.894250,1.307965,0.540000,0.541326,0.666315,3.793072,0.324203,0.881266,0.486077,0.133669,0.230164,0.143907,0.624911,0.261902
15,0.309424,0.212245,0.292858,0.473288,0.309254,0.448800,0.367250,0.271923,0.470096,0.155207,0.130439,0.398562,0.277212,0.360563,0.272733,0.396883,0.396984,0.297232,0.706821,0.304627,0.199663,0.384334,0.239219,0.101376,0.474873,0.280586,0.348284,0.357355,0.467526,0.374513,0.453479,0.265943,0.761572,0.577170,0.278073,0.333088,0.272105,1.883068,0.403958,0.335571,0.307034,0.155883,0.251297,0.146731,0.444387,0.265442
16,0.222163,0.189716,0.239814,0.311206,0.275651,0.468441,0.317524,0.254642,0.867052,0.153151,0.143050,0.318993,0.253316,0.378612,0.286743,0.371124,0.397234,0.308014,0.512031,0.385013,0.188137,0.417651,0.232651,0.104856,0.397391,0.301737,0.304309,0.259637,0.469787,0.411374,0.357484,0.377889,0.556422,1.308366,0.218332,0.210763,0.196675,1.480787,0.321420,0.428524,0.255018,0.183498,0.255240,0.200843,0.453745,0.316905
17,0.439543,0.212997,0.327653,0.285821,0.325052,0.733958,0.640937,0.474026,0.777338,0.216038,0.158257,0.333626,0.196214,0.396797,0.289184,0.338168,0.337090,0.262195,0.680973,0.191029,0.304993,0.511028,0.181728,0.135952,0.384199,0.266317,0.297183,0.292398,0.390505,0.421730,0.394698,0.256754,0.734163,2.973134,0.296527,0.180701,0.273042,1.467121,0.535106,0.452199,0.409576,0.123812,0.252512,0.148640,0.518411,0.467379
