sic,bone,mean_deg,p50_deg,p90_deg,count
13,foot_l,4.512430429458618,4.709707736968994,4.888192081451416,3
32,calf_l,3.4830538431803384,3.3935635089874268,3.8069889545440674,3
37,foot_l,3.463517983754476,3.604154348373413,3.6405669689178466,3
14,foot_l,3.3729018370310464,3.4425437450408936,3.7930722713470457,3
53,ball_r,3.2962363560994468,3.3094019889831543,3.4014674186706544,3
33,foot_l,3.2500503063201904,3.159205913543701,3.504164218902588,3
13,ball_l,3.09152889251709,3.0561363697052,3.32064003944397,3
31,foot_l,2.8101457754770913,2.4028666019439697,3.424864625930786,3
53,foot_r,2.6350967486699424,2.978425979614258,3.0693376541137694,3
18,calf_l,2.56911563873291,2.674750804901123,2.7961039543151855,3
32,foot_l,2.519866387049357,2.6040594577789307,2.7198776721954347,3
17,calf_l,2.4640046755472818,2.184978485107422,2.973133850097656,3
52,ball_r,2.3002772331237793,2.4059362411499023,2.423898696899414,3
32,thigh_l,2.285976012547811,2.2197275161743164,2.4667272567749023,3
37,calf_l,2.2276633580525718,2.1115994453430176,2.451836109161377,3
71,calf_l,2.041029969851176,1.857306718826294,2.3645601749420164,3
38,foot_l,1.9997390111287434,1.8786388635635376,2.2680886507034304,3
28,calf_l,1.98119060198466,2.011622190475464,2.44685320854187,3
24,calf_l,1.9392173290252686,2.0668413639068604,2.148009157180786,3
64,calf_r,1.8592030207316081,1.9464682340621948,2.120260405540466,3
36,calf_l,1.8322654167811077,1.8085764646530151,2.0450381994247437,3
6,ball_l,1.7984225352605183,1.7528468370437622,1.902748703956604,3
31,thigh_l,1.7583028078079224,1.6295892000198364,2.0789425134658814,3
27,foot_l,1.7381887038548787,1.5630663633346558,2.02383668422699,3
85,calf_r,1.7291744152704875,1.7580249309539795,1.871107244491577,3
51,foot_r,1.6953849792480469,1.6682674884796143,1.7639145374298095,3
29,calf_l,1.6863402525583904,1.57209312915802,2.214601922035217,3
15,foot_l,1.6852247317632039,1.7216248512268066,1.8830676078796387,3
7,ball_l,1.6746424039204915,1.6660709381103516,1.7108375549316406,3
54,foot_r,1.638835350672404,1.7948330640792847,1.986760687828064,3
37,thigh_l,1.6366416215896606,1.624941349029541,1.79168701171875,3
71,calf_r,1.5707638263702393,1.477394461631775,1.7019790410995483,3
85,foot_r,1.5459492603937786,1.5346612930297852,1.7406463623046875,3
18,foot_l,1.5354889233907063,1.7320146560668945,1.7464577674865722,3
81,calf_r,1.4970920483271282,1.5428147315979004,1.6245914459228517,3
55,calf_r,1.4576865037282307,1.4631820917129517,1.5988128900527954,3
5,foot_l,1.4429489374160767,1.3559986352920532,1.7280388116836547,3
40,foot_l,1.4365220467249553,1.6311558485031128,1.633716082572937,3
41,foot_l,1.3918247818946838,1.5840559005737305,1.670923900604248,3
22,foot_l,1.376088559627533,1.2527711391448975,1.756524419784546,3
55,foot_r,1.3596300681432087,1.2042657136917114,1.6183860063552857,3
74,foot_r,1.341479778289795,1.2998955249786377,1.5007341861724854,3
22,thigh_l,1.3315164645512898,1.2686859369277954,1.4483025789260864,3
27,calf_l,1.3241814374923706,1.4976822137832642,1.6373293161392213,3
58,foot_r,1.277145783106486,1.2911263704299927,1.5075007677078247,3
71,foot_r,1.2664851546287537,1.1455813646316528,1.7605515718460083,3
24,foot_l,1.2216714024543762,1.3151943683624268,1.630096673965454,3
20,calf_l,1.2176026105880737,1.4926382303237915,1.5562860727310182,3
53,thigh_l,1.2086865305900574,1.4374457597732544,1.522730278968811,3
56,foot_r,1.2020328839619954,1.2351412773132324,1.2359169006347657,3
64,lowerarm_l,1.1910111506779988,1.4507461786270142,1.5395440340042115,3
17,foot_l,1.1821965376536052,1.380759358406067,1.467121148109436,3
34,foot_l,1.1754560470581055,1.1467534303665161,1.231982445716858,3
40,ball_l,1.173915942509969,1.1820127964019775,1.2732540607452392,3
11,foot_l,1.1580263177553813,0.9237999320030212,1.4917465090751647,3
65,upperarm_l,1.1516475876172383,0.9321439862251282,1.5585070252418518,3
26,hand_r,1.1493383248647053,1.1269243955612183,1.2801271200180053,3
62,lowerarm_l,1.144302229086558,1.2068860530853271,1.4270461559295655,3
59,upperarm_l,1.1429556409517925,1.3391335010528564,1.3757084369659425,3
14,calf_l,1.140864630540212,1.1834355592727661,1.307964825630188,3
33,calf_l,1.1307661334673564,0.930008590221405,1.5096428275108338,3
52,calf_r,1.1214712063471477,1.1989998817443848,1.2267454147338868,3
58,upperarm_l,1.1136518716812134,1.3484834432601929,1.4504173040390014,3
38,thigh_l,1.1066914995511372,1.080885410308838,1.2469386100769042,3
53,upperarm_l,1.1030063033103943,1.091098666191101,1.2680217504501343,3
74,thigh_r,1.0874948104222615,1.1929444074630737,1.4009847402572633,3
21,foot_l,1.0796183149019878,0.9822301864624023,1.3469915390014648,3
67,thigh_l,1.076885203520457,1.194168210029602,1.4118976831436156,3
57,lowerarm_l,1.0765931804974873,1.333386778831482,1.3837700605392456,3
57,upperarm_l,1.0751816630363464,1.267115831375122,1.393367624282837,3
31,calf_l,1.0664753317832947,0.9027490019798279,1.4866339564323425,3
54,ball_r,1.061741014321645,0.9947900772094727,1.1688199996948243,3
56,thigh_r,1.0589967568715413,1.115910291671753,1.1950300693511964,3
