sic,calf_l,calf_r
0,1.318867,3.931378
1,1.234882,1.114559
2,2.070040,1.380288
3,0.821420,0.856886
4,3.920156,0.253422
5,5.978630,0.344407
6,2.011654,1.542204
7,3.426642,1.354646
8,2.488222,0.498872
9,4.693267,0.885242
10,4.617590,0.706458
11,0.541410,0.271310
12,4.304963,0.295290
13,5.419879,1.205336
14,1.211655,0.285021
15,4.670277,0.268843
16,3.406579,0.215839
17,2.952822,0.181407
18,8.740541,0.780405
19,7.928708,1.203126
20,8.814641,1.026714
21,4.596032,0.212313
22,4.734156,0.741713
23,3.561325,0.575127
24,6.070921,0.605751
25,5.793570,0.562799
26,7.012763,0.720821
27,3.443222,0.327120
28,5.439747,0.300702
29,0.962151,0.315130
30,2.102035,0.639145
31,6.344528,0.155501
32,5.982982,0.283177
33,4.455206,0.332744
34,3.450446,0.296052
35,1.187691,0.499072
36,3.415579,0.432721
37,5.870216,0.313233
38,1.781332,0.524508
39,2.284794,0.248213
40,3.661347,0.918835
41,2.676214,0.965286
42,2.360343,0.323922
43,0.809473,0.181018
44,0.804992,0.297769
45,0.945159,2.240717
46,0.778742,0.529527
47,0.287406,0.729032
48,0.649459,2.537735
49,1.810233,1.739453
50,0.795743,4.060007
51,0.891128,4.883223
52,3.385602,3.388549
53,5.106482,4.012850
54,2.074335,1.153147
55,1.134964,1.279722
56,0.756648,1.040304
57,1.630486,0.765002
58,2.733121,1.040391
59,2.618787,0.374328
60,2.776551,0.644831
61,4.389609,1.243071
62,1.506929,1.208192
63,2.845764,0.887292
64,0.946271,1.704131
65,2.400377,3.624536
66,0.669353,2.269535
67,0.409219,1.559249
68,1.296863,5.079647
69,2.434374,9.055860
70,1.651115,6.432991
71,6.156617,13.890744
72,2.517162,3.887339
73,2.908369,1.768129
74,3.753065,8.844700
75,2.860761,0.974677
76,3.357888,9.442468
77,1.943234,0.914351
78,0.214325,0.725170
79,0.960159,0.744758
80,1.169629,3.794068
81,0.135616,2.531992
82,0.321258,0.765767
83,0.558168,1.391553
84,1.691619,0.627429
85,1.054814,1.803764
