sic,calf_l,calf_r
0,1.467418,4.918358
1,1.383333,1.288134
2,2.182807,1.632996
3,1.148660,1.004375
4,4.467575,0.538593
5,6.546948,0.452055
6,2.584642,1.786580
7,4.105613,1.513748
8,3.281107,0.512344
9,4.968280,0.936842
10,4.827865,0.805986
11,0.846754,0.395353
12,5.158781,0.553800
13,6.479900,1.412429
14,1.807081,0.351148
15,5.236038,0.466354
16,4.016610,0.338614
17,4.043113,0.287136
18,10.127164,0.947452
19,9.104226,1.305037
20,10.442863,1.111868
21,6.389848,0.273075
22,6.361913,0.812757
23,5.347508,0.619330
24,7.977909,0.681866
25,6.996696,0.722932
26,8.169664,0.861374
27,4.421476,0.473387
28,6.297002,0.323160
29,1.295309,0.364922
30,2.424388,0.827282
31,7.247093,0.189646
32,6.502532,0.362281
33,4.997258,0.383421
34,3.864146,0.417500
35,1.649752,0.548308
36,3.754655,0.493803
37,6.349969,0.376310
38,2.443085,0.694470
39,3.154327,0.355277
40,4.432850,1.035694
41,3.181786,1.095672
42,2.830103,0.432270
43,1.302802,0.251517
44,1.497402,0.454191
45,1.145448,2.708810
46,1.015886,0.992585
47,0.510444,1.056337
48,1.000183,2.806274
49,2.303302,1.909422
50,0.992667,4.405404
51,1.455661,6.366540
52,3.998797,4.746798
53,5.408436,4.662955
54,2.254495,1.605802
55,1.235143,1.536842
56,0.967339,1.245529
57,1.741206,0.982663
58,2.847077,1.147276
59,2.771087,0.494501
60,3.062699,0.875110
61,4.524018,1.421640
62,1.680746,1.358377
63,2.956545,1.030830
64,1.048824,1.878715
65,2.504151,3.813302
66,0.770782,2.502508
67,0.556761,1.811750
68,1.342151,5.305058
69,2.492509,9.269901
70,1.778224,6.790186
71,6.176040,14.299828
72,2.742622,4.422506
73,3.249198,2.076584
74,3.843326,9.579984
75,3.258457,1.339179
76,3.446906,10.226668
77,2.253028,1.548702
78,0.296165,1.082553
79,1.108502,1.106416
80,1.307935,4.295950
81,0.180591,2.801749
82,0.423892,1.222159
83,0.704134,1.617990
84,1.846656,1.027589
85,1.135731,2.045961
