sic,bone,mean_deg,p50_deg,p90_deg,count
71,calf_r,13.890743573506674,14.025505065917969,14.299828338623048,3
76,calf_r,9.44246768951416,9.44641399383545,10.226667594909667,3
69,calf_r,9.055859883626303,9.224181175231934,9.269901084899903,3
74,calf_r,8.844699541727701,8.846183776855469,9.579984283447265,3
20,calf_l,8.81464147567749,8.678108215332031,10.442862701416015,3
18,calf_l,8.740540822347006,8.517419815063477,10.127164077758788,3
19,calf_l,7.928708076477051,8.060503959655762,9.104225730895996,3
26,calf_l,7.012762864430745,7.568044185638428,8.169664287567139,3
70,calf_r,6.4329908688863116,6.3283162117004395,6.790186405181885,3
31,calf_l,6.34452756245931,5.941370487213135,7.247092533111572,3
71,calf_l,6.156617005666097,6.162162780761719,6.176039505004883,3
24,calf_l,6.070921103159587,5.93779182434082,7.9779094696044925,3
32,calf_l,5.982982317606608,5.723292350769043,6.502531623840332,3
5,calf_l,5.978629906972249,6.421972274780273,6.546947860717774,3
37,calf_l,5.870216369628906,5.634975910186768,6.34996919631958,3
25,calf_l,5.793569723765056,6.295873641967773,6.996695709228516,3
28,calf_l,5.439746856689453,5.86334228515625,6.2970024108886715,3
13,calf_l,5.419879198074341,5.702421188354492,6.479900360107422,3
53,calf_l,5.106481552124023,4.949667453765869,5.408435535430908,3
68,calf_r,5.079647382100423,5.1085004806518555,5.305057716369629,3
51,calf_r,4.883222500483195,5.2241926193237305,6.366540336608887,3
22,calf_l,4.734155575434367,4.099589824676514,6.361913204193115,3
9,calf_l,4.693266868591309,4.9399638175964355,4.968279552459717,3
15,calf_l,4.670276959737142,4.620203495025635,5.236038303375244,3
10,calf_l,4.617590109507243,4.739833831787109,4.8278648376464846,3
21,calf_l,4.59603214263916,4.082466125488281,6.3898475646972654,3
33,calf_l,4.455205678939819,4.371942043304443,4.997257900238037,3
61,calf_l,4.389608860015869,4.379520416259766,4.524018096923828,3
12,calf_l,4.304962714513143,5.134725093841553,5.158780956268311,3
50,calf_r,4.060007333755493,4.3642425537109375,4.405403518676758,3
53,calf_r,4.012850125630696,3.6555914878845215,4.662955379486084,3
0,calf_r,3.931378205617269,3.743387222290039,4.918358230590821,3
4,calf_l,3.920156399408976,4.253411769866943,4.467574596405029,3
72,calf_r,3.8873393535614014,3.6753761768341064,4.422505807876587,3
80,calf_r,3.7940684159596763,3.9634346961975098,4.295950412750244,3
74,calf_l,3.753065347671509,3.7625792026519775,3.843325662612915,3
40,calf_l,3.661346673965454,3.3288872241973877,4.432849740982055,3
65,calf_r,3.6245362758636475,3.56756854057312,3.813302183151245,3
23,calf_l,3.5613247553507485,3.162435531616211,5.3475078582763675,3
34,calf_l,3.4504462083180747,3.471985340118408,3.864145565032959,3
27,calf_l,3.443222165107727,4.313695430755615,4.421475505828857,3
7,calf_l,3.4266417821248374,3.6627509593963623,4.105613470077515,3
36,calf_l,3.415579080581665,3.5562052726745605,3.754654788970947,3
16,calf_l,3.40657909711202,3.946798801422119,4.016610431671142,3
52,calf_r,3.3885488907496133,3.0024166107177734,4.746798324584961,3
52,calf_l,3.3856024742126465,3.2842791080474854,3.998796510696411,3
76,calf_l,3.3578884601593018,3.305223226547241,3.4469064235687257,3
17,calf_l,2.9528220494588218,3.2928783893585205,4.043112802505493,3
73,calf_l,2.9083689053853354,2.6765029430389404,3.2491977214813232,3
75,calf_l,2.8607612450917563,2.714489221572876,3.2584572315216063,3
63,calf_l,2.845764398574829,2.779818534851074,2.9565446853637694,3
60,calf_l,2.7765513261159263,2.8720524311065674,3.062698984146118,3
58,calf_l,2.733120600382487,2.69234037399292,2.8470772743225097,3
41,calf_l,2.6762144565582275,2.5746042728424072,3.1817860126495363,3
59,calf_l,2.6187871297200522,2.514396905899048,2.771087121963501,3
48,calf_r,2.5377345085144043,2.569558620452881,2.806273937225342,3
81,calf_r,2.531991799672445,2.4973535537719727,2.8017492294311523,3
72,calf_l,2.5171615282694497,2.5430171489715576,2.742621564865112,3
8,calf_l,2.4882219235102334,2.4599556922912598,3.2811074256896973,3
69,calf_l,2.4343744913736978,2.455481767654419,2.4925089359283445,3
65,calf_l,2.400377114613851,2.338576078414917,2.504150915145874,3
42,calf_l,2.3603426218032837,2.2410967350006104,2.830102968215942,3
39,calf_l,2.2847944498062134,1.7883208990097046,3.1543267011642455,3
66,calf_r,2.2695349057515464,2.196384906768799,2.5025078773498537,3
45,calf_r,2.240717132886251,2.0833656787872314,2.70881028175354,3
30,calf_l,2.1020349264144897,2.3849306106567383,2.424387741088867,3
54,calf_l,2.0743354161580405,2.196056604385376,2.2544954776763917,3
2,calf_l,2.0700398286183677,2.1207621097564697,2.182807207107544,3
6,calf_l,2.0116540590922036,1.6851178407669067,2.5846420526504517,3
77,calf_l,1.9432339270909627,1.8098257780075073,2.2530282735824585,3
49,calf_l,1.8102332750956218,1.5103665590286255,2.303302025794983,3
85,calf_r,1.8037644227345784,1.6915310621261597,2.045961356163025,3
38,calf_l,1.7813316583633423,1.4934909343719482,2.443085050582886,3
73,calf_r,1.7681293487548828,2.036458730697632,2.0765836238861084,3
49,calf_r,1.739453117052714,1.8709288835525513,1.9094217538833618,3
64,calf_r,1.7041308085123699,1.8706778287887573,1.8787151098251342,3
84,calf_l,1.69161856174469,1.7261253595352173,1.846655583381653,3
70,calf_l,1.65111509958903,1.6964787244796753,1.7782236814498902,3
57,calf_l,1.6304861704508464,1.6413124799728394,1.7412055730819702,3
67,calf_r,1.5592494408289592,1.4322150945663452,1.8117502927780151,3
6,calf_r,1.5422039826711018,1.4619064331054688,1.7865802764892578,3
62,calf_l,1.5069290002187092,1.4317370653152466,1.6807461977005005,3
