sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,0.982728,0.103228,0.747046,1.052039,0.469542,2.681713,0.674347,0.381656,4.656514,0.207833,0.146690,1.852640,0.247615,0.259911,0.345545,0.324462,0.334457,0.481782,1.626661,0.373233,0.191613,0.987265,0.334178,0.153182,1.016834,0.279573,0.322388,0.302736,0.211524,0.241550,0.384794,0.310363,4.466653,1.544125,0.517990,0.419818,0.337733,2.186495,0.716897,3.281623,5.089056,0.291336,0.284453,0.182466,3.015221,3.234781
1,0.808533,0.106018,0.320025,0.573638,0.213398,0.592566,0.299455,0.256602,1.046796,0.151110,0.177690,0.717215,0.203800,0.273494,0.328422,0.303550,0.313035,0.287156,0.450555,0.275189,0.157155,0.619543,0.179541,0.142939,0.614249,0.279277,0.327999,0.263952,0.333022,0.225339,0.243034,0.465615,0.907297,1.845520,0.199919,0.270417,0.297292,1.268855,1.430629,0.769088,2.357696,0.119747,0.150268,0.172010,0.427514,0.526799
2,0.158929,0.115698,0.273147,0.494447,0.591679,1.397517,0.548208,0.225719,0.919050,0.184618,0.157690,0.409396,0.234786,0.249674,0.326785,0.311809,0.345986,0.182438,0.606193,0.360188,0.169557,0.255993,0.247780,0.141419,0.864827,0.256333,0.314420,0.266008,0.305474,0.220106,0.347865,0.269481,0.832091,1.322259,0.159443,0.208732,0.123674,0.898446,0.315289,0.477992,0.306820,0.209779,0.284406,0.159114,0.703126,0.320201
3,0.392480,0.123625,0.388550,0.849838,0.139123,0.421650,0.318707,0.132225,0.403445,0.168602,0.131218,0.322906,0.213661,0.246837,0.322679,0.299085,0.304531,0.195571,0.608121,0.382128,0.148711,0.669726,0.190092,0.141063,0.464110,0.268757,0.281004,0.240380,0.292186,0.211675,0.346805,0.183582,0.736800,0.393261,0.195943,0.195426,0.125446,0.848944,0.296475,1.046214,0.188093,0.131354,0.183338,0.182416,0.585023,0.304411
4,1.163153,0.145944,0.581116,0.417093,0.159271,0.681564,0.231119,0.170327,0.434620,0.123319,0.128854,0.738030,0.231017,0.215285,0.355120,0.298945,0.291086,0.283748,1.431035,0.643618,0.234221,0.607308,0.186126,0.114102,1.266408,0.304564,0.282316,0.301795,0.293347,0.244578,0.528585,0.476833,1.199460,4.692880,0.258796,0.369713,0.411768,1.635949,1.439476,1.192504,0.237536,0.316222,0.316621,0.295191,1.065128,1.098953
5,0.974769,0.128296,0.589896,0.300598,0.228694,0.739832,0.665363,0.518292,1.072708,0.133481,0.136336,0.814944,0.242811,0.206293,0.374348,0.297089,0.283499,0.177832,0.279678,0.386207,0.133659,0.311113,0.144385,0.069439,0.454479,0.342503,0.314432,0.337483,0.257104,0.252456,0.501622,0.583445,1.266416,5.727447,0.208879,0.382639,0.301195,2.605113,0.769271,0.675135,0.352947,0.324058,0.306535,0.243234,0.967613,0.293968
6,0.548116,0.131180,0.222895,0.309832,0.370408,0.883650,0.174769,0.114709,0.444386,0.139565,0.131141,0.351401,0.233138,0.186406,0.354919,0.304297,0.283155,0.165037,0.329350,0.575796,0.271040,0.653154,0.180181,0.092786,0.540755,0.333466,0.300955,0.314611,0.265622,0.258953,0.284013,0.244295,1.172402,1.340878,0.317992,0.229879,0.157545,1.580000,2.600326,0.511457,1.511503,0.134038,0.125452,0.158438,1.139108,0.340185
7,0.774649,0.134938,0.338009,0.355874,0.338544,1.012051,0.303733,0.133226,0.910524,0.142445,0.143248,0.589175,0.238159,0.190637,0.386847,0.308863,0.276739,0.142379,0.260784,0.427648,0.178297,0.340039,0.169792,0.102571,0.488170,0.345082,0.309018,0.355523,0.244426,0.275664,0.259017,0.209057,0.864055,2.712098,0.309336,0.236383,0.126824,2.619685,3.054999,0.332320,1.267191,0.158043,0.157830,0.216215,1.150869,0.270104
8,0.947496,0.139071,0.394613,0.375538,0.268158,0.439192,0.250771,0.199216,0.486800,0.144230,0.160738,0.350622,0.218928,0.254098,0.409415,0.289793,0.267535,0.307383,0.849203,0.325923,0.204000,0.329633,0.197689,0.097424,0.475621,0.342826,0.335160,0.377145,0.253003,0.280667,0.238975,0.363350,0.517092,2.015559,0.389777,0.282467,0.184498,0.901682,0.661689,0.317829,0.268181,0.238254,0.234688,0.274074,1.044036,0.348452
9,1.101764,0.124865,0.537347,0.525055,0.225816,0.411400,0.180364,0.134558,0.441216,0.145826,0.144837,0.331549,0.181737,0.306602,0.338364,0.291948,0.222736,0.149502,0.933177,0.332281,0.242489,0.315849,0.210202,0.142295,0.724368,0.292245,0.327234,0.295205,0.322933,0.257217,0.287212,0.279247,0.856100,2.922600,0.502425,0.389850,0.400703,1.136543,0.689901,0.715243,0.297879,0.228899,0.251557,0.341575,1.354894,0.278249
