sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,1.069033,0.132259,0.838685,1.188878,0.497885,2.917815,0.945220,0.462551,4.851480,0.252152,0.191994,1.946442,0.258360,0.321601,0.496583,0.411283,0.437066,0.522883,1.724305,0.545508,0.295952,1.062591,0.396695,0.233250,1.135112,0.367913,0.380712,0.425021,0.257404,0.286129,0.457475,0.375869,4.801026,1.683808,0.596903,0.493650,0.379175,2.473605,0.838473,3.383968,5.179186,0.409230,0.327167,0.231465,3.174259,3.329449
1,0.889210,0.128912,0.482458,0.702332,0.270067,0.695580,0.478187,0.275137,1.216250,0.178122,0.238760,0.796117,0.212477,0.319513,0.446263,0.328071,0.420333,0.375393,0.545681,0.348071,0.183950,0.862939,0.216372,0.194765,0.871973,0.362515,0.382175,0.410926,0.389128,0.270085,0.290031,0.528443,1.026958,2.081321,0.300222,0.422147,0.376082,1.505926,1.643829,0.909444,2.565762,0.143496,0.191857,0.201886,0.603857,0.642420
2,0.193991,0.148046,0.410240,0.584186,0.622160,1.431778,0.729159,0.311797,1.165765,0.249334,0.204653,0.508987,0.248656,0.309024,0.443047,0.382011,0.441962,0.207978,0.670145,0.617512,0.216390,0.315720,0.302899,0.195412,1.060625,0.350644,0.367662,0.396919,0.340142,0.273175,0.457476,0.284925,1.022750,1.396849,0.201185,0.268516,0.182378,0.980737,0.399126,0.610530,0.421902,0.298131,0.300021,0.199405,0.846039,0.442105
3,0.549734,0.133342,0.463412,0.856932,0.209669,0.495226,0.454697,0.187489,0.575049,0.214286,0.186442,0.489883,0.258164,0.295372,0.440555,0.325785,0.391026,0.237536,0.697047,0.470248,0.179955,0.807441,0.269012,0.213369,0.585355,0.329660,0.353768,0.349263,0.365009,0.280010,0.368365,0.232098,0.805835,0.482633,0.267380,0.227367,0.186705,0.899237,0.390130,1.314942,0.249688,0.158961,0.225626,0.247797,0.727722,0.338634
4,1.254542,0.173302,0.692522,0.473068,0.206182,0.852788,0.326295,0.243574,0.472445,0.141902,0.139357,0.890101,0.285931,0.255120,0.423781,0.335632,0.393645,0.312761,1.547935,1.002385,0.326961,0.748593,0.283826,0.125314,1.443531,0.387596,0.328752,0.401936,0.370973,0.288435,0.644535,0.519276,1.491126,5.082622,0.289004,0.517762,0.533957,1.792802,1.785088,1.376365,0.306615,0.343619,0.377583,0.373066,1.222829,1.192462
5,1.003869,0.186869,0.676546,0.361764,0.311948,0.841022,0.770622,0.582326,1.160220,0.167171,0.154890,0.871960,0.298411,0.213066,0.450519,0.330647,0.356560,0.187631,0.332545,0.493969,0.173102,0.437388,0.232338,0.090817,0.598058,0.417413,0.350067,0.446490,0.308461,0.322945,0.587997,0.665474,1.535469,6.159049,0.256786,0.537436,0.427023,2.751647,0.922803,0.781819,0.396750,0.326675,0.357138,0.311309,1.069869,0.415383
6,0.597339,0.179429,0.326473,0.365447,0.442420,1.051121,0.232980,0.159700,0.562123,0.159421,0.151040,0.403945,0.291711,0.193678,0.439969,0.349620,0.366558,0.236025,0.440150,0.908325,0.329953,0.715184,0.269057,0.102043,0.640150,0.403717,0.356337,0.400289,0.334408,0.313649,0.386939,0.356489,1.230886,1.706208,0.379070,0.260223,0.238040,1.671069,2.832162,0.676056,1.780315,0.158582,0.149778,0.203737,1.220230,0.373111
7,0.817559,0.189856,0.463589,0.363464,0.429961,1.209982,0.406736,0.157665,1.127134,0.154232,0.184367,0.637899,0.287661,0.217799,0.484745,0.335835,0.346314,0.192432,0.335724,0.684777,0.235278,0.403575,0.270802,0.104821,0.653213,0.443541,0.362522,0.449935,0.296263,0.361552,0.372347,0.270796,1.193028,2.970554,0.388972,0.283131,0.212889,2.835498,3.271540,0.507237,1.503960,0.187479,0.196907,0.278280,1.307039,0.310550
8,0.977953,0.185864,0.466899,0.390524,0.390303,0.684928,0.302186,0.246640,0.639646,0.181990,0.189851,0.399542,0.276520,0.314156,0.521819,0.307725,0.312106,0.379131,1.037361,0.462683,0.266608,0.403073,0.266817,0.106899,0.777743,0.462015,0.441946,0.458962,0.281620,0.376386,0.267747,0.452995,0.710419,2.379503,0.488282,0.338917,0.299219,1.063982,0.743664,0.392892,0.431776,0.290691,0.281064,0.340744,1.349909,0.387245
9,1.186525,0.155837,0.667212,0.559312,0.339831,0.526321,0.246882,0.147500,0.553847,0.171783,0.172749,0.429782,0.235815,0.361665,0.430797,0.303238,0.239359,0.198843,1.059106,0.452195,0.329869,0.432760,0.275398,0.171605,0.791370,0.400635,0.425684,0.407261,0.360035,0.342851,0.375415,0.308491,1.006108,3.173008,0.505853,0.440585,0.577233,1.252021,0.905339,0.900874,0.410611,0.267852,0.269474,0.407547,1.631815,0.387887
10,0.948222,0.153643,0.666446,0.339467,0.316076,0.658282,0.270517,0.224609,1.103593,0.176155,0.170962,0.369303,0.225725,0.321439,0.379671,0.330435,0.257056,0.263002,1.071022,0.701263,0.410906,0.700684,0.297772,0.178350,1.181533,0.340753,0.383315,0.349081,0.371038,0.376787,0.410692,0.397872,1.320485,2.019844,0.561871,0.473923,0.378481,1.812334,1.135970,1.163860,0.306221,0.199452,0.224792,0.267384,1.432017,0.384261
11,0.634113,0.160460,0.476787,0.491519,0.328941,0.882576,0.253113,0.121945,1.357168,0.195283,0.172938,0.827199,0.268118,0.272131,0.371970,0.388374,0.296141,0.336671,1.137182,0.809726,0.522599,0.596775,0.260952,0.179356,0.983688,0.291671,0.366748,0.315311,0.349820,0.384384,0.482476,0.515793,1.379201,4.310126,0.156409,0.171764,0.250437,5.129535,0.821145,1.002670,0.259935,0.200772,0.196780,0.210414,0.643281,0.363445
12,0.658803,0.286660,0.310945,0.927259,0.519817,0.653140,0.536056,0.344159,1.229318,0.230549,0.246478,0.534709,0.317463,0.310049,0.617547,0.426444,0.357625,0.395066,0.877901,0.543193,0.447279,0.961234,0.422844,0.320134,0.782763,0.418551,0.368778,0.361660,0.506272,0.362110,0.394454,0.420961,1.186163,2.653148,0.225335,0.250338,0.557546,11.209765,2.148376,0.886426,0.323823,0.172747,0.263941,0.339984,1.278730,0.631921
13,1.158136,0.154205,0.726518,1.759206,0.564451,1.926638,0.993113,0.479159,3.249149,0.237151,0.136159,0.880594,0.269587,0.243748,0.360917,0.352358,0.333975,0.739570,2.352554,0.516345,0.216663,2.641432,0.313758,0.160736,1.437682,0.346093,0.381616,0.345601,0.355363,0.362651,0.394738,0.507874,4.432364,3.395715,0.708659,0.783176,0.974786,11.358770,3.241134,3.143577,1.282703,0.317153,0.243358,0.195022,2.042251,0.369445
14,0.686311,0.167818,0.810839,0.981595,0.394556,0.935914,0.473827,0.193549,1.185330,0.197578,0.151603,0.610860,0.235279,0.255167,0.384094,0.344769,0.348073,0.290088,1.168508,0.609503,0.268194,0.562174,0.269223,0.190622,0.683083,0.333635,0.352785,0.392603,0.417986,0.341050,0.355801,0.561046,1.606954,2.558060,0.780908,0.858040,1.016385,6.782084,0.813819,1.274023,0.275402,0.164898,0.167235,0.171626,0.667541,0.401126
15,0.998759,0.163616,0.737836,1.046402,0.410423,1.058404,0.392211,0.188311,1.378761,0.201920,0.134123,0.832300,0.231052,0.264965,0.371791,0.330161,0.363204,0.390850,1.519675,0.622459,0.348768,1.200526,0.249027,0.152014,0.748749,0.324153,0.369440,0.405191,0.438655,0.341083,0.325648,0.441915,2.186708,2.902110,0.331051,0.416122,0.511937,3.411013,0.877493,2.230394,0.275880,0.351860,0.262198,0.243224,1.001139,0.659600
16,0.534313,0.166327,0.541249,0.360098,0.347916,0.490760,0.305479,0.238381,0.905347,0.176006,0.157543,0.783680,0.217003,0.267882,0.395803,0.343644,0.340287,0.177281,0.840539,0.696652,0.348346,0.533764,0.261214,0.157288,0.867815,0.348963,0.335350,0.429715,0.437641,0.326084,0.373862,0.467101,0.598715,2.163184,0.178727,0.178903,0.237325,1.850719,0.582133,0.854473,0.347552,0.203303,0.187809,0.163446,0.822506,0.318403
