sic,bone,mean_deg,p50_deg,p90_deg,count
13,foot_l,10.698815981547037,10.97969913482666,11.358770179748536,3
71,calf_r,10.354745546976725,10.68436050415039,10.860049438476562,3
53,thigh_l,9.043093045552572,8.937649726867676,9.536892127990722,3
32,calf_l,8.942182858784994,8.765242576599121,10.32205638885498,3
53,lowerarm_l,8.318175156911215,8.105841636657715,8.769931602478028,3
53,foot_r,8.221285502115885,8.175492286682129,8.97050952911377,3
12,foot_l,8.132912476857504,9.934350967407227,11.209765243530274,3
31,calf_l,7.869100888570149,8.142484664916992,9.528696060180664,3
53,upperarm_l,7.803729852040608,8.021507263183594,8.220747375488282,3
52,thigh_l,7.698668638865153,7.609488010406494,8.066037464141846,3
76,calf_r,7.632132371266683,7.774880409240723,8.499375343322754,3
53,thigh_r,7.576387882232666,7.5629048347473145,7.938135623931885,3
33,calf_l,7.451309363047282,7.1063618659973145,9.127703189849854,3
52,lowerarm_l,7.146495978037517,7.000116348266602,7.421679306030273,3
20,calf_l,7.080910682678223,6.593998908996582,7.979585456848144,3
18,calf_l,7.02324374516805,6.921586990356445,7.582542037963867,3
54,foot_r,6.685869057973226,6.694123268127441,7.365926933288574,3
19,calf_l,6.530670324961345,6.615960121154785,6.983536338806152,3
52,upperarm_l,6.505142052968343,6.745350360870361,6.792491626739502,3
74,calf_r,6.402771949768066,6.872485637664795,7.223905467987061,3
14,foot_l,6.371006965637207,6.611886501312256,6.782083797454834,3
52,thigh_r,6.326909065246582,6.304299354553223,6.53073902130127,3
53,calf_l,6.277119477589925,6.258453845977783,6.46228723526001,3
69,calf_r,6.042915980021159,5.909420967102051,6.487841606140137,3
37,calf_l,5.823787371317546,6.240990161895752,6.38646821975708,3
5,calf_l,5.727446556091309,5.6360883712768555,6.159049034118652,3
53,calf_r,5.71220858891805,5.834663391113281,6.106335830688477,3
52,calf_r,5.6505195299784345,5.495143413543701,5.958602428436279,3
0,calf_r,5.08905569712321,5.173893928527832,5.17918643951416,3
71,calf_l,4.897360801696777,4.711014747619629,5.230463981628418,3
37,foot_l,4.87195881207784,5.37099552154541,5.480989646911621,3
26,calf_l,4.85758113861084,4.630373954772949,6.3253278732299805,3
50,calf_r,4.833866119384766,4.683932781219482,5.20369291305542,3
55,foot_r,4.793968677520752,4.742966175079346,5.194590091705322,3
31,foot_l,4.744212945302327,4.572248935699463,5.339130496978759,3
24,calf_l,4.695406198501587,3.9475650787353516,6.311911773681641,3
4,calf_l,4.692879676818848,4.466996192932129,5.082622337341308,3
53,hand_l,4.6621073087056475,4.719276428222656,4.784149169921875,3
0,lowerarm_l,4.656514008839925,4.8203229904174805,4.851480293273926,3
52,calf_l,4.632490475972493,4.704825401306152,4.769377326965332,3
42,calf_l,4.6021402676900225,4.307172775268555,5.076356887817383,3
52,foot_r,4.5799195766448975,4.460331439971924,5.690312290191651,3
