sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,0.607337,0.240240,0.325556,0.176878,0.092913,0.940846,0.136330,0.299339,1.130118,0.223071,0.135292,0.588994,0.219050,0.401674,0.477092,0.384797,0.238642,0.208937,0.511745,0.300134,0.082910,0.094303,0.188930,0.181823,0.294502,0.207783,0.452541,0.217612,0.297846,0.291506,0.165715,0.524952,1.219368,0.252764,0.236726,0.114509,0.225101,0.237218,0.321922,0.797203,1.228606,0.249816,0.179189,0.326359,1.048480,0.624532
1,0.128201,0.211479,0.193124,0.674686,0.093470,0.785535,0.073957,0.244590,0.956551,0.198308,0.102020,0.351263,0.264967,0.435320,0.496886,0.377638,0.209738,0.458437,0.744355,0.120490,0.247383,0.168356,0.166568,0.185163,0.323100,0.262175,0.477243,0.306774,0.329306,0.303462,0.393330,0.351335,0.635038,0.355728,0.148726,0.117607,0.102816,0.686014,0.827354,0.102767,1.083900,0.212072,0.173406,0.165511,0.367271,0.220204
2,0.471425,0.253922,0.199885,0.515510,0.183424,0.648816,0.531062,0.180019,0.152207,0.153201,0.140475,0.580077,0.179867,0.426039,0.354418,0.250844,0.288466,0.322675,0.178224,0.283511,0.321785,0.606662,0.277029,0.208308,0.861733,0.161180,0.558990,0.185871,0.371640,0.231590,0.345163,0.409043,0.672915,1.714223,0.224967,0.086716,0.318030,0.484388,0.494559,0.206159,0.420737,0.202585,0.294904,0.266258,0.827161,0.299659
3,0.533628,0.143067,0.285114,0.439931,0.368390,0.446588,0.362735,0.095212,0.177386,0.135306,0.256788,0.428918,0.174983,0.376537,0.281868,0.347573,0.242709,0.195738,0.552596,0.139050,0.272066,0.583677,0.227487,0.111489,0.342459,0.248484,0.441582,0.366888,0.467696,0.231678,0.308210,0.336149,0.326223,0.885440,0.208450,0.075485,0.267620,0.272725,0.282954,0.532052,0.147869,0.195892,0.170695,0.182565,0.826367,0.262373
4,0.220960,0.149753,0.310668,0.248961,0.320453,0.515262,0.220250,0.108641,0.608038,0.220873,0.285266,0.430678,0.142018,0.307956,0.276759,0.306360,0.357525,0.124874,0.696535,0.726388,0.473341,0.420275,0.244060,0.141489,1.222208,0.182538,0.534958,0.282795,0.468584,0.237872,0.485180,0.233045,0.439070,0.557815,0.195800,0.137345,0.154545,0.231256,0.300436,0.866720,0.335796,0.289378,0.083757,0.326080,0.632628,0.274261
5,0.194568,0.123266,0.240533,0.050903,0.109798,0.433796,0.264488,0.351288,0.750143,0.118962,0.129787,0.315952,0.204377,0.332475,0.287954,0.471304,0.246988,0.151106,0.143193,0.189760,0.261999,0.354291,0.220022,0.155982,0.375580,0.347294,0.455977,0.490331,0.429032,0.291180,0.365659,0.199932,0.636146,0.527739,0.072586,0.181762,0.150883,1.198355,0.562497,0.797028,0.331592,0.351269,0.263000,0.248838,0.894833,0.167496
6,0.394310,0.144149,0.210749,0.206322,0.152601,0.292474,0.193904,0.197914,0.357576,0.133228,0.174008,0.257969,0.201745,0.325012,0.314325,0.520739,0.274121,0.249856,0.334156,0.175307,0.159543,0.543259,0.215506,0.082710,0.309325,0.262284,0.558042,0.442004,0.326754,0.262327,0.216966,0.311584,0.715580,0.966796,0.178677,0.140203,0.153204,1.167742,0.777404,0.475967,0.593413,0.240481,0.103298,0.281011,0.908164,0.125052
7,0.253364,0.211506,0.213041,0.291128,0.158762,0.076128,0.167540,0.257327,0.720030,0.134974,0.115473,0.567953,0.183329,0.340307,0.297212,0.520795,0.289857,0.314239,0.271988,0.231787,0.338744,0.333405,0.205023,0.105805,0.195545,0.226089,0.599622,0.515002,0.291495,0.288524,0.308671,0.259849,0.331639,0.818147,0.179893,0.161413,0.087876,1.028535,1.039964,0.297306,0.134881,0.167334,0.115773,0.114831,0.411133,0.127591
8,0.399315,0.348425,0.223482,0.350130,0.164834,0.159020,0.135153,0.193287,0.424981,0.096377,0.078907,0.245589,0.245329,0.434013,0.435824,0.440846,0.268995,0.465596,0.464965,0.273325,0.169405,0.202862,0.157195,0.143144,0.424597,0.236457,0.587235,0.399076,0.337958,0.357005,0.348799,0.249379,0.370027,0.428082,0.217151,0.162428,0.050675,0.372502,0.604123,0.177478,0.081264,0.170594,0.203872,0.064756,0.327534,0.073171
9,0.556631,0.309397,0.223754,0.578913,0.125216,0.250517,0.162998,0.341310,0.516681,0.191368,0.128503,0.333781,0.227184,0.446345,0.456530,0.535331,0.311164,0.173273,0.264617,0.222404,0.345890,0.402350,0.227233,0.208115,0.255031,0.228747,0.503292,0.249627,0.331912,0.346681,0.522741,0.216331,0.231423,0.540127,0.298821,0.111900,0.204286,0.165374,0.369816,0.267444,0.066788,0.184725,0.229651,0.147658,0.317205,0.127997
