sic,bone,mean_deg,p50_deg,p90_deg,count
31,foot_l,4.061769485473633,4.061769485473633,4.061769485473633,1
37,foot_l,3.744609832763672,3.744609832763672,3.744609832763672,1
85,calf_r,3.165381908416748,3.165381908416748,3.165381908416748,1
32,foot_l,3.161813259124756,3.161813259124756,3.161813259124756,1
27,calf_l,3.107825517654419,3.107825517654419,3.107825517654419,1
32,calf_l,2.9081125259399414,2.9081125259399414,2.9081125259399414,1
53,ball_r,2.726219654083252,2.726219654083252,2.726219654083252,1
33,foot_l,2.3418548107147217,2.3418548107147217,2.3418548107147217,1
85,foot_r,2.3115267753601074,2.3115267753601074,2.3115267753601074,1
36,foot_l,2.3085896968841553,2.3085896968841553,2.3085896968841553,1
41,foot_l,2.209651231765747,2.209651231765747,2.209651231765747,1
13,ball_l,2.174522638320923,2.174522638320923,2.174522638320923,1
18,foot_l,1.9379912614822388,1.9379912614822388,1.9379912614822388,1
32,thigh_l,1.9361494779586792,1.9361494779586792,1.9361494779586792,1
42,foot_l,1.920625925064087,1.920625925064087,1.920625925064087,1
13,foot_l,1.9110064506530762,1.9110064506530762,1.9110064506530762,1
17,foot_l,1.8231446743011475,1.8231446743011475,1.8231446743011475,1
52,ball_r,1.7975612878799438,1.7975612878799438,1.7975612878799438,1
53,foot_r,1.7828892469406128,1.7828892469406128,1.7828892469406128,1
81,calf_r,1.7826989889144897,1.7826989889144897,1.7826989889144897,1
71,calf_l,1.7670563459396362,1.7670563459396362,1.7670563459396362,1
2,calf_l,1.7142232656478882,1.7142232656478882,1.7142232656478882,1
28,calf_l,1.6884888410568237,1.6884888410568237,1.6884888410568237,1
38,foot_l,1.6730228662490845,1.6730228662490845,1.6730228662490845,1
55,foot_r,1.6683918237686157,1.6683918237686157,1.6683918237686157,1
14,foot_l,1.6598654985427856,1.6598654985427856,1.6598654985427856,1
18,calf_l,1.566101312637329,1.566101312637329,1.566101312637329,1
31,thigh_l,1.5615603923797607,1.5615603923797607,1.5615603923797607,1
37,thigh_l,1.54417884349823,1.54417884349823,1.54417884349823,1
16,calf_l,1.4230268001556396,1.4230268001556396,1.4230268001556396,1
56,foot_r,1.4008678197860718,1.4008678197860718,1.4008678197860718,1
85,upperarm_l,1.3710182905197144,1.3710182905197144,1.3710182905197144,1
36,thigh_l,1.3565144538879395,1.3565144538879395,1.3565144538879395,1
19,foot_l,1.3560643196105957,1.3560643196105957,1.3560643196105957,1
11,foot_l,1.3479458093643188,1.3479458093643188,1.3479458093643188,1
40,foot_l,1.3235341310501099,1.3235341310501099,1.3235341310501099,1
37,calf_l,1.3011986017227173,1.3011986017227173,1.3011986017227173,1
84,calf_r,1.2383506298065186,1.2383506298065186,1.2383506298065186,1
0,calf_r,1.2286062240600586,1.2286062240600586,1.2286062240600586,1
4,hand_r,1.2222083806991577,1.2222083806991577,1.2222083806991577,1
0,thigh_l,1.2193682193756104,1.2193682193756104,1.2193682193756104,1
