sic,calf_l,calf_r
0,0.228994,2.090220
1,0.224479,2.023152
2,2.590055,0.841673
3,0.089153,0.278796
4,0.192939,0.200129
5,2.379305,0.221882
6,0.468154,0.487744
7,0.176284,0.173591
8,0.157044,0.227655
9,0.813022,0.167693
10,0.484745,0.161365
11,0.274161,0.196426
12,0.677486,0.182335
13,0.788644,0.315540
14,0.524039,0.190879
15,0.511955,0.178498
16,1.276837,0.192859
17,0.990385,0.171105
18,0.914356,0.357345
19,0.908120,0.258606
20,0.623998,0.237670
21,0.742328,0.366224
22,1.715425,0.379159
23,0.711216,0.174635
24,0.436309,0.183771
25,0.144261,0.201486
26,0.831723,0.173895
27,2.488204,0.182302
28,0.803212,0.248603
29,0.150129,0.218114
30,0.323034,0.173181
31,0.561857,0.175029
32,2.487643,0.166647
33,0.795092,0.181770
34,0.376046,0.419632
35,0.335558,0.187086
36,0.469078,0.220612
37,0.475356,0.421982
38,0.153986,0.186005
39,0.239868,0.181345
40,0.398957,0.167370
41,0.377225,0.246258
42,0.076182,0.173971
43,0.238991,0.282303
44,0.362101,0.202924
45,0.134005,0.156111
46,0.083106,0.135936
47,0.286011,0.504486
48,0.117926,0.147976
49,0.237869,0.452407
50,0.213431,0.131041
51,0.413740,0.248751
52,0.158587,0.143768
53,0.108075,0.636500
54,0.394490,0.417606
55,0.186885,0.080363
56,0.142462,0.140402
57,0.093273,0.143627
58,0.294219,0.419181
59,0.696596,0.119371
60,0.092343,0.060681
61,0.977492,0.501691
62,0.234871,0.184352
63,0.591628,0.091139
64,0.613959,0.267795
65,0.080905,0.184035
66,0.080820,0.286489
67,0.425785,0.250585
68,0.549461,0.267520
69,0.523197,0.535980
70,0.383506,0.464159
71,2.072114,0.056578
72,1.132384,0.140367
73,0.182683,0.087937
74,0.193975,0.308737
75,0.287808,0.883317
76,0.109091,0.486649
77,0.176828,0.843149
78,0.284232,0.135276
79,0.090530,0.235439
80,0.083640,0.793715
81,0.389021,1.760838
82,0.179401,0.881494
83,0.199713,0.267192
84,0.827495,0.463188
85,0.620111,1.867245
