sic,bone,mean_deg,p50_deg,p90_deg,count
2,calf_l,2.590055465698242,2.590055465698242,2.590055465698242,1
27,calf_l,2.48820424079895,2.48820424079895,2.48820424079895,1
32,calf_l,2.487643241882324,2.487643241882324,2.487643241882324,1
5,calf_l,2.379305124282837,2.379305124282837,2.379305124282837,1
0,calf_r,2.0902199745178223,2.0902199745178223,2.0902199745178223,1
71,calf_l,2.072113513946533,2.072113513946533,2.072113513946533,1
1,calf_r,2.0231523513793945,2.0231523513793945,2.0231523513793945,1
85,calf_r,1.8672451972961426,1.8672451972961426,1.8672451972961426,1
81,calf_r,1.7608381509780884,1.7608381509780884,1.7608381509780884,1
22,calf_l,1.7154251337051392,1.7154251337051392,1.7154251337051392,1
16,calf_l,1.2768369913101196,1.2768369913101196,1.2768369913101196,1
72,calf_l,1.1323835849761963,1.1323835849761963,1.1323835849761963,1
17,calf_l,0.990384578704834,0.990384578704834,0.990384578704834,1
61,calf_l,0.977492094039917,0.977492094039917,0.977492094039917,1
18,calf_l,0.9143561720848083,0.9143561720848083,0.9143561720848083,1
19,calf_l,0.9081203937530518,0.9081203937530518,0.9081203937530518,1
75,calf_r,0.8833165168762207,0.8833165168762207,0.8833165168762207,1
82,calf_r,0.8814936280250549,0.8814936280250549,0.8814936280250549,1
77,calf_r,0.8431487679481506,0.8431487679481506,0.8431487679481506,1
2,calf_r,0.8416733741760254,0.8416733741760254,0.8416733741760254,1
26,calf_l,0.8317233324050903,0.8317233324050903,0.8317233324050903,1
84,calf_l,0.8274948596954346,0.8274948596954346,0.8274948596954346,1
9,calf_l,0.8130220174789429,0.8130220174789429,0.8130220174789429,1
28,calf_l,0.8032116293907166,0.8032116293907166,0.8032116293907166,1
33,calf_l,0.7950916290283203,0.7950916290283203,0.7950916290283203,1
80,calf_r,0.7937147617340088,0.7937147617340088,0.7937147617340088,1
13,calf_l,0.7886442542076111,0.7886442542076111,0.7886442542076111,1
21,calf_l,0.7423281073570251,0.7423281073570251,0.7423281073570251,1
23,calf_l,0.7112163305282593,0.7112163305282593,0.7112163305282593,1
59,calf_l,0.6965959072113037,0.6965959072113037,0.6965959072113037,1
12,calf_l,0.6774861216545105,0.6774861216545105,0.6774861216545105,1
53,calf_r,0.6364997625350952,0.6364997625350952,0.6364997625350952,1
20,calf_l,0.623997688293457,0.623997688293457,0.623997688293457,1
85,calf_l,0.6201112866401672,0.6201112866401672,0.6201112866401672,1
64,calf_l,0.6139589548110962,0.6139589548110962,0.6139589548110962,1
63,calf_l,0.5916280746459961,0.5916280746459961,0.5916280746459961,1
31,calf_l,0.5618568658828735,0.5618568658828735,0.5618568658828735,1
68,calf_l,0.5494613647460938,0.5494613647460938,0.5494613647460938,1
69,calf_r,0.5359804034233093,0.5359804034233093,0.5359804034233093,1
14,calf_l,0.5240394473075867,0.5240394473075867,0.5240394473075867,1
69,calf_l,0.5231974720954895,0.5231974720954895,0.5231974720954895,1
15,calf_l,0.5119553208351135,0.5119553208351135,0.5119553208351135,1
47,calf_r,0.5044856071472168,0.5044856071472168,0.5044856071472168,1
61,calf_r,0.5016907453536987,0.5016907453536987,0.5016907453536987,1
6,calf_r,0.48774418234825134,0.48774418234825134,0.48774418234825134,1
76,calf_r,0.4866485893726349,0.4866485893726349,0.4866485893726349,1
10,calf_l,0.48474472761154175,0.48474472761154175,0.48474472761154175,1
37,calf_l,0.4753563106060028,0.4753563106060028,0.4753563106060028,1
36,calf_l,0.4690781831741333,0.4690781831741333,0.4690781831741333,1
6,calf_l,0.46815380454063416,0.46815380454063416,0.46815380454063416,1
70,calf_r,0.46415913105010986,0.46415913105010986,0.46415913105010986,1
84,calf_r,0.46318790316581726,0.46318790316581726,0.46318790316581726,1
49,calf_r,0.45240655541419983,0.45240655541419983,0.45240655541419983,1
24,calf_l,0.43630850315093994,0.43630850315093994,0.43630850315093994,1
67,calf_l,0.4257848858833313,0.4257848858833313,0.4257848858833313,1
37,calf_r,0.4219816327095032,0.4219816327095032,0.4219816327095032,1
34,calf_r,0.419632226228714,0.419632226228714,0.419632226228714,1
58,calf_r,0.41918084025382996,0.41918084025382996,0.41918084025382996,1
54,calf_r,0.4176064729690552,0.4176064729690552,0.4176064729690552,1
51,calf_l,0.4137399196624756,0.4137399196624756,0.4137399196624756,1
40,calf_l,0.3989574909210205,0.3989574909210205,0.3989574909210205,1
54,calf_l,0.39449024200439453,0.39449024200439453,0.39449024200439453,1
81,calf_l,0.38902127742767334,0.38902127742767334,0.38902127742767334,1
70,calf_l,0.38350558280944824,0.38350558280944824,0.38350558280944824,1
22,calf_r,0.37915852665901184,0.37915852665901184,0.37915852665901184,1
41,calf_l,0.37722456455230713,0.37722456455230713,0.37722456455230713,1
34,calf_l,0.3760457932949066,0.3760457932949066,0.3760457932949066,1
21,calf_r,0.36622434854507446,0.36622434854507446,0.36622434854507446,1
44,calf_l,0.3621009588241577,0.3621009588241577,0.3621009588241577,1
18,calf_r,0.3573446273803711,0.3573446273803711,0.3573446273803711,1
35,calf_l,0.33555757999420166,0.33555757999420166,0.33555757999420166,1
30,calf_l,0.323034405708313,0.323034405708313,0.323034405708313,1
13,calf_r,0.3155401647090912,0.3155401647090912,0.3155401647090912,1
74,calf_r,0.30873745679855347,0.30873745679855347,0.30873745679855347,1
58,calf_l,0.29421883821487427,0.29421883821487427,0.29421883821487427,1
75,calf_l,0.28780826926231384,0.28780826926231384,0.28780826926231384,1
66,calf_r,0.28648945689201355,0.28648945689201355,0.28648945689201355,1
47,calf_l,0.28601112961769104,0.28601112961769104,0.28601112961769104,1
78,calf_l,0.28423207998275757,0.28423207998275757,0.28423207998275757,1
43,calf_r,0.2823033928871155,0.2823033928871155,0.2823033928871155,1
3,calf_r,0.2787957191467285,0.2787957191467285,0.2787957191467285,1
11,calf_l,0.274161159992218,0.274161159992218,0.274161159992218,1
64,calf_r,0.26779481768608093,0.26779481768608093,0.26779481768608093,1
68,calf_r,0.26751989126205444,0.26751989126205444,0.26751989126205444,1
83,calf_r,0.2671915292739868,0.2671915292739868,0.2671915292739868,1
19,calf_r,0.25860562920570374,0.25860562920570374,0.25860562920570374,1
67,calf_r,0.2505846619606018,0.2505846619606018,0.2505846619606018,1
51,calf_r,0.2487514317035675,0.2487514317035675,0.2487514317035675,1
28,calf_r,0.2486027479171753,0.2486027479171753,0.2486027479171753,1
41,calf_r,0.2462577521800995,0.2462577521800995,0.2462577521800995,1
39,calf_l,0.2398681640625,0.2398681640625,0.2398681640625,1
43,calf_l,0.2389906495809555,0.2389906495809555,0.2389906495809555,1
49,calf_l,0.23786936700344086,0.23786936700344086,0.23786936700344086,1
20,calf_r,0.23767049610614777,0.23767049610614777,0.23767049610614777,1
79,calf_r,0.2354394495487213,0.2354394495487213,0.2354394495487213,1
62,calf_l,0.23487110435962677,0.23487110435962677,0.23487110435962677,1
0,calf_l,0.22899417579174042,0.22899417579174042,0.22899417579174042,1
8,calf_r,0.2276548445224762,0.2276548445224762,0.2276548445224762,1
1,calf_l,0.22447910904884338,0.22447910904884338,0.22447910904884338,1
5,calf_r,0.22188180685043335,0.22188180685043335,0.22188180685043335,1
36,calf_r,0.2206120640039444,0.2206120640039444,0.2206120640039444,1
29,calf_r,0.21811440587043762,0.21811440587043762,0.21811440587043762,1
50,calf_l,0.21343138813972473,0.21343138813972473,0.21343138813972473,1
44,calf_r,0.20292440056800842,0.20292440056800842,0.20292440056800842,1
25,calf_r,0.2014859914779663,0.2014859914779663,0.2014859914779663,1
4,calf_r,0.20012855529785156,0.20012855529785156,0.20012855529785156,1
83,calf_l,0.19971267879009247,0.19971267879009247,0.19971267879009247,1
11,calf_r,0.19642581045627594,0.19642581045627594,0.19642581045627594,1
74,calf_l,0.19397488236427307,0.19397488236427307,0.19397488236427307,1
4,calf_l,0.19293905794620514,0.19293905794620514,0.19293905794620514,1
16,calf_r,0.19285883009433746,0.19285883009433746,0.19285883009433746,1
14,calf_r,0.19087933003902435,0.19087933003902435,0.19087933003902435,1
35,calf_r,0.18708617985248566,0.18708617985248566,0.18708617985248566,1
55,calf_l,0.1868853121995926,0.1868853121995926,0.1868853121995926,1
38,calf_r,0.1860053539276123,0.1860053539276123,0.1860053539276123,1
62,calf_r,0.18435175716876984,0.18435175716876984,0.18435175716876984,1
65,calf_r,0.18403540551662445,0.18403540551662445,0.18403540551662445,1
24,calf_r,0.18377108871936798,0.18377108871936798,0.18377108871936798,1
73,calf_l,0.18268322944641113,0.18268322944641113,0.18268322944641113,1
12,calf_r,0.182334765791893,0.182334765791893,0.182334765791893,1
27,calf_r,0.1823022961616516,0.1823022961616516,0.1823022961616516,1
33,calf_r,0.18176954984664917,0.18176954984664917,0.18176954984664917,1
39,calf_r,0.18134528398513794,0.18134528398513794,0.18134528398513794,1
82,calf_l,0.17940062284469604,0.17940062284469604,0.17940062284469604,1
15,calf_r,0.17849788069725037,0.17849788069725037,0.17849788069725037,1
77,calf_l,0.17682787775993347,0.17682787775993347,0.17682787775993347,1
7,calf_l,0.1762835830450058,0.1762835830450058,0.1762835830450058,1
31,calf_r,0.17502929270267487,0.17502929270267487,0.17502929270267487,1
23,calf_r,0.17463524639606476,0.17463524639606476,0.17463524639606476,1
42,calf_r,0.17397084832191467,0.17397084832191467,0.17397084832191467,1
26,calf_r,0.17389509081840515,0.17389509081840515,0.17389509081840515,1
7,calf_r,0.17359071969985962,0.17359071969985962,0.17359071969985962,1
