sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,0.777725,0.231495,0.333872,0.319608,0.264464,0.479689,0.163226,0.106572,1.028641,0.089270,0.144614,0.713000,0.107844,0.216002,0.303338,0.256400,0.246379,0.128851,0.535786,0.245025,0.233937,0.322394,0.154649,0.183373,0.278170,0.308519,0.216609,0.156246,0.279753,0.383623,0.252274,0.499092,1.099063,0.230423,0.190692,0.179764,0.104416,0.232509,0.167700,1.053562,1.971570,0.183158,0.165684,0.180323,1.086877,0.394043
1,0.304331,0.183625,0.287259,0.559268,0.166618,0.669830,0.087584,0.161203,1.220958,0.075833,0.138289,0.635134,0.141639,0.284129,0.328634,0.281344,0.230654,0.368464,0.807032,0.220686,0.116558,0.181560,0.125527,0.190005,0.317996,0.256953,0.233247,0.161051,0.310615,0.377208,0.329946,0.370936,0.773941,0.243262,0.110670,0.244980,0.159249,1.046114,0.720984,0.404801,1.866068,0.129466,0.133227,0.238727,0.600613,0.433134
2,0.340218,0.174307,0.207874,0.540939,0.524271,1.467841,0.805040,0.258869,1.058932,0.121141,0.125798,0.507459,0.136111,0.265968,0.325881,0.294049,0.236228,0.273218,0.199050,0.433420,0.221201,0.194985,0.210624,0.196969,1.090338,0.198570,0.211914,0.117683,0.318668,0.415732,0.307383,0.321613,1.048618,2.569099,0.247963,0.113518,0.108903,0.452691,0.877792,0.346171,0.919281,0.161840,0.231673,0.264089,1.349703,0.292606
3,0.278621,0.199669,0.136821,0.436698,0.337937,0.334154,0.274215,0.084390,0.188582,0.227636,0.248895,0.194608,0.262274,0.239745,0.209314,0.331126,0.222597,0.185093,0.652928,0.485649,0.262530,0.292712,0.177488,0.139327,0.381997,0.357158,0.328621,0.278416,0.376033,0.263622,0.442516,0.148834,0.227439,0.259016,0.219457,0.188515,0.202594,0.391939,0.306256,0.164314,0.249834,0.130744,0.079325,0.252095,0.416401,0.364826
4,0.197224,0.148197,0.425051,0.167426,0.187787,0.318076,0.395040,0.181792,0.163744,0.124999,0.130127,0.317667,0.195104,0.266505,0.307129,0.305416,0.198183,0.181403,1.030370,0.925854,0.444293,0.121078,0.261729,0.257112,1.468698,0.244126,0.222505,0.138869,0.403446,0.369497,0.402289,0.200274,0.260159,0.288552,0.166730,0.175002,0.176880,0.578860,0.182890,0.640784,0.220512,0.262002,0.250600,0.119869,0.809589,0.494821
5,0.440059,0.197380,0.309313,0.038404,0.257230,0.718884,0.188530,0.280994,1.254315,0.117920,0.158262,0.536218,0.189241,0.228050,0.264828,0.305985,0.227918,0.100418,0.257454,0.451873,0.218247,0.107771,0.121247,0.164189,0.332406,0.377312,0.214292,0.224182,0.392068,0.297575,0.490322,0.271568,1.358133,2.368235,0.097641,0.355398,0.225001,0.901819,1.287289,0.701981,0.245240,0.303629,0.258836,0.139540,1.078325,0.256178
6,0.525402,0.180608,0.189277,0.425882,0.305064,0.586568,0.252973,0.110316,0.377322,0.113479,0.136478,0.268670,0.157865,0.236208,0.289429,0.345521,0.215431,0.127915,0.153630,0.183201,0.109837,0.188152,0.153903,0.157178,0.237060,0.314354,0.200554,0.151924,0.431291,0.356652,0.239831,0.269147,0.716962,0.380274,0.162382,0.205854,0.162419,1.674113,0.277386,0.595859,0.487100,0.239264,0.147977,0.158277,0.739438,0.284714
7,0.135863,0.215685,0.210389,0.112793,0.282626,0.408860,0.190967,0.124801,0.397012,0.071267,0.169852,0.571687,0.121588,0.257701,0.252295,0.362491,0.217380,0.242591,0.323623,0.370001,0.195838,0.259278,0.136288,0.192614,0.350552,0.270293,0.195100,0.162790,0.397863,0.390645,0.327448,0.321972,0.276352,0.341959,0.171984,0.186915,0.145764,1.972465,0.755289,0.334418,0.353480,0.101063,0.114572,0.236475,0.534523,0.292551
8,0.170923,0.213062,0.143479,0.181029,0.260980,0.301107,0.198892,0.115937,0.315015,0.088285,0.160035,0.192060,0.084803,0.300101,0.295765,0.336522,0.230164,0.449367,0.301740,0.253918,0.086707,0.229637,0.118366,0.138257,0.364758,0.226069,0.233727,0.183791,0.371324,0.465667,0.372939,0.107444,0.259723,0.209641,0.207512,0.171535,0.104719,0.277059,0.763628,0.465428,0.323001,0.133839,0.167678,0.271128,0.624227,0.272746
9,0.229625,0.219951,0.190924,0.284047,0.137132,0.416056,0.171892,0.097086,0.345865,0.107714,0.125173,0.273142,0.103941,0.270557,0.306507,0.287927,0.211297,0.158624,0.161495,0.266810,0.217000,0.112513,0.160278,0.213491,0.482280,0.229930,0.286735,0.198185,0.348095,0.416862,0.418112,0.209266,0.306059,0.412690,0.305386,0.100667,0.167515,1.033100,0.211430,0.255564,0.161448,0.133440,0.154826,0.263288,0.696160,0.242568
10,0.499683,0.224073,0.232074,0.469607,0.197447,0.193009,0.248649,0.116268,0.227668,0.099188,0.116115,0.259534,0.170032,0.217031,0.272303,0.257841,0.201578,0.090951,0.318801,0.265381,0.121944,0.102088,0.178651,0.239533,0.726213,0.280381,0.278471,0.225062,0.295347,0.388789,0.342091,0.240270,0.606223,0.181796,0.343237,0.104458,0.159964,0.763549,0.303781,0.707018,0.133248,0.120358,0.118310,0.151768,0.306330,0.319888
11,0.284821,0.200823,0.365832,0.245783,0.279219,0.204852,0.332122,0.076208,0.371677,0.124350,0.100125,0.370714,0.226982,0.232420,0.293350,0.263150,0.181329,0.114959,0.247899,0.386318,0.233223,0.118032,0.149236,0.235331,0.875298,0.290851,0.268603,0.204163,0.311515,0.388066,0.246142,0.202587,0.620994,0.512670,0.267061,0.057129,0.193104,0.792657,0.739476,0.539643,0.178386,0.175506,0.130191,0.094599,0.357401,0.319499
12,0.214679,0.169898,0.185201,0.079029,0.317887,0.467976,0.289013,0.188149,0.157527,0.136949,0.121928,0.082410,0.202743,0.246272,0.457578,0.327320,0.177758,0.216711,0.036515,0.286463,0.181760,0.125758,0.163098,0.252584,0.449698,0.305580,0.170673,0.137579,0.468008,0.360176,0.291695,0.218876,0.489347,0.352044,0.092406,0.236081,0.216804,0.602549,0.530869,0.165864,0.200178,0.201412,0.068364,0.132614,0.346585,0.375537
13,0.179383,0.175376,0.281802,0.281684,0.273248,0.189597,0.308988,0.105173,0.479392,0.199833,0.116137,0.756203,0.242076,0.272530,0.336843,0.291233,0.245823,0.190803,0.203803,0.294490,0.245718,0.311965,0.185918,0.163108,0.700103,0.295758,0.227891,0.179826,0.372524,0.459590,0.301423,0.323651,0.542985,1.423102,0.386368,0.569300,0.628399,2.566787,1.960814,0.451064,0.481827,0.201458,0.108837,0.144146,0.385576,0.299831
