sic,bone,mean_deg,p50_deg,p90_deg,count
37,foot_l,4.681718826293945,4.681718826293945,4.681718826293945,1
31,foot_l,3.746851921081543,3.746851921081543,3.746851921081543,1
85,foot_r,3.417436361312866,3.417436361312866,3.417436361312866,1
36,foot_l,3.14233136177063,3.14233136177063,3.14233136177063,1
53,foot_r,2.9302661418914795,2.9302661418914795,2.9302661418914795,1
32,calf_l,2.909466505050659,2.909466505050659,2.909466505050659,1
60,foot_r,2.8968162536621094,2.8968162536621094,2.8968162536621094,1
41,foot_l,2.7269670963287354,2.7269670963287354,2.7269670963287354,1
32,foot_l,2.7182812690734863,2.7182812690734863,2.7182812690734863,1
53,ball_r,2.655329465866089,2.655329465866089,2.655329465866089,1
14,foot_l,2.6340413093566895,2.6340413093566895,2.6340413093566895,1
2,calf_l,2.5690994262695312,2.5690994262695312,2.5690994262695312,1
13,foot_l,2.566786766052246,2.566786766052246,2.566786766052246,1
27,calf_l,2.4364945888519287,2.4364945888519287,2.4364945888519287,1
5,calf_l,2.3682353496551514,2.3682353496551514,2.3682353496551514,1
71,calf_l,2.336055040359497,2.336055040359497,2.336055040359497,1
85,calf_r,2.2901129722595215,2.2901129722595215,2.2901129722595215,1
22,calf_l,2.2714221477508545,2.2714221477508545,2.2714221477508545,1
37,thigh_l,2.2137699127197266,2.2137699127197266,2.2137699127197266,1
32,thigh_l,2.209080219268799,2.209080219268799,2.209080219268799,1
81,calf_r,2.182591676712036,2.182591676712036,2.182591676712036,1
7,foot_l,1.9724645614624023,1.9724645614624023,1.9724645614624023,1
0,calf_r,1.971570372581482,1.971570372581482,1.971570372581482,1
13,ball_l,1.9608137607574463,1.9608137607574463,1.9608137607574463,1
52,ball_r,1.946017861366272,1.946017861366272,1.946017861366272,1
35,foot_l,1.9175758361816406,1.9175758361816406,1.9175758361816406,1
36,thigh_l,1.91265869140625,1.91265869140625,1.91265869140625,1
18,foot_l,1.903219223022461,1.903219223022461,1.903219223022461,1
42,foot_l,1.9002453088760376,1.9002453088760376,1.9002453088760376,1
31,thigh_l,1.8969510793685913,1.8969510793685913,1.8969510793685913,1
1,calf_r,1.8660681247711182,1.8660681247711182,1.8660681247711182,1
40,foot_l,1.8089096546173096,1.8089096546173096,1.8089096546173096,1
74,foot_r,1.7420200109481812,1.7420200109481812,1.7420200109481812,1
34,foot_l,1.7083152532577515,1.7083152532577515,1.7083152532577515,1
49,ball_r,1.6764131784439087,1.6764131784439087,1.6764131784439087,1
6,foot_l,1.6741129159927368,1.6741129159927368,1.6741129159927368,1
71,foot_r,1.6732230186462402,1.6732230186462402,1.6732230186462402,1
38,foot_l,1.6662189960479736,1.6662189960479736,1.6662189960479736,1
