sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,0.466534,0.113723,0.159963,0.568749,0.236209,0.320058,0.161041,0.281481,0.398897,0.123175,0.059852,0.221836,0.153932,0.289830,0.370596,0.280277,0.258599,0.245655,0.324859,0.399860,0.292511,0.293694,0.109543,0.046144,0.449941,0.271762,0.283575,0.079654,0.293143,0.279024,0.242457,0.249087,0.783105,0.207983,0.133838,0.133130,0.152634,0.514969,0.563284,0.766802,0.371296,0.074674,0.262788,0.221291,0.553189,0.438972
1,0.290345,0.180735,0.320092,0.282278,0.078958,0.306100,0.130671,0.263402,0.400722,0.132084,0.114165,0.258667,0.198569,0.290018,0.272485,0.416638,0.267627,0.154669,0.442779,0.195366,0.146349,0.412176,0.235771,0.084938,0.489792,0.291497,0.226166,0.164719,0.338235,0.230067,0.251701,0.314749,0.615899,0.284226,0.165188,0.152286,0.113342,0.808252,0.196322,0.404961,0.435140,0.200720,0.203517,0.328410,0.466157,0.474785
2,0.227418,0.170903,0.105416,0.321555,0.362463,0.351638,0.473079,0.309100,0.802566,0.126877,0.112017,0.540168,0.197432,0.299380,0.256530,0.450600,0.182844,0.289281,0.476818,0.226745,0.233723,0.221050,0.156490,0.134665,0.803067,0.150162,0.250018,0.228219,0.350668,0.211653,0.442537,0.364896,0.599787,0.183046,0.041129,0.151116,0.101492,0.463048,0.421733,0.500705,0.234037,0.078863,0.129013,0.179907,0.798464,0.198262
3,0.261697,0.146035,0.110060,0.258902,0.329168,0.348353,0.257381,0.341533,0.405291,0.109556,0.177676,0.161479,0.176730,0.309304,0.226982,0.389331,0.285182,0.192221,0.291580,0.261704,0.192675,0.196093,0.169480,0.066038,0.456035,0.250584,0.179684,0.232521,0.359370,0.265154,0.234571,0.376048,0.232405,0.287153,0.115384,0.142094,0.128509,0.717730,0.128592,0.244049,0.421945,0.064835,0.231602,0.083517,0.589087,0.271560
4,0.150783,0.154289,0.156018,0.277807,0.264006,0.309767,0.152076,0.333814,0.443439,0.235063,0.151976,0.167632,0.124362,0.300242,0.186972,0.442958,0.234468,0.306957,0.888071,0.272687,0.194256,0.266763,0.112855,0.132042,1.097247,0.218985,0.401752,0.217338,0.402603,0.239456,0.314907,0.380900,0.439713,0.446193,0.098662,0.162930,0.107233,0.743227,0.206288,0.405798,0.342808,0.151568,0.171285,0.096310,0.318184,0.207417
5,0.241372,0.191532,0.169130,0.352985,0.131998,0.417380,0.054265,0.185427,0.263501,0.127663,0.161684,0.525127,0.151060,0.368668,0.324216,0.299093,0.278467,0.248687,0.464305,0.067871,0.179243,0.276273,0.250741,0.149851,0.466297,0.330573,0.208372,0.167371,0.391566,0.295156,0.253043,0.331928,0.307683,0.473820,0.127337,0.191483,0.090402,1.151799,0.082466,0.183173,0.204297,0.216341,0.248512,0.161973,0.607464,0.208853
6,0.269545,0.093134,0.151290,0.399905,0.134530,0.384257,0.239278,0.274471,0.638784,0.168285,0.075278,0.144335,0.067623,0.351835,0.264373,0.276109,0.201426,0.186939,0.379064,0.320460,0.275635,0.230098,0.164736,0.112272,0.419004,0.269910,0.298244,0.148938,0.361636,0.312240,0.465355,0.240445,0.722817,0.856656,0.242628,0.207348,0.216861,0.915841,1.940224,0.507941,0.526805,0.129765,0.243780,0.099009,0.287311,0.333274
7,0.064376,0.114015,0.166163,0.101331,0.211550,0.244579,0.218070,0.272073,0.433389,0.147326,0.086918,0.261473,0.125506,0.261382,0.294849,0.315872,0.270440,0.188492,0.599083,0.213289,0.166893,0.422931,0.167685,0.102115,0.413306,0.283221,0.335934,0.222223,0.317838,0.359256,0.247510,0.347318,0.342444,0.473775,0.158879,0.136865,0.077064,1.109247,1.722029,0.512600,0.474175,0.110713,0.217883,0.071767,0.251481,0.223401
8,0.335631,0.113788,0.146269,0.064031,0.138183,0.340147,0.364748,0.497486,0.208841,0.055045,0.072798,0.155751,0.248233,0.252807,0.301158,0.285252,0.289197,0.245945,0.301280,0.066037,0.174170,0.093042,0.150031,0.088396,0.407343,0.255546,0.180717,0.197479,0.365048,0.311159,0.248635,0.334760,0.091887,0.366693,0.164263,0.158085,0.149963,0.598027,0.095781,0.409011,0.330143,0.093983,0.245869,0.145868,0.523882,0.204366
9,0.308547,0.161364,0.169451,0.169209,0.100657,0.320593,0.278697,0.208045,0.443576,0.122732,0.097514,0.284932,0.194638,0.227242,0.271331,0.386415,0.201882,0.240442,0.298493,0.117031,0.209046,0.091621,0.138844,0.083843,0.303554,0.199260,0.208324,0.236405,0.442990,0.304571,0.269762,0.341383,0.512378,0.428229,0.140201,0.166687,0.123223,0.672298,0.157028,0.238093,0.221768,0.071313,0.195520,0.159165,0.355739,0.230929
