sic,bone,mean_deg,p50_deg,p90_deg,count
13,foot_l,4.9328131675720215,4.9328131675720215,4.9328131675720215,1
14,foot_l,3.880704402923584,3.880704402923584,3.880704402923584,1
31,foot_l,3.6803641319274902,3.6803641319274902,3.6803641319274902,1
37,foot_l,3.649670124053955,3.649670124053955,3.649670124053955,1
32,calf_l,3.3935635089874268,3.3935635089874268,3.3935635089874268,1
33,foot_l,3.159205913543701,3.159205913543701,3.159205913543701,1
53,ball_r,3.1548233032226562,3.1548233032226562,3.1548233032226562,1
53,foot_r,3.0920655727386475,3.0920655727386475,3.0920655727386475,1
13,ball_l,2.8316843509674072,2.8316843509674072,2.8316843509674072,1
32,foot_l,2.7488322257995605,2.7488322257995605,2.7488322257995605,1
18,calf_l,2.674750804901123,2.674750804901123,2.674750804901123,1
28,calf_l,2.5556609630584717,2.5556609630584717,2.5556609630584717,1
37,calf_l,2.536895275115967,2.536895275115967,2.536895275115967,1
32,thigh_l,2.528477191925049,2.528477191925049,2.528477191925049,1
31,thigh_l,2.1912808418273926,2.1912808418273926,2.1912808418273926,1
17,calf_l,2.184978485107422,2.184978485107422,2.184978485107422,1
24,calf_l,2.1683011054992676,2.1683011054992676,2.1683011054992676,1
36,calf_l,2.104153633117676,2.104153633117676,2.104153633117676,1
52,ball_r,2.0665061473846436,2.0665061473846436,2.0665061473846436,1
54,foot_r,2.034742593765259,2.034742593765259,2.034742593765259,1
64,calf_r,1.9464682340621948,1.9464682340621948,1.9464682340621948,1
6,ball_l,1.9402241706848145,1.9402241706848145,1.9402241706848145,1
15,foot_l,1.9234282970428467,1.9234282970428467,1.9234282970428467,1
38,foot_l,1.8786388635635376,1.8786388635635376,1.8786388635635376,1
71,calf_l,1.857306718826294,1.857306718826294,1.857306718826294,1
7,ball_l,1.722029209136963,1.722029209136963,1.722029209136963,1
55,foot_r,1.7219160795211792,1.7219160795211792,1.7219160795211792,1
27,calf_l,1.6722410917282104,1.6722410917282104,1.6722410917282104,1
81,calf_r,1.6450356245040894,1.6450356245040894,1.6450356245040894,1
