sic,calf_l,calf_r
0,1.441391,5.212101
1,0.997694,1.350989
2,2.198318,1.033439
3,0.699326,1.030712
4,4.521115,0.655676
5,6.578192,0.158568
6,1.685118,1.867749
7,3.662751,1.574494
8,3.486395,0.517146
9,4.975358,0.936264
10,4.263064,0.760486
11,0.518392,0.247691
12,5.134725,0.052527
13,6.674270,1.134964
14,2.014561,0.266801
15,4.620203,0.126415
16,4.034063,0.083917
17,4.230671,0.085161
18,10.529600,0.723219
19,9.365156,1.109221
20,10.884051,0.994807
21,6.966693,0.286157
22,6.927494,0.779749
23,5.893776,0.607590
24,8.487939,0.564528
25,7.171901,0.415751
26,8.320069,0.619291
27,4.313695,0.510398
28,6.405417,0.286223
29,1.024217,0.382843
30,2.384931,0.732943
31,5.518689,0.181856
32,5.528313,0.229373
33,4.371942,0.394393
34,3.471985,0.437331
35,1.054518,0.440989
36,3.804267,0.381356
37,6.528718,0.391709
38,2.680484,0.451915
39,3.495828,0.249372
40,4.708840,1.047325
41,3.333581,1.134477
42,1.862577,0.164024
43,0.665523,0.257822
44,0.277608,0.510550
45,1.059664,2.865171
46,1.032572,1.187755
47,0.140881,1.177335
48,1.082543,2.178192
49,2.501536,1.428385
50,0.620622,4.364243
51,0.184441,2.773348
52,4.177426,5.182894
53,5.523128,4.914796
54,2.269105,0.563232
55,1.197370,0.868608
56,0.622268,1.276772
57,1.641312,0.399764
58,2.885761,0.867571
59,2.835260,0.511740
60,3.110361,0.823288
61,4.560143,0.935373
62,1.742998,1.215707
63,3.000726,0.784101
64,1.073910,1.880724
65,2.545545,3.567569
66,0.786857,2.196385
67,0.263147,1.432215
68,1.361255,4.776245
69,2.455482,8.662067
70,1.798660,6.065002
71,6.162163,13.278316
72,2.792523,3.377354
73,3.392371,2.086615
74,3.863512,7.924480
75,3.394449,1.375008
76,3.482327,8.459258
77,2.363829,0.238149
78,0.178421,1.191867
79,0.685421,1.236892
80,1.314906,3.039691
81,0.182416,2.220774
82,0.392240,0.156494
83,0.525754,1.149550
84,1.876788,1.147863
85,0.992232,1.691531
