sic,bone,mean_deg,p50_deg,p90_deg,count
71,calf_r,13.278316497802734,13.278316497802734,13.278316497802734,1
20,calf_l,10.884051322937012,10.884051322937012,10.884051322937012,1
18,calf_l,10.529600143432617,10.529600143432617,10.529600143432617,1
19,calf_l,9.365156173706055,9.365156173706055,9.365156173706055,1
69,calf_r,8.662067413330078,8.662067413330078,8.662067413330078,1
24,calf_l,8.48793888092041,8.48793888092041,8.48793888092041,1
76,calf_r,8.459258079528809,8.459258079528809,8.459258079528809,1
26,calf_l,8.320069313049316,8.320069313049316,8.320069313049316,1
74,calf_r,7.924480438232422,7.924480438232422,7.924480438232422,1
25,calf_l,7.171901226043701,7.171901226043701,7.171901226043701,1
21,calf_l,6.966692924499512,6.966692924499512,6.966692924499512,1
22,calf_l,6.927494049072266,6.927494049072266,6.927494049072266,1
13,calf_l,6.674270153045654,6.674270153045654,6.674270153045654,1
5,calf_l,6.578191757202148,6.578191757202148,6.578191757202148,1
37,calf_l,6.528717517852783,6.528717517852783,6.528717517852783,1
28,calf_l,6.405417442321777,6.405417442321777,6.405417442321777,1
71,calf_l,6.162162780761719,6.162162780761719,6.162162780761719,1
70,calf_r,6.06500244140625,6.06500244140625,6.06500244140625,1
23,calf_l,5.893775939941406,5.893775939941406,5.893775939941406,1
32,calf_l,5.528313159942627,5.528313159942627,5.528313159942627,1
53,calf_l,5.523127555847168,5.523127555847168,5.523127555847168,1
31,calf_l,5.518689155578613,5.518689155578613,5.518689155578613,1
0,calf_r,5.212100982666016,5.212100982666016,5.212100982666016,1
52,calf_r,5.182893753051758,5.182893753051758,5.182893753051758,1
12,calf_l,5.134725093841553,5.134725093841553,5.134725093841553,1
9,calf_l,4.975358486175537,4.975358486175537,4.975358486175537,1
53,calf_r,4.914796352386475,4.914796352386475,4.914796352386475,1
68,calf_r,4.776244640350342,4.776244640350342,4.776244640350342,1
40,calf_l,4.708840370178223,4.708840370178223,4.708840370178223,1
15,calf_l,4.620203495025635,4.620203495025635,4.620203495025635,1
61,calf_l,4.560142517089844,4.560142517089844,4.560142517089844,1
4,calf_l,4.521115303039551,4.521115303039551,4.521115303039551,1
33,calf_l,4.371942043304443,4.371942043304443,4.371942043304443,1
50,calf_r,4.3642425537109375,4.3642425537109375,4.3642425537109375,1
27,calf_l,4.313695430755615,4.313695430755615,4.313695430755615,1
10,calf_l,4.263063907623291,4.263063907623291,4.263063907623291,1
17,calf_l,4.230671405792236,4.230671405792236,4.230671405792236,1
52,calf_l,4.177425861358643,4.177425861358643,4.177425861358643,1
16,calf_l,4.034063339233398,4.034063339233398,4.034063339233398,1
74,calf_l,3.8635122776031494,3.8635122776031494,3.8635122776031494,1
36,calf_l,3.804267168045044,3.804267168045044,3.804267168045044,1
7,calf_l,3.6627509593963623,3.6627509593963623,3.6627509593963623,1
65,calf_r,3.56756854057312,3.56756854057312,3.56756854057312,1
39,calf_l,3.495828151702881,3.495828151702881,3.495828151702881,1
8,calf_l,3.4863953590393066,3.4863953590393066,3.4863953590393066,1
76,calf_l,3.4823272228240967,3.4823272228240967,3.4823272228240967,1
34,calf_l,3.471985340118408,3.471985340118408,3.471985340118408,1
75,calf_l,3.394449234008789,3.394449234008789,3.394449234008789,1
73,calf_l,3.392371416091919,3.392371416091919,3.392371416091919,1
72,calf_r,3.3773536682128906,3.3773536682128906,3.3773536682128906,1
41,calf_l,3.3335814476013184,3.3335814476013184,3.3335814476013184,1
60,calf_l,3.110360622406006,3.110360622406006,3.110360622406006,1
80,calf_r,3.039691209793091,3.039691209793091,3.039691209793091,1
63,calf_l,3.0007262229919434,3.0007262229919434,3.0007262229919434,1
58,calf_l,2.8857614994049072,2.8857614994049072,2.8857614994049072,1
45,calf_r,2.865171432495117,2.865171432495117,2.865171432495117,1
59,calf_l,2.8352596759796143,2.8352596759796143,2.8352596759796143,1
72,calf_l,2.792522668838501,2.792522668838501,2.792522668838501,1
51,calf_r,2.7733476161956787,2.7733476161956787,2.7733476161956787,1
38,calf_l,2.68048357963562,2.68048357963562,2.68048357963562,1
65,calf_l,2.5455446243286133,2.5455446243286133,2.5455446243286133,1
49,calf_l,2.5015358924865723,2.5015358924865723,2.5015358924865723,1
69,calf_l,2.455481767654419,2.455481767654419,2.455481767654419,1
30,calf_l,2.3849306106567383,2.3849306106567383,2.3849306106567383,1
77,calf_l,2.3638288974761963,2.3638288974761963,2.3638288974761963,1
54,calf_l,2.2691051959991455,2.2691051959991455,2.2691051959991455,1
81,calf_r,2.220773696899414,2.220773696899414,2.220773696899414,1
2,calf_l,2.1983184814453125,2.1983184814453125,2.1983184814453125,1
66,calf_r,2.196384906768799,2.196384906768799,2.196384906768799,1
48,calf_r,2.178192138671875,2.178192138671875,2.178192138671875,1
73,calf_r,2.0866148471832275,2.0866148471832275,2.0866148471832275,1
14,calf_l,2.014561414718628,2.014561414718628,2.014561414718628,1
64,calf_r,1.8807244300842285,1.8807244300842285,1.8807244300842285,1
84,calf_l,1.8767881393432617,1.8767881393432617,1.8767881393432617,1
6,calf_r,1.867748737335205,1.867748737335205,1.867748737335205,1
42,calf_l,1.8625766038894653,1.8625766038894653,1.8625766038894653,1
70,calf_l,1.7986599206924438,1.7986599206924438,1.7986599206924438,1
62,calf_l,1.742998480796814,1.742998480796814,1.742998480796814,1
85,calf_r,1.6915310621261597,1.6915310621261597,1.6915310621261597,1
6,calf_l,1.6851178407669067,1.6851178407669067,1.6851178407669067,1
57,calf_l,1.6413124799728394,1.6413124799728394,1.6413124799728394,1
7,calf_r,1.5744941234588623,1.5744941234588623,1.5744941234588623,1
0,calf_l,1.441390872001648,1.441390872001648,1.441390872001648,1
67,calf_r,1.4322150945663452,1.4322150945663452,1.4322150945663452,1
49,calf_r,1.4283854961395264,1.4283854961395264,1.4283854961395264,1
75,calf_r,1.3750081062316895,1.3750081062316895,1.3750081062316895,1
68,calf_l,1.3612546920776367,1.3612546920776367,1.3612546920776367,1
