sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
0,1.099270,0.138639,0.767051,1.200123,0.494959,3.015109,0.631592,0.489884,4.859270,0.135478,0.189315,1.947060,0.234908,0.232808,0.201193,0.273395,0.218763,0.531806,1.746669,0.607474,0.151856,1.094186,0.410491,0.118258,1.171865,0.185661,0.229963,0.319467,0.134554,0.226921,0.261984,0.211252,4.930730,1.728100,0.612218,0.489424,0.291558,2.353410,0.772153,3.142458,5.173894,0.233628,0.341844,0.244541,2.733693,3.336563
1,0.705389,0.133337,0.413322,0.741426,0.220360,0.537716,0.196148,0.279812,1.031131,0.110663,0.191288,0.806393,0.204938,0.318318,0.196182,0.285347,0.184162,0.399819,0.559425,0.336673,0.120086,0.394170,0.225720,0.160664,0.586516,0.216243,0.256960,0.274763,0.233056,0.185826,0.310083,0.371452,1.071915,1.687103,0.066186,0.242704,0.376598,1.170111,1.611405,0.799720,1.970542,0.135304,0.110886,0.149420,0.141597,0.658187
2,0.130147,0.160159,0.170382,0.594464,0.587705,1.338995,0.586644,0.156337,1.001964,0.149272,0.179315,0.428375,0.252207,0.305619,0.187795,0.305129,0.196470,0.217661,0.625571,0.708236,0.159084,0.221820,0.311704,0.186770,1.073177,0.213626,0.235088,0.266152,0.247171,0.154159,0.475284,0.285635,0.608629,1.210430,0.149947,0.183963,0.196206,0.874557,0.360469,0.365890,0.445669,0.114681,0.268821,0.149221,0.572842,0.469206
3,0.364945,0.136505,0.269972,0.857792,0.120844,0.390439,0.374168,0.086929,0.257686,0.173763,0.167989,0.182681,0.219572,0.300153,0.154753,0.311598,0.137480,0.251995,0.525667,0.424392,0.140624,0.664789,0.293040,0.241052,0.496198,0.255926,0.231176,0.281509,0.227799,0.162002,0.356957,0.105278,0.765076,0.518747,0.252354,0.180195,0.197777,0.759217,0.311939,0.588361,0.201301,0.088783,0.126752,0.134788,0.386603,0.338751
4,1.279503,0.123425,0.631826,0.482939,0.195207,0.534926,0.160779,0.254694,0.481184,0.100162,0.136007,0.935850,0.266778,0.266318,0.226430,0.350271,0.190958,0.294584,1.417058,1.122159,0.170834,0.683010,0.319203,0.129690,1.289721,0.286203,0.251621,0.410502,0.251280,0.279564,0.669199,0.501851,1.551391,5.236529,0.220884,0.360868,0.583564,1.794128,1.845969,1.421173,0.171779,0.350702,0.355609,0.381845,1.237597,1.217540
5,0.957103,0.064554,0.553613,0.375820,0.166426,0.665266,0.577579,0.593068,1.064727,0.134006,0.116544,0.839411,0.261934,0.215604,0.259407,0.341442,0.227878,0.189558,0.254788,0.479233,0.183235,0.219304,0.264079,0.078365,0.474258,0.276163,0.247094,0.457834,0.183955,0.330493,0.597101,0.594001,1.583226,6.289789,0.162229,0.282907,0.455314,2.356853,0.868209,0.487146,0.316266,0.318925,0.296167,0.254520,1.021986,0.360729
6,0.616913,0.086749,0.167854,0.380248,0.320826,1.082453,0.233648,0.150666,0.494896,0.133576,0.112618,0.264634,0.269531,0.190108,0.218842,0.368622,0.207278,0.239682,0.296861,0.103343,0.334068,0.607394,0.305609,0.092599,0.522080,0.286710,0.237901,0.385767,0.184299,0.317097,0.394569,0.115645,1.100883,0.973034,0.397489,0.272294,0.031948,1.569079,2.464361,0.189630,1.357293,0.164841,0.093502,0.120814,1.241682,0.354762
7,0.825611,0.096786,0.370908,0.342595,0.315088,1.237808,0.406939,0.098587,1.028394,0.145222,0.109909,0.583904,0.238180,0.138090,0.273333,0.343431,0.233124,0.199943,0.194454,0.096408,0.236222,0.277070,0.313857,0.104566,0.500997,0.261297,0.212615,0.414913,0.154078,0.377556,0.385369,0.153502,0.505724,2.556389,0.417798,0.287213,0.029007,2.907023,2.881422,0.570699,1.050454,0.199019,0.179618,0.130553,1.159112,0.323544
8,0.986772,0.086171,0.473451,0.361564,0.250055,0.743890,0.313687,0.144230,0.593481,0.092528,0.139282,0.316532,0.178715,0.153589,0.326520,0.276447,0.251011,0.382701,1.051119,0.224267,0.247382,0.223053,0.293497,0.108141,0.468388,0.232504,0.171574,0.460790,0.202247,0.387910,0.276286,0.319713,0.393544,2.137332,0.515119,0.349450,0.092318,0.855416,0.663809,0.410799,0.127097,0.298152,0.283072,0.232624,0.920768,0.400551
9,1.127229,0.090688,0.720899,0.504110,0.205135,0.544041,0.219036,0.114865,0.587886,0.099956,0.183356,0.324388,0.141181,0.243006,0.248156,0.300037,0.195479,0.141640,1.063415,0.479091,0.133630,0.210784,0.297317,0.107039,0.800197,0.198360,0.177682,0.273973,0.313176,0.269213,0.304890,0.255113,1.016086,3.274421,0.505507,0.444114,0.259525,0.940790,0.539501,0.536324,0.197072,0.271753,0.239330,0.279118,1.059190,0.358277
