sic,bone,mean_deg,p50_deg,p90_deg,count
13,foot_l,9.66321086883545,9.66321086883545,9.66321086883545,1
71,calf_r,9.47590446472168,9.47590446472168,9.47590446472168,1
53,thigh_l,8.937649726867676,8.937649726867676,8.937649726867676,1
20,calf_l,8.325982093811035,8.325982093811035,8.325982093811035,1
53,lowerarm_l,8.105841636657715,8.105841636657715,8.105841636657715,1
53,upperarm_l,8.021507263183594,8.021507263183594,8.021507263183594,1
18,calf_l,7.747780799865723,7.747780799865723,7.747780799865723,1
52,thigh_l,7.609488010406494,7.609488010406494,7.609488010406494,1
53,thigh_r,7.5629048347473145,7.5629048347473145,7.5629048347473145,1
32,calf_l,7.350046157836914,7.350046157836914,7.350046157836914,1
53,foot_r,7.319100379943848,7.319100379943848,7.319100379943848,1
19,calf_l,7.075430393218994,7.075430393218994,7.075430393218994,1
52,lowerarm_l,6.912301540374756,6.912301540374756,6.912301540374756,1
24,calf_l,6.902998447418213,6.902998447418213,6.902998447418213,1
26,calf_l,6.749066352844238,6.749066352844238,6.749066352844238,1
52,upperarm_l,6.745350360870361,6.745350360870361,6.745350360870361,1
76,calf_r,6.4410176277160645,6.4410176277160645,6.4410176277160645,1
37,calf_l,6.422837734222412,6.422837734222412,6.422837734222412,1
52,thigh_r,6.304299354553223,6.304299354553223,6.304299354553223,1
5,calf_l,6.289789199829102,6.289789199829102,6.289789199829102,1
53,calf_l,6.258453845977783,6.258453845977783,6.258453845977783,1
54,foot_r,5.829606056213379,5.829606056213379,5.829606056213379,1
14,foot_l,5.676501274108887,5.676501274108887,5.676501274108887,1
33,calf_l,5.614527702331543,5.614527702331543,5.614527702331543,1
31,calf_l,5.589569091796875,5.589569091796875,5.589569091796875,1
69,calf_r,5.586880207061768,5.586880207061768,5.586880207061768,1
52,calf_r,5.495143413543701,5.495143413543701,5.495143413543701,1
28,calf_l,5.399712085723877,5.399712085723877,5.399712085723877,1
37,foot_l,5.37099552154541,5.37099552154541,5.37099552154541,1
50,calf_r,5.333632946014404,5.333632946014404,5.333632946014404,1
4,calf_l,5.2365288734436035,5.2365288734436035,5.2365288734436035,1
0,calf_r,5.173893928527832,5.173893928527832,5.173893928527832,1
53,calf_r,5.127708435058594,5.127708435058594,5.127708435058594,1
74,calf_r,5.024069786071777,5.024069786071777,5.024069786071777,1
36,calf_l,4.95019006729126,4.95019006729126,4.95019006729126,1
0,thigh_l,4.930729866027832,4.930729866027832,4.930729866027832,1
25,calf_l,4.912544250488281,4.912544250488281,4.912544250488281,1
22,calf_l,4.862236022949219,4.862236022949219,4.862236022949219,1
0,lowerarm_l,4.859269618988037,4.859269618988037,4.859269618988037,1
52,calf_l,4.785515308380127,4.785515308380127,4.785515308380127,1
53,hand_l,4.719276428222656,4.719276428222656,4.719276428222656,1
71,calf_l,4.711014747619629,4.711014747619629,4.711014747619629,1
21,calf_l,4.655893325805664,4.655893325805664,4.655893325805664,1
53,upperarm_r,4.615673065185547,4.615673065185547,4.615673065185547,1
54,upperarm_l,4.6114020347595215,4.6114020347595215,4.6114020347595215,1
31,foot_l,4.572248935699463,4.572248935699463,4.572248935699463,1
54,thigh_l,4.456863880157471,4.456863880157471,4.456863880157471,1
55,foot_r,4.331443786621094,4.331443786621094,4.331443786621094,1
54,thigh_r,4.235459804534912,4.235459804534912,4.235459804534912,1
42,calf_l,4.230595111846924,4.230595111846924,4.230595111846924,1
52,upperarm_r,4.207053184509277,4.207053184509277,4.207053184509277,1
60,foot_r,4.180943489074707,4.180943489074707,4.180943489074707,1
