bone,mean_deg,count
pinky_01_l,35.47529502247655,86
thumb_01_l,18.57528988150663,86
calf_l,15.103760429852924,86
calf_r,13.798689012437366,86
thigh_l,13.589804394300593,86
hand_r,13.35649567981099,86
upperarm_l,13.038017350573872,86
upperarm_r,12.734828899073046,86
RUpArmTwist_r_01,11.74877805488054,86
lowerarm_l,10.38569948770279,86
thigh_r,10.31018381895021,86
foot_l,8.65118218161339,86
foot_r,7.5682047016398855,86
RUpArmTwist_l_01,6.985188681718915,86
ball_r,6.641589910485024,86
RUpArmTwist_r_02,6.370066382164179,86
ring_01_l,6.350470548452333,86
lowerarm_r,6.3404489623079465,86
thumb_01_r,5.830269530762074,86
spine_01,5.766572820585828,86
pinky_01_r,5.6413433829019235,86
hand_l,4.79958839749181,86
neck_01,4.229483410369518,86
clavicle_l,4.223430442255597,86
ball_l,4.100338924762815,86
index_01_l,3.998749802278918,86
head,3.728945396667303,86
RUpArmTwist_l_02,3.580648524816646,86
middle_01_l,3.4137437482212865,86
clavicle_r,3.2403225053188414,86
spine_02,2.798332670400309,86
ring_01_r,1.51753783780475,86
index_01_r,1.351409325766009,86
R_ForeTwist_02,1.2880023024802985,86
LCalfTwist_03,1.2791811246424913,86
LCalfTwist_01,1.274955340249594,86
LCalfTwist_02,1.2142098105274315,86
middle_01_r,1.1200630290563716,86
R_ForeTwist_01,1.0704052923030631,86
RCalfTwist_02,0.9021978526007991,86
RCalfTwist_01,0.7817136962399927,86
RCalfTwist_03,0.7021206016110819,86
L_ForeTwist_02,0.506420532284781,86
L_ForeTwist_01,0.5047702130883239,86
Bip001,5.640762624434442e-09,86
