sic,bone,mean_deg,p50_deg,p90_deg,count
12,pinky_01_l,51.074214935302734,51.074214935302734,51.074214935302734,1
24,pinky_01_l,49.924591064453125,49.924591064453125,49.924591064453125,1
29,pinky_01_l,49.8301887512207,49.8301887512207,49.8301887512207,1
23,pinky_01_l,49.779361724853516,49.779361724853516,49.779361724853516,1
17,pinky_01_l,49.72928237915039,49.72928237915039,49.72928237915039,1
21,pinky_01_l,49.71561050415039,49.71561050415039,49.71561050415039,1
26,pinky_01_l,49.57688903808594,49.57688903808594,49.57688903808594,1
16,pinky_01_l,49.551025390625,49.551025390625,49.551025390625,1
25,pinky_01_l,49.54825210571289,49.54825210571289,49.54825210571289,1
20,pinky_01_l,49.54507827758789,49.54507827758789,49.54507827758789,1
27,pinky_01_l,49.52982711791992,49.52982711791992,49.52982711791992,1
28,pinky_01_l,49.516056060791016,49.516056060791016,49.516056060791016,1
18,pinky_01_l,49.479244232177734,49.479244232177734,49.479244232177734,1
14,pinky_01_l,49.46540069580078,49.46540069580078,49.46540069580078,1
31,pinky_01_l,49.426753997802734,49.426753997802734,49.426753997802734,1
19,pinky_01_l,49.42201232910156,49.42201232910156,49.42201232910156,1
22,pinky_01_l,49.326786041259766,49.326786041259766,49.326786041259766,1
13,pinky_01_l,49.31406021118164,49.31406021118164,49.31406021118164,1
15,pinky_01_l,49.13263702392578,49.13263702392578,49.13263702392578,1
11,pinky_01_l,49.09992599487305,49.09992599487305,49.09992599487305,1
