bone,epoch,metric,v9,v10,delta(v10-v9)
Bip001,1,AngVelMAE,0.018102509900927544,0.015057659335434436,-0.003044850565493107
Bip001,1,AngVelMagMAE,0.013402285240590572,0.013235015608370305,-0.00016726963222026686
Bip001,2,AngVelMAE,0.007690140046179295,0.007480371370911598,-0.00020976867526769673
Bip001,2,AngVelMagMAE,0.006735637225210667,0.006024287827312946,-0.0007113493978977209
Bip001,3,AngVelMAE,0.005941329244524241,0.004933430440723896,-0.001007898803800345
Bip001,3,AngVelMagMAE,0.005510014668107033,0.004467771248891949,-0.0010422434192150836
Bip001,4,AngVelMAE,0.004730070289224386,0.00414453954435885,-0.0005855307448655363
Bip001,4,AngVelMagMAE,0.004174618143588304,0.003597506694495678,-0.0005771114490926263
Bip001,5,AngVelMAE,0.004023657506331801,0.0044193767942488195,0.00039571928791701846
Bip001,5,AngVelMagMAE,0.0036366036627441646,0.003897560527548194,0.0002609568648040293
Bip001,6,AngVelMAE,0.003701411560177803,0.004633808415383101,0.0009323968552052979
Bip001,6,AngVelMagMAE,0.00335471392609179,0.004294190881773829,0.000939476955682039
Bip001,7,AngVelMAE,0.004037229530513287,0.004798585083335638,0.0007613555528223513
Bip001,7,AngVelMagMAE,0.0037408591248095035,0.0047328338958323,0.0009919747710227969
Bip001,8,AngVelMAE,0.0041820242069661616,0.004922918695956469,0.0007408944889903072
Bip001,8,AngVelMagMAE,0.003798687970265746,0.004879459738731384,0.0010807717684656382
Bip001,9,AngVelMAE,0.004620198626071215,0.005325730424374342,0.0007055317983031273
Bip001,9,AngVelMagMAE,0.004111424554139376,0.005168163776397705,0.001056739222258329
Bip001,10,AngVelMAE,0.005307109281420708,0.006126936431974173,0.0008198271505534651
Bip001,10,AngVelMagMAE,0.0049217820167541506,0.005630540102720261,0.0007087580859661104
Bip001,11,AngVelMAE,0.006030315812677145,0.006715724989771843,0.000685409177094698
Bip001,11,AngVelMagMAE,0.005552931688725948,0.005865658726543188,0.0003127270378172394
Bip001,12,AngVelMAE,0.006545350048691034,0.006784299109131098,0.000238949060440064
Bip001,12,AngVelMagMAE,0.006108821835368872,0.005948113929480314,-0.00016070790588855726
LCalfTwist_01,1,AngVelMAE,0.029682136327028274,0.035701106488704684,0.00601897016167641
LCalfTwist_01,1,AngVelMagMAE,0.05959747284650803,0.07922594398260116,0.01962847113609313
LCalfTwist_01,2,AngVelMAE,0.013257881067693234,0.017815228179097177,0.004557347111403943
LCalfTwist_01,2,AngVelMagMAE,0.02786565348505974,0.03947686553001404,0.0116112120449543
LCalfTwist_01,3,AngVelMAE,0.01057247444987297,0.010992414690554142,0.00041994024068117176
LCalfTwist_01,3,AngVelMagMAE,0.021782445535063744,0.023840317875146864,0.00205787234008312
LCalfTwist_01,4,AngVelMAE,0.007752893585711717,0.00939747653901577,0.0016445829533040524
LCalfTwist_01,4,AngVelMagMAE,0.016178939677774905,0.020596978440880775,0.004418038763105869
LCalfTwist_01,5,AngVelMAE,0.008062217384576797,0.010243100859224797,0.0021808834746479995
LCalfTwist_01,5,AngVelMagMAE,0.01720745861530304,0.02273186519742012,0.005524406582117079
LCalfTwist_01,6,AngVelMAE,0.00813840925693512,0.012081696465611459,0.0039432872086763385
LCalfTwist_01,6,AngVelMagMAE,0.01780351288616657,0.028215371072292328,0.010411858186125757
LCalfTwist_01,7,AngVelMAE,0.008962280303239822,0.012087088637053966,0.0031248083338141445
LCalfTwist_01,7,AngVelMagMAE,0.019855186343193054,0.02808617725968361,0.008230990916490554
LCalfTwist_01,8,AngVelMAE,0.011039672046899795,0.013932161219418048,0.002892489172518253
LCalfTwist_01,8,AngVelMagMAE,0.024426713958382605,0.03304602988064289,0.008619315922260284
LCalfTwist_01,9,AngVelMAE,0.013354125805199147,0.01678410917520523,0.003429983370006084
LCalfTwist_01,9,AngVelMagMAE,0.029783351719379424,0.03995646014809608,0.01017310842871666
LCalfTwist_01,10,AngVelMAE,0.016003534942865372,0.0207361813634634,0.004732646420598029
LCalfTwist_01,10,AngVelMagMAE,0.037149150669574735,0.05043655261397362,0.013287401944398883
LCalfTwist_01,11,AngVelMAE,0.019668123498559,0.02525787428021431,0.005589750781655311
LCalfTwist_01,11,AngVelMagMAE,0.046622855216264726,0.062417320907115936,0.01579446569085121
LCalfTwist_01,12,AngVelMAE,0.022362785041332246,0.02690575011074543,0.004542965069413183
LCalfTwist_01,12,AngVelMagMAE,0.05357748940587044,0.06675209999084472,0.01317461058497428
LCalfTwist_02,1,AngVelMAE,0.009654748253524303,0.007304110564291477,-0.0023506376892328262
LCalfTwist_02,1,AngVelMagMAE,0.02538001872599125,0.019264829531311988,-0.006115189194679262
LCalfTwist_02,2,AngVelMAE,0.004686114192008972,0.0032933050766587257,-0.0013928091153502463
LCalfTwist_02,2,AngVelMagMAE,0.012653827853500842,0.008344270754605532,-0.004309557098895311
LCalfTwist_02,3,AngVelMAE,0.003086375305429101,0.002116777468472719,-0.0009695978369563818
LCalfTwist_02,3,AngVelMagMAE,0.008527656830847264,0.005746409110724926,-0.002781247720122338
LCalfTwist_02,4,AngVelMAE,0.0024708629585802554,0.0019626843044534326,-0.0005081786541268228
LCalfTwist_02,4,AngVelMagMAE,0.007002466358244419,0.005262514296919108,-0.0017399520613253115
LCalfTwist_02,5,AngVelMAE,0.0020744195207953453,0.0018697848776355387,-0.00020463464315980664
LCalfTwist_02,5,AngVelMagMAE,0.005793072190135718,0.005078852456063032,-0.0007142197340726858
LCalfTwist_02,6,AngVelMAE,0.001719493977725506,0.0018331771017983556,0.00011368312407284971
LCalfTwist_02,6,AngVelMagMAE,0.004830278549343347,0.00497706737369299,0.0001467888243496425
LCalfTwist_02,7,AngVelMAE,0.0018328123725950718,0.0016633852850645781,-0.0001694270875304937
LCalfTwist_02,7,AngVelMagMAE,0.005078713409602642,0.004537536669522524,-0.0005411767400801178
LCalfTwist_02,8,AngVelMAE,0.00197489105630666,0.001809540600515902,-0.0001653504557907581
LCalfTwist_02,8,AngVelMagMAE,0.005455095786601305,0.004987269453704357,-0.00046782633289694803
LCalfTwist_02,9,AngVelMAE,0.0019200696842744946,0.0019146345322951675,-5.4351519793271585e-06
LCalfTwist_02,9,AngVelMagMAE,0.005328404065221548,0.005330203752964735,1.7996877431872976e-06
LCalfTwist_02,10,AngVelMAE,0.0020368934143334626,0.0018412822857499123,-0.00019561112858355032
LCalfTwist_02,10,AngVelMagMAE,0.005724489036947489,0.005114664137363434,-0.000609824899584055
LCalfTwist_02,11,AngVelMAE,0.0020094345090910792,0.0019146226579323411,-9.481185115873809e-05
LCalfTwist_02,11,AngVelMagMAE,0.005612621456384659,0.005231077596545219,-0.0003815438598394399
LCalfTwist_02,12,AngVelMAE,0.001861840602941811,0.0019570072181522846,9.516661521047354e-05
LCalfTwist_02,12,AngVelMagMAE,0.0051866346970200535,0.005354222189635038,0.00016758749261498469
LCalfTwist_03,1,AngVelMAE,0.008731270395219325,0.007325208559632301,-0.0014060618355870242
LCalfTwist_03,1,AngVelMagMAE,0.023350611329078674,0.019062701240181924,-0.00428791008889675
LCalfTwist_03,2,AngVelMAE,0.004778153914958239,0.0033223040401935576,-0.0014558498747646812
LCalfTwist_03,2,AngVelMagMAE,0.013536641560494899,0.009357297047972678,-0.004179344512522221
LCalfTwist_03,3,AngVelMAE,0.0023572162725031378,0.0018805136438459157,-0.00047670262865722205
LCalfTwist_03,3,AngVelMagMAE,0.006682802271097898,0.0055018126033246515,-0.0011809896677732468
LCalfTwist_03,4,AngVelMAE,0.001972350920550525,0.0019352656323462724,-3.708528820425263e-05
LCalfTwist_03,4,AngVelMagMAE,0.005637249629944563,0.005738565325736999,0.00010131569579243608
LCalfTwist_03,5,AngVelMAE,0.0017801904585212469,0.0019748183200135826,0.00019462786149233575
LCalfTwist_03,5,AngVelMagMAE,0.0050491921603679655,0.005755305197089911,0.0007061130367219453
LCalfTwist_03,6,AngVelMAE,0.0014236485818400978,0.0017838952597230672,0.0003602466778829694
LCalfTwist_03,6,AngVelMagMAE,0.0042047550901770595,0.005217909347265959,0.0010131542570888993
LCalfTwist_03,7,AngVelMAE,0.0015464770141988993,0.001896546338684857,0.0003500693244859576
LCalfTwist_03,7,AngVelMagMAE,0.004574089031666517,0.005494439508765936,0.0009203504770994185
LCalfTwist_03,8,AngVelMAE,0.0017999141942709684,0.002331510279327631,0.0005315960850566627
LCalfTwist_03,8,AngVelMagMAE,0.0052626200020313265,0.006784679554402828,0.001522059552371502
LCalfTwist_03,9,AngVelMAE,0.002035190723836422,0.0026155476458370685,0.0005803569220006466
LCalfTwist_03,9,AngVelMagMAE,0.005950204376131296,0.00763159841299057,0.0016813940368592744
LCalfTwist_03,10,AngVelMAE,0.002326250309124589,0.0027332833502441644,0.0004070330411195754
LCalfTwist_03,10,AngVelMagMAE,0.0065733778290450575,0.007997853681445122,0.0014244758524000643
LCalfTwist_03,11,AngVelMAE,0.002450216980651021,0.002618312742561102,0.00016809576191008065
LCalfTwist_03,11,AngVelMagMAE,0.006945401802659035,0.007642701920121908,0.0006973001174628733
LCalfTwist_03,12,AngVelMAE,0.00237104338593781,0.0025582156609743833,0.00018717227503657315
LCalfTwist_03,12,AngVelMagMAE,0.006845363229513168,0.007484989427030087,0.0006396261975169185
L_ForeTwist_01,1,AngVelMAE,0.05642208978533745,0.02883462533354759,-0.027587464451789858
L_ForeTwist_01,1,AngVelMagMAE,0.14091190099716186,0.07739466428756714,-0.06351723670959472
L_ForeTwist_01,2,AngVelMAE,0.015503192320466042,0.012260934524238109,-0.0032422577962279327
L_ForeTwist_01,2,AngVelMagMAE,0.041076379269361495,0.03243357613682747,-0.008642803132534023
L_ForeTwist_01,3,AngVelMAE,0.009764770232141017,0.008032673131674528,-0.0017320971004664894
L_ForeTwist_01,3,AngVelMagMAE,0.02536883354187012,0.020484842732548712,-0.004883990809321406
L_ForeTwist_01,4,AngVelMAE,0.007251262944191694,0.009475011564791202,0.0022237486205995078
L_ForeTwist_01,4,AngVelMagMAE,0.018923696875572205,0.025487277284264566,0.006563580408692361
L_ForeTwist_01,5,AngVelMAE,0.007282958272844553,0.011534235998988151,0.004251277726143598
L_ForeTwist_01,5,AngVelMagMAE,0.019212540984153748,0.031534505635499956,0.012321964651346207
L_ForeTwist_01,6,AngVelMAE,0.009554515033960343,0.011793832108378411,0.0022393170744180683
L_ForeTwist_01,6,AngVelMagMAE,0.02542659342288971,0.03237438872456551,0.006947795301675799
L_ForeTwist_01,7,AngVelMAE,0.01138431578874588,0.011449447087943553,6.51312991976731e-05
L_ForeTwist_01,7,AngVelMagMAE,0.030667609721422195,0.031502838060259816,0.0008352283388376215
L_ForeTwist_01,8,AngVelMAE,0.011274060606956482,0.01297189835458994,0.0016978377476334575
L_ForeTwist_01,8,AngVelMagMAE,0.029956713691353797,0.035735026746988294,0.005778313055634497
L_ForeTwist_01,9,AngVelMAE,0.010288605652749538,0.013033272325992584,0.002744666673243046
L_ForeTwist_01,9,AngVelMagMAE,0.027218814939260483,0.03580674603581428,0.0085879310965538
L_ForeTwist_01,10,AngVelMAE,0.010812897235155106,0.01362973526120186,0.0028168380260467536
L_ForeTwist_01,10,AngVelMagMAE,0.02829827554523945,0.037429121881723405,0.009130846336483957
L_ForeTwist_01,11,AngVelMAE,0.011079040355980396,0.012898094207048415,0.0018190538510680192
L_ForeTwist_01,11,AngVelMagMAE,0.028841475397348403,0.035537046194076535,0.006695570796728133
L_ForeTwist_01,12,AngVelMAE,0.011307351477444171,0.012017948739230632,0.0007105972617864609
L_ForeTwist_01,12,AngVelMagMAE,0.0296269990503788,0.03309761360287666,0.0034706145524978638
L_ForeTwist_02,1,AngVelMAE,0.0024225686909630896,0.0021640364080667495,-0.00025853228289634015
L_ForeTwist_02,1,AngVelMagMAE,0.007096430473029614,0.006437189131975174,-0.0006592413410544395
L_ForeTwist_02,2,AngVelMAE,0.0011816880432888865,0.0009319534641690552,-0.00024973457911983135
L_ForeTwist_02,2,AngVelMagMAE,0.0035441676154732704,0.0027682467363774775,-0.0007759208790957929
L_ForeTwist_02,3,AngVelMAE,0.0007388570229522884,0.0007825060747563839,4.364905180409551e-05
L_ForeTwist_02,3,AngVelMagMAE,0.00221573431044817,0.0023313212674111127,0.0001155869569629429
L_ForeTwist_02,4,AngVelMAE,0.0005795145989395678,0.0005201874650083482,-5.93271339312196e-05
L_ForeTwist_02,4,AngVelMagMAE,0.001737785548903048,0.0015553688630461694,-0.00018241668585687858
L_ForeTwist_02,5,AngVelMAE,0.0005967761855572463,0.0005662226350978017,-3.055355045944452e-05
L_ForeTwist_02,5,AngVelMagMAE,0.0017895674798637628,0.0016937670065090061,-9.58004733547567e-05
L_ForeTwist_02,6,AngVelMAE,0.0006688236258924008,0.0006519036367535591,-1.6919989138841694e-05
L_ForeTwist_02,6,AngVelMagMAE,0.0020057150162756444,0.0019550058525055645,-5.070916377007987e-05
L_ForeTwist_02,7,AngVelMAE,0.000726794044021517,0.0006949604139663279,-3.183363005518911e-05
L_ForeTwist_02,7,AngVelMagMAE,0.0021792401559650896,0.0020820507779717445,-9.718937799334509e-05
L_ForeTwist_02,8,AngVelMAE,0.0008048287010751665,0.0008164580678567291,1.1629366781562567e-05
L_ForeTwist_02,8,AngVelMagMAE,0.0024137196596711874,0.0024468231946229934,3.310353495180598e-05
L_ForeTwist_02,9,AngVelMAE,0.0008102470892481506,0.0007541388389654457,-5.610825028270485e-05
L_ForeTwist_02,9,AngVelMagMAE,0.0024261836893856525,0.0022591300774365665,-0.00016705361194908593
L_ForeTwist_02,10,AngVelMAE,0.0009217844810336829,0.0007742988993413747,-0.0001474855816923082
L_ForeTwist_02,10,AngVelMagMAE,0.0027637597173452376,0.0023099021054804325,-0.00045385761186480513
L_ForeTwist_02,11,AngVelMAE,0.0009992706240154804,0.0008032722398638725,-0.00019599838415160784
L_ForeTwist_02,11,AngVelMagMAE,0.0029950103256851436,0.002386022266000509,-0.0006089880596846344
L_ForeTwist_02,12,AngVelMAE,0.0009517234982922673,0.0007810503360815346,-0.00017067316221073268
L_ForeTwist_02,12,AngVelMagMAE,0.0028536342084407806,0.002331647230312228,-0.0005219869781285524
RCalfTwist_01,1,AngVelMAE,0.0619371198117733,0.034490691125392915,-0.027446428686380385
RCalfTwist_01,1,AngVelMagMAE,0.1333865240216255,0.07615958303213119,-0.057226940989494324
RCalfTwist_01,2,AngVelMAE,0.018309307098388673,0.015418661199510098,-0.0028906458988785747
RCalfTwist_01,2,AngVelMagMAE,0.04121916964650154,0.03447250798344612,-0.006746661663055417
RCalfTwist_01,3,AngVelMAE,0.012758857198059559,0.011226398311555386,-0.0015324588865041726
RCalfTwist_01,3,AngVelMagMAE,0.03004951439797878,0.024803004413843154,-0.005246509984135627
RCalfTwist_01,4,AngVelMAE,0.011092097312211991,0.011596275120973587,0.0005041778087615956
RCalfTwist_01,4,AngVelMagMAE,0.02626020647585392,0.027115126326680183,0.0008549198508262627
RCalfTwist_01,5,AngVelMAE,0.013064868003129958,0.01338391937315464,0.0003190513700246818
RCalfTwist_01,5,AngVelMagMAE,0.03165725991129875,0.03238658979535103,0.0007293298840522766
RCalfTwist_01,6,AngVelMAE,0.01438060775399208,0.012721315026283264,-0.0016592927277088165
RCalfTwist_01,6,AngVelMagMAE,0.03450856283307076,0.030768467485904692,-0.0037400953471660656
RCalfTwist_01,7,AngVelMAE,0.01338524352759123,0.012121881917119026,-0.0012633616104722033
RCalfTwist_01,7,AngVelMagMAE,0.03253384716808796,0.029312071204185487,-0.0032217759639024714
RCalfTwist_01,8,AngVelMAE,0.014394636452198028,0.012602904066443443,-0.0017917323857545853
RCalfTwist_01,8,AngVelMagMAE,0.03570327460765839,0.030497003346681595,-0.005206271260976794
RCalfTwist_01,9,AngVelMAE,0.017121455073356627,0.013113129325211048,-0.0040083257481455786
RCalfTwist_01,9,AngVelMagMAE,0.04346523880958557,0.03159022033214569,-0.01187501847743988
RCalfTwist_01,10,AngVelMAE,0.019083721935749053,0.015575852058827878,-0.003507869876921175
RCalfTwist_01,10,AngVelMagMAE,0.04869914427399635,0.03819265067577362,-0.010506493598222734
RCalfTwist_01,11,AngVelMAE,0.022210220992565154,0.017973096668720247,-0.004237124323844908
RCalfTwist_01,11,AngVelMagMAE,0.056850950419902804,0.04492766186594963,-0.011923288553953172
RCalfTwist_01,12,AngVelMAE,0.023312784731388092,0.018554726988077162,-0.00475805774331093
RCalfTwist_01,12,AngVelMagMAE,0.0592433862388134,0.046535341441631316,-0.012708044797182086
RCalfTwist_02,1,AngVelMAE,0.009056508354842664,0.006213137414306402,-0.0028433709405362613
RCalfTwist_02,1,AngVelMagMAE,0.024095520749688147,0.01672930046916008,-0.007366220280528066
RCalfTwist_02,2,AngVelMAE,0.0028447342570871114,0.0027823686599731446,-6.236559711396677e-05
RCalfTwist_02,2,AngVelMagMAE,0.007674495596438647,0.007568521704524755,-0.00010597389191389136
RCalfTwist_02,3,AngVelMAE,0.0023437120020389558,0.0024588996544480323,0.00011518765240907652
RCalfTwist_02,3,AngVelMagMAE,0.006227414775639773,0.006623261235654354,0.00039584646001458116
RCalfTwist_02,4,AngVelMAE,0.0016100436681881548,0.0018367009703069924,0.00022665730211883766
