metric,version,ep,mean,std,min,max,gap,p10,p90,p90_p10
GeoDeg,v14,1,2.773695,2.574677,0.357341,11.092084,10.734743,0.760339,3.282263,2.521924
GeoDeg,v14,2,1.028568,0.55928,0.250597,2.142354,1.891757,0.434838,1.892398,1.45756
GeoDeg,v14,3,0.774873,0.304941,0.189526,1.322921,1.133395,0.474602,1.115764,0.641162
GeoDeg,v14,4,0.725758,0.290197,0.160199,1.558611,1.398412,0.565522,0.807152,0.24163
GeoDeg,v15,1,2.553778,1.044354,0.561213,4.570523,4.009309,1.484209,3.789808,2.3056
GeoDeg,v15,2,0.978346,0.47648,0.234747,1.846019,1.611273,0.372113,1.599017,1.226904
GeoDeg,v15,3,0.732826,0.290938,0.153233,1.229748,1.076514,0.496059,1.169157,0.673097
GeoDeg,v15,4,0.6483,0.263438,0.140657,1.055625,0.914968,0.343109,1.023891,0.680781
GeoLocalDeg,v14,1,2.720967,2.587412,0.0,11.019898,11.019898,0.762076,3.266648,2.504572
GeoLocalDeg,v14,2,1.031977,0.594613,0.0,2.214143,2.214143,0.485948,1.880034,1.394085
GeoLocalDeg,v14,3,0.748973,0.327489,0.0,1.195499,1.195499,0.439184,1.12613,0.686946
GeoLocalDeg,v14,4,0.75025,0.316225,0.0,1.550722,1.550722,0.6093,0.876446,0.267145
GeoLocalDeg,v15,1,2.717431,1.156425,0.0,4.801233,4.801233,1.829236,3.939493,2.110258
GeoLocalDeg,v15,2,1.019042,0.502832,0.0,1.876943,1.876943,0.480072,1.608517,1.128445
GeoLocalDeg,v15,3,0.743756,0.322937,0.0,1.316462,1.316462,0.480651,1.136329,0.655678
GeoLocalDeg,v15,4,0.667606,0.307614,0.0,1.116591,1.116591,0.353851,1.07488,0.721029
