metric,version,ep,mean,std,min,max,gap,p90_p10
GeoDeg,v14,1,2.773695,2.574677,0.357341,11.092084,10.734743,2.521924
GeoDeg,v14,2,1.028568,0.55928,0.250597,2.142354,1.891757,1.45756
GeoDeg,v14,3,0.774873,0.304941,0.189526,1.322921,1.133395,0.641162
GeoDeg,v14,4,0.725758,0.290197,0.160199,1.558611,1.398412,0.24163
GeoDeg,v14,5,0.712927,0.361941,0.11552,1.454554,1.339034,0.813223
GeoDeg,v14,6,0.647328,0.300286,0.140156,1.208132,1.067976,0.759371
GeoDeg,v14,7,0.579525,0.200774,0.147401,0.910298,0.762897,0.469141
GeoDeg,v14,8,0.631434,0.265086,0.18146,1.207594,1.026134,0.615286
GeoDeg,v14,9,0.648261,0.250437,0.193991,1.034003,0.840012,0.667953
GeoDeg,v15,1,2.553778,1.044354,0.561213,4.570523,4.009309,2.3056
GeoDeg,v15,2,0.978346,0.47648,0.234747,1.846019,1.611273,1.226904
GeoDeg,v15,3,0.732826,0.290938,0.153233,1.229748,1.076514,0.673097
GeoDeg,v15,4,0.6483,0.263438,0.140657,1.055625,0.914968,0.680781
GeoDeg,v15,5,0.699535,0.227111,0.189833,1.051361,0.861529,0.528679
GeoDeg,v15,6,0.716106,0.289917,0.231932,1.193388,0.961456,0.806087
GeoDeg,v15,7,0.695185,0.283472,0.265842,1.146236,0.880394,0.792918
GeoDeg,v15,8,0.633275,0.285194,0.289705,1.217941,0.928235,0.75336
GeoDeg,v15,9,0.638312,0.267622,0.283026,1.213244,0.930218,0.666446
GeoLocalDeg,v14,1,2.720967,2.587412,0.0,11.019898,11.019898,2.504572
GeoLocalDeg,v14,2,1.031977,0.594613,0.0,2.214143,2.214143,1.394085
GeoLocalDeg,v14,3,0.748973,0.327489,0.0,1.195499,1.195499,0.686946
GeoLocalDeg,v14,4,0.75025,0.316225,0.0,1.550722,1.550722,0.267145
GeoLocalDeg,v14,5,0.700369,0.392484,0.0,1.491958,1.491958,0.83806
GeoLocalDeg,v14,6,0.670343,0.319385,0.0,1.217218,1.217218,0.707164
GeoLocalDeg,v14,7,0.58863,0.245804,0.0,0.958496,0.958496,0.530191
GeoLocalDeg,v14,8,0.649237,0.292264,0.0,1.248758,1.248758,0.562133
GeoLocalDeg,v14,9,0.664934,0.290805,0.0,1.092154,1.092154,0.658761
GeoLocalDeg,v15,1,2.717431,1.156425,0.0,4.801233,4.801233,2.110258
GeoLocalDeg,v15,2,1.019042,0.502832,0.0,1.876943,1.876943,1.128445
GeoLocalDeg,v15,3,0.743756,0.322937,0.0,1.316462,1.316462,0.655678
GeoLocalDeg,v15,4,0.667606,0.307614,0.0,1.116591,1.116591,0.721029
GeoLocalDeg,v15,5,0.738526,0.270468,0.0,1.143672,1.143672,0.468967
GeoLocalDeg,v15,6,0.732913,0.333925,0.0,1.321556,1.321556,0.716766
GeoLocalDeg,v15,7,0.723039,0.322135,0.0,1.290215,1.290215,0.653183
GeoLocalDeg,v15,8,0.677493,0.337839,0.0,1.397922,1.397922,0.686205
GeoLocalDeg,v15,9,0.664892,0.342564,0.0,1.371117,1.371117,0.726053
